,original position,computed position,offset
0,-0.13746571992554668 0.04826369765022065 0.7785710738474168,-0.07492892159104328 0.10909024723213022 0.5613087355588849,0.23412313836648288
1,0.4557982761241881 0.18129459037663898 0.6921258864053896,0.679549586256664 0.3034272685123897 1.1528725795504589,0.5265629640401296
2,0.221105157690757 0.6174576568580219 -0.780096941740476,0.005158618623617615 0.016389382444510492 -0.02232178082750189,0.9910293500891866
3,-0.3887749284694988 -0.601349341073012 0.7854971250000811,0.17681645140302069 0.2782950291765918 -0.3627847838492903,1.5531320514652573
4,0.008308338890569145 -0.7650060580616485 -0.9324374865736587,0.006324452748960679 -0.29510478241774907 -0.3644524768155226,0.7371689873875167
5,0.9889359870040384 0.9508096621859894 0.8447188163516992,0.9565910187252727 0.9278352505993644 0.8313122516964014,0.04187787645717822
6,-0.9268454309065228 -0.23903185568276086 -0.5398867867615191,-1.225908829672318 -0.1693548503706312 -0.7345403907803011,0.3635709382061722
7,-0.7149889896893422 0.16462121251418593 0.4686034276301345,-102.45733062339916 24.573193472200696 65.29294869683432,123.08321664811923
8,0.6901419403107436 0.7776931386842072 -0.7773877164772991,0.4276449117060469 0.4829402258313029 -0.48002637773978485,0.4941737907227916
9,0.7738892567925955 -0.7016881017193437 0.8863992014712467,0.9048198692327397 -0.7661034222002506 1.0732106894482156,0.23704575682086865
10,0.7643318760333693 0.6472380965039519 -0.270975365635022,0.48239467264711255 0.48605914361073665 -0.18534435974822358,0.3358569794990149
11,-0.1751012915596084 0.7367844849775422 -0.30244007866178046,0.5925490406190208 -1.9355513482781386 0.8488188074159082,3.009329304175456
12,-0.8173710607239619 0.3855520049976626 0.21419689226513294,-1.3990736915462574 0.677357479878193 0.30455951072335274,0.6570340848772287
13,0.9270037709356762 0.20253391611925053 -0.502934644791635,0.9399876052609195 0.16828975436252225 -0.46142994773749485,0.05535234815039273
14,-0.6088654400991818 -0.7493622789095948 0.9377506033975296,-0.06305767149429513 -0.07856391176251777 0.09851749506198561,1.2050679564917364
15,0.6484590642617067 -0.6654105377807822 -0.7124875547497473,1.579942785984878 -1.4091720057348838 -1.6686261149576376,1.528085073340129
16,-0.39016126375200155 0.44089015193118897 -0.9366243573892734,0.31630342877781814 -0.37868988031545925 0.8630943446580018,2.0999502845418507
17,-0.6002763549116141 -0.14548027628004312 -0.007214651611407108,-2.284420562684128 -0.5565547198643006 -0.14105670949689658,1.7387459869690103
18,-0.43761488695758755 0.5373217014454541 -0.0892265942967918,-0.7117737328203317 0.9179691228963833 -0.13724334672553,0.4715518431051203
19,-0.8048799341009816 0.3160982603105631 0.7601952733955983,-0.8911453931065343 0.3521347051078859 0.8420399613510717,0.12425340123150755
