,original position,computed position,offset
0,-0.13746571992554668 0.04826369765022065 0.7785710738474168,-0.07672460601464424 0.11170461366850676 0.5747605954265002,0.2219300427128769
1,0.4557982761241881 0.18129459037663898 0.6921258864053896,0.6807228414139638 0.30395114140532825 1.1548630357688459,0.5289247195793231
2,0.221105157690757 0.6174576568580219 -0.780096941740476,0.009001997172593399 0.02860013216533748 -0.03895240616867034,0.9700701818409514
3,-0.3887749284694988 -0.601349341073012 0.7854971250000811,0.22717294602476684 0.3575521459708173 -0.4661041858155601,1.6927461969191666
4,0.008308338890569145 -0.7650060580616485 -0.9324374865736587,-0.00016616341545463908 0.007753337800110578 0.009575321489835396,1.218448616740827
5,0.9889359870040384 0.9508096621859894 0.8447188163516992,0.882956505909628 0.8564142406654558 0.7673211923480582,0.1616556161056234
6,-0.9268454309065228 -0.23903185568276086 -0.5398867867615191,-1.2158512555796093 -0.16796543305481207 -0.7285140907606373,0.352356443014855
7,-0.7149889896893422 0.16462121251418593 0.4686034276301345,-92.90171256638791 22.281390144584375 59.203443184961365,111.52275495664817
8,0.6901419403107436 0.7776931386842072 -0.7773877164772991,0.3962423016334553 0.4474771975454101 -0.44477731770868456,0.5532171750459659
9,0.7738892567925955 -0.7016881017193437 0.8863992014712467,0.9447862952873145 -0.7999426611633459 1.1206150371192976,0.30613202035415243
10,0.7643318760333693 0.6472380965039519 -0.270975365635022,0.45222345422678917 0.45565873204192414 -0.17375205685181613,0.3789019551559785
11,-0.1751012915596084 0.7367844849775422 -0.30244007866178046,0.6778205203993565 -2.214089184549176 0.9709690950918793,3.3251619441196274
12,-0.8173710607239619 0.3855520049976626 0.21419689226513294,-1.3565770686960634 0.65678286287905 0.29530856794538834,0.6090060765147933
13,0.9270037709356762 0.20253391611925053 -0.502934644791635,0.9511762209451208 0.1702928971429297 -0.4669223205321157,0.05404329877665998
14,-0.6088654400991818 -0.7493622789095948 0.9377506033975296,-0.07946382013605148 -0.09900442571917897 0.1241494701967899,1.1684084116316353
15,0.6484590642617067 -0.6654105377807822 -0.7124875547497473,1.4803922529802667 -1.3203815599602056 -1.5634877386803612,1.3584186333513424
16,-0.39016126375200155 0.44089015193118897 -0.9366243573892734,0.3068919326283435 -0.36742209746465276 0.8374132790661137,2.070377112186965
17,-0.6002763549116141 -0.14548027628004312 -0.007214651611407108,-2.851750144679694 -0.694773558258609 -0.17608775646948926,2.3236556244813547
18,-0.43761488695758755 0.5373217014454541 -0.0892265942967918,-0.7261354088872491 0.9364912663453017 -0.1400125476627459,0.4951359875591622
19,-0.8048799341009816 0.3160982603105631 0.7601952733955983,-1.0191127651247118 0.40270081155653925 0.9629558543376864,0.30742082062659176
