,original position,computed position,offset
0,-0.13746571992554668 0.04826369765022065 0.7785710738474168,-0.10404650940994074 0.15148302143090486 0.7794348750268236,0.10849801189747972
1,0.4557982761241881 0.18129459037663898 0.6921258864053896,0.4498219272616735 0.200851036431118 0.7631339582990418,0.07389396187823677
2,-0.3887749284694988 -0.601349341073012 0.7854971250000811,-0.3637985579765569 -0.572589990937677 0.7464270443895688,0.05456546986986749
3,0.008308338890569145 -0.7650060580616485 -0.9324374865736587,0.020798867737002617 -0.9704942991426965 -1.1985541141017708,0.3364513188863769
4,0.9889359870040384 0.9508096621859894 0.8447188163516992,0.9863943164244936 0.9567426411645547 0.8572123971434426,0.014062357195535856
5,-0.9268454309065228 -0.23903185568276086 -0.5398867867615191,-1.2291453305425206 -0.1698019612057363 -0.7364796382646307,0.3671876316971458
6,-0.7149889896893422 0.16462121251418593 0.4686034276301345,-1.4570379246179772 0.349453519822567 0.92852606917027,0.8923723661425859
7,0.7738892567925955 -0.7016881017193437 0.8863992014712467,0.6196811441689043 -0.5246788464352908 0.7350064367347615,0.27934242010430993
8,0.7643318760333693 0.6472380965039519 -0.270975365635022,0.7444745618192818 0.7501299008386233 -0.2860399768763079,0.10586774220173194
9,-0.1751012915596084 0.7367844849775422 -0.30244007866178046,-0.21190573531967305 0.6921864750255705 -0.30355221459937026,0.05783412849267816
10,0.9270037709356762 0.20253391611925053 -0.502934644791635,1.2971870209702112 0.23224059966272925 -0.6367753531451023,0.39475493773459164
11,-0.6088654400991818 -0.7493622789095948 0.9377506033975296,0.16810124459766287 0.20943829727260097 -0.26263122538646466,1.7215958610809108
12,0.6484590642617067 -0.6654105377807822 -0.7124875547497473,0.6689888312548283 -0.5966800453257839 -0.7065396572262201,0.07197728399188749
13,-0.39016126375200155 0.44089015193118897 -0.9366243573892734,-0.2942525244619002 0.3522897418518695 -0.8029242387467181,0.18688028430916293
14,-0.6002763549116141 -0.14548027628004312 -0.007214651611407108,-2.593414835531377 -0.6318351755620517 -0.16013625907423332,2.0573106496131994
15,-0.43761488695758755 0.5373217014454541 -0.0892265942967918,-0.5055954049190549 0.6520625150846098 -0.09748829193961862,0.1336228303278535
16,-0.8048799341009816 0.3160982603105631 0.7601952733955983,-1.0385380575551135 0.41037668540891764 0.9813107407724447,0.3352261773913452
