,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,11.23187804328292 -12.95222200431433 -19.873098078089164,25.001089452496213
1,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,-3.4598880440005426 8.727341750754137 6.432417471000239,12.471835737546508
2,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,1.2437048587084316 -0.5416435218006318 7.323728375353703,8.141898778667946
3,-0.7925633222447799 0.17325063952291075 0.15564915352866637,6.1844440295988035 -1.3473137716212196 -1.2989941217642889,7.287436776704998
4,0.8260103750393002 -0.612942606538684 -0.484824729802696,2.7210380172236146 -2.0278428704360327 -1.5826679646578643,2.607361173626832
5,0.39694776105484175 0.6485745195836405 -0.9252206839268766,9.336687007991122 27.180323615579617 -31.125587758176344,41.18148636602991
6,0.9557968581529928 -0.7803689741264652 0.2727787311244383,8.133122091905785 -5.396592060017593 2.0934361420167495,8.725726703124266
7,0.7171468911602219 -0.6245706897523309 0.6681963773271027,0.9965082065687636 -0.9532718437573292 0.8525294031938637,0.46911177518391534
8,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,0.023611373104333925 -0.09801085370974864 -0.04548662125402434,0.5772719267363083
9,-0.44509086704773115 -0.559357603298076 0.1947934109025935,0.7569613126726568 0.8419608740811743 -0.3375225581999041,1.9214534105141783
10,-0.5858292635790514 0.5993753240756479 -0.95646092519035,-0.8538834690597421 1.0758001738222576 -1.4731459181555708,0.7521948394448305
11,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,1.8781610790477399 2.3294795657451393 -8.353537780426446,9.548223207850931
12,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,3.2138082941704336 -2.2800012383991883 -1.404240767776811,3.008087906793907
13,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,1.8733673510097644 0.4167159277070857 -2.4703400365439,3.8123187350865053
14,0.8062348659307774 0.6264939032309735 0.7046098261470999,-3.6993175510948517 -2.79789172633264 -2.810594199707229,6.662062658509732
15,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.134321280678042 -0.07709837223755495 0.2367960201648046,0.8396126281425584
16,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,-53.66480236230974 -30.499151467519628 -89.79219108251051,108.19416453033729
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,2.9043740599127457 0.3024979073325792 -1.8893116624258084,4.666960668120075
