,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,-1.0120452873184833 1.167056407597685 1.7906600460620339,3.6108464530393247
1,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,-0.731909470377506 1.8461938644731926 1.3607224293313185,3.4995238486949947
2,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,0.18320289840455145 -0.07978634352122263 1.0788156499491515,1.7942281963721671
3,-0.7925633222447799 0.17325063952291075 0.15564915352866637,0.8820248514384916 -0.19215376896738315 -0.1852624248493599,1.7475659179144611
4,0.8260103750393002 -0.612942606538684 -0.484824729802696,-1.7356744192678415 1.2935045281365676 1.0095398458468532,3.525605642673632
5,0.39694776105484175 0.6485745195836405 -0.9252206839268766,-0.06929637827234836 -0.20173086933491427 0.23101240315689237,1.5090652085142475
6,0.9557968581529928 -0.7803689741264652 0.2727787311244383,-2.2811743593643987 1.5136336693523031 -0.5871660103182251,4.059548712561346
7,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-2.011476009530477 1.9242023614448158 -1.720851299206496,4.432739085648186
8,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,-2.1145118752740633 8.777342730523849 4.073545421637206,10.5925503969686
9,-0.44509086704773115 -0.559357603298076 0.1947934109025935,2.432174679391447 2.705284780999209 -1.0844858330722,4.535758184266543
10,-0.5858292635790514 0.5993753240756479 -0.95646092519035,0.3112393987614887 -0.392127745085223 0.5369597450569705,2.0045238385788355
11,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,0.3019561931052946 0.3745156842168265 -1.3430171114065064,2.101965544262228
12,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,-1.9899024486438093 1.4117145865331002 0.869467586897811,3.7734256122934347
13,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,0.7411571966724766 0.1648646265889493 -0.9773365033429136,1.921737329946627
14,0.8062348659307774 0.6264939032309735 0.7046098261470999,-0.5158241778040058 -0.3901314713826144 -0.391902674528607,1.9959225765463047
15,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,0.10214820049797274 0.05863151352960947 -0.18007784933866078,1.3375982266614805
16,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,0.7373680644759645 0.4190661158860229 1.2337675949416662,2.266480545072944
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,1.0270953786702346 0.10697458256738568 -0.6681313210060912,2.4190746331018853
