,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,-0.4318531600078261 0.4979984629579501 0.7640984144500007,2.255605793671047
1,0.29315823980679223 0.807229717045123 0.06557040989788931,0.5216653230847479 1.5272550045664013 0.08836879128855406,0.7557590012512799
2,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,-0.24287605385772118 0.612638992399307 0.4515406719101792,1.8917526132792188
3,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,-0.9192306429985376 0.400332377359886 -5.4130170003631735,4.81412175731574
4,-0.7925633222447799 0.17325063952291075 0.15564915352866637,-0.22758245588640788 0.049580039131670736 0.04780191574185891,0.5883271398214012
5,0.8260103750393002 -0.612942606538684 -0.484824729802696,-0.17415831287502825 0.1297907970617562 0.10129765950400418,1.3767823968785915
6,0.39694776105484175 0.6485745195836405 -0.9252206839268766,0.17445947499551287 0.5078744724037204 -0.5815932026607111,0.4328710969692692
7,0.9557968581529928 -0.7803689741264652 0.2727787311244383,-3.117101136887709 2.0682983798240624 -0.8023305324257294,5.085200458196456
8,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-0.7914198463409033 0.7570818294665751 -0.6770728879393647,2.4483640826946713
9,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,-0.6388392896088428 2.6518230803950575 1.2307052487046335,3.680167672001312
10,-0.44509086704773115 -0.559357603298076 0.1947934109025935,0.3836360614670028 0.4267147451715261 -0.17106003003891118,1.339020439989831
11,-0.5858292635790514 0.5993753240756479 -0.95646092519035,-0.8524072847886768 1.0739403424132312 -1.4705991598306192,0.7487415591115554
12,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,-0.04956956362792709 -0.06148103421071083 0.22047162362404393,0.4434419879552278
13,0.8103043405321477 -0.2520842082926775 -0.3176532250666355,0.5698141221102975 -0.35539781136822063 -0.30216339313320406,0.262200649561297
14,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,-0.06413812519638117 0.045502093308306124 0.028024499884732372,1.2740259348010394
15,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,-0.13654916866343658 -0.03037429549871485 0.18006232366772726,0.4562665173663628
16,0.8062348659307774 0.6264939032309735 0.7046098261470999,0.9216891666985327 0.6970978993120048 0.7002627349709958,0.1354013184207412
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,-0.1857710432944934 -0.0193485242191092 0.12084510858351373,0.9671492262155019
18,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,0.09039623070105308 0.05137461074822827 0.15125138382971787,0.954666824858685
19,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.27698431468619306 -0.1589847840181525 0.488297781518162,0.5392965273558432
