,original position,computed position,offset
0,-0.7925633222447799 0.17325063952291075 0.15564915352866637,-0.20041580151882482 0.04366164009965735 0.04209577236622198,0.6167060608157169
1,0.8260103750393002 -0.612942606538684 -0.484824729802696,-0.10397075323845775 0.0774837945496973 0.06047367929822356,1.2801968087917655
2,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-0.553404659395967 0.5293936131472164 -0.47344692285481066,2.061379217862988
3,0.8103043405321477 -0.2520842082926775 -0.3176532250666355,0.5591674093665129 -0.3487573680015419 -0.2965176101953186,0.26992993946462673
4,-0.44509086704773115 -0.559357603298076 0.1947934109025935,0.4367171751984252 0.48575636350300017 -0.1947284434687498,1.4218213326594766
5,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,-0.038889980671464416 -0.04823516805722129 0.1729718108011516,0.4936064664948322
6,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,-0.0790497904850442 -0.017584008154764855 0.10424002650113118,0.5522457371994892
7,0.8062348659307774 0.6264939032309735 0.7046098261470999,0.7426749380006749 0.5617047024718687 0.5642548508426501,0.1671437227843036
8,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.2912730256791922 -0.16718628681333228 0.5134874601703281,0.5092308931870064
9,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,0.07753662285277291 0.04406614951641986 0.12973462956379897,0.9286443214907215
