,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,-10.386318464653012 24.396781920210113 33.13628274417194,43.65146835987133
1,0.29315823980679223 0.807229717045123 0.06557040989788931,17.844706622020983 20.80762009458672 2.8657938451787333,26.756564001283127
2,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,0.36393417399460165 -1.0567443421248375 -0.6919015049992051,0.25689803535229105
3,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,-5.413165807181291 27.25787439019534 -11.65711320161025,29.92190894260576
4,-0.7925633222447799 0.17325063952291075 0.15564915352866637,-0.2234138305104846 -0.06825552055752057 -0.07475911625391464,0.6598062898172494
5,0.8260103750393002 -0.612942606538684 -0.484824729802696,0.4512678243753892 -0.5728669716156267 -0.3390368127601522,0.4040942372122915
6,0.39694776105484175 0.6485745195836405 -0.9252206839268766,0.24501447693490536 0.048368277173296594 -0.3178410567562124,0.867318435036284
7,0.9557968581529928 -0.7803689741264652 0.2727787311244383,-23.33373895650901 22.273503508027986 -0.801578015218361,33.50547461137655
8,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-14.909161900805845 6.093089011576654 -9.704873026352276,19.922576318796843
9,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,0.1632785203966668 -0.6523987522027966 -0.2234515964633306,0.08055505948431985
10,-0.44509086704773115 -0.559357603298076 0.1947934109025935,-0.22555022066616967 -0.4909444271560176 0.02881901296865893,0.28359470878881043
11,-0.5858292635790514 0.5993753240756479 -0.95646092519035,-14.5591730994764 16.04684564518729 -20.73129495335363,28.721468244489866
12,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,-0.06246792736124119 -0.09282899750908119 0.31268166959627824,0.3476962373866675
13,0.8103043405321477 -0.2520842082926775 -0.3176532250666355,0.7660666944092089 -0.3101889061510045 -0.3942034785397633,0.10579728992042252
14,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,0.5642764285011399 -0.7715862692785047 -0.35987270513700076,0.3247948598455853
15,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,-0.06968760278542382 -0.06752699290136273 0.3036608583378691,0.4136783748570661
16,0.8062348659307774 0.6264939032309735 0.7046098261470999,0.2449443730311229 0.31551061486884135 0.2643812116252345,0.7781766226917276
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,-0.34372545877238225 -0.18743168661768467 0.15859048455755037,0.8173114965746608
18,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,-0.09964254145473553 -0.4523325410706831 -0.22362141595623602,0.5649846566958185
19,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.364672699945543 -0.7139236530023451 0.40174799472682715,0.715309015628103
