,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,-2.6060942793180777 3.00525980960841 4.611087034069809,7.3352944154819335
1,0.29315823980679223 0.807229717045123 0.06557040989788931,2.527829174686071 7.400606455685519 0.428207892811502,6.9712177522189345
2,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,-0.29157899995428205 0.7354889948987454 0.5420862841891447,2.051816399002481
3,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,4.954327942662491 -2.1576498766803405 29.17424651067579,30.36336458074222
4,-0.7925633222447799 0.17325063952291075 0.15564915352866637,-0.2759010459803041 0.06010649899568705 0.0579508578623653,0.5378535685728352
5,0.8260103750393002 -0.612942606538684 -0.484824729802696,-0.02195534448207756 0.016362134043748297 0.012770134097673073,1.167334984733584
6,0.39694776105484175 0.6485745195836405 -0.9252206839268766,0.17363821025682938 0.5054836627565321 -0.5788553634598564,0.43624658624148305
7,0.9557968581529928 -0.7803689741264652 0.2727787311244383,-5.618720871738004 3.7282047535046017 -1.4462383832287917,8.155154215437957
8,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-2.3086376108456794 2.208470755535633 -1.9750780089831208,4.916136202814371
9,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,-0.773768969500147 3.211916432801671 1.4906433394722511,4.312205733509803
10,-0.44509086704773115 -0.559357603298076 0.1947934109025935,0.37414149660832513 0.4161540309136105 -0.16682648498654792,1.32421054339811
11,-0.5858292635790514 0.5993753240756479 -0.95646092519035,-2.3475665772840686 2.957678211855423 -4.050093773021042,4.270348354664762
12,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,-0.04560309457652181 -0.05656143029255605 0.2028298731664072,0.4620660203529017
13,0.8103043405321477 -0.2520842082926775 -0.3176532250666355,0.6137556796389512 -0.38280452658959485 -0.3254649042878289,0.23617832255905913
14,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,0.027974510146226594 -0.019846211080076632 -0.012223176994462712,1.1552593793873878
15,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,-0.09269038744724288 -0.02061825235386291 0.12222737574147934,0.5294753958026273
16,0.8062348659307774 0.6264939032309735 0.7046098261470999,0.7794499919365292 0.5895186486177224 0.5921950727507267,0.12133291272268172
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,-0.14776062593722292 -0.015389643072870862 0.09611911829253829,1.012630622939273
18,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,0.0036915286265021057 0.0020979950688394923 0.006176682466462171,0.7793263878603374
19,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.26414658443800015 -0.15161612210274916 0.46566604799555006,0.5663121021790588
