,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,-0.2832117050908506 0.32659016278678604 0.501099991510259,1.9085210753294606
1,0.29315823980679223 0.807229717045123 0.06557040989788931,0.49121470663304106 1.438106168502314 0.08321053358816337,0.6614700560257604
2,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,-0.2548131835104818 0.6427496227659026 0.4737334713174194,1.9309823491802276
3,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,9.989452387803592 -4.350487283460979 58.82427442052248,60.517589683521265
4,-0.7925633222447799 0.17325063952291075 0.15564915352866637,-0.24474210642076621 0.053318359564436986 0.05140616619169392,0.5704019956941547
5,0.8260103750393002 -0.612942606538684 -0.484824729802696,0.0017971843480839036 -0.001339344560440944 -0.0010453165579799868,1.1346490446174202
6,0.39694776105484175 0.6485745195836405 -0.9252206839268766,0.17807967600386157 0.5184133535803248 -0.5936618180155103,0.418062733753748
7,0.9557968581529928 -0.7803689741264652 0.2727787311244383,-2.062400136940278 1.368469829644853 -0.5308543185731738,3.7911538328521677
8,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-0.40186679187195884 0.3844306500512403 -0.3438037479066085,1.8150536025174835
9,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,-0.6889467595128433 2.8598192812439263 1.3272358272291975,3.914881064183494
10,-0.44509086704773115 -0.559357603298076 0.1947934109025935,0.3341889170963554 0.3717151564235447 -0.14901197238490246,1.2618936593266292
11,-0.5858292635790514 0.5993753240756479 -0.95646092519035,-0.5872770149728812 0.7399050780141508 -1.0131882965090604,0.15155428856632655
12,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,-0.044528722123662906 -0.05522888821038105 0.19805136349791977,0.46711218342436894
13,0.8103043405321477 -0.2520842082926775 -0.3176532250666355,0.563993112843895 -0.3517671994318721 -0.2990766042258284,0.2663663087734899
14,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,0.03320922797952346 -0.023559924547129574 -0.014510433581191145,1.1485169787622007
15,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,-0.10024173049988268 -0.0222979896055659 0.1321850517213446,0.5168701609875052
16,0.8062348659307774 0.6264939032309735 0.7046098261470999,0.7921193762588629 0.5991008391389698 0.6018207665708406,0.10730898274421545
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,-0.16952233651988383 -0.01765618029412326 0.11027523343129958,0.9865912228725955
18,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,-0.0015027303435094534 -0.0008540420973155872 -0.0025143752368434105,0.7688324396117672
19,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.20049767287363357 -0.115082614891282 0.3534588916150983,0.7002849175650996
