,original position,computed position,offset
0,0.5532304283251794 -0.5456321746998376 -0.9760748276673938,-2.268321031571455 2.6157511205829915 4.013448700145971,6.5460554546338265
1,0.4073581460531386 -0.8227566653126834 -0.5951506583952744,-0.2978884967698532 0.7514042887708311 0.5538165243106641,2.072554251041319
2,-0.1292535666916954 -0.07487591134191485 -0.6879898474761565,4.25103009615517 -1.8513579780922615 25.03277969986041,26.151496316801545
3,-0.7925633222447799 0.17325063952291075 0.15564915352866637,-0.21500875582524018 0.04684079221285841 0.04516090833842646,0.6014618682960973
4,0.8260103750393002 -0.612942606538684 -0.484824729802696,-0.07781688848489167 0.05799272980192073 0.04526151260468419,1.2442063222109447
5,0.39694776105484175 0.6485745195836405 -0.9252206839268766,0.16134752124575094 0.46970385087104877 -0.5378820590002175,0.48737398318320807
6,0.9557968581529928 -0.7803689741264652 0.2727787311244383,-4.842293588552878 3.2130199002257 -1.2463888152645728,7.202282802277563
7,0.7171468911602219 -0.6245706897523309 0.6681963773271027,-2.0655158056576366 1.9758974862323835 -1.7670832467582758,4.520645226741015
8,0.16076555265146864 -0.6037765101598769 -0.2876285407685375,-0.7895111776941052 3.277262368319637 1.5209702441658677,4.38594553150994
9,-0.44509086704773115 -0.559357603298076 0.1947934109025935,0.47466575314183185 0.5279662060939722 -0.21164938895575658,1.4810202754891837
10,-0.5858292635790514 0.5993753240756479 -0.95646092519035,-2.0321340497079765 2.560267581141114 -3.5058999136834244,3.5265471972238407
11,-0.15702992927833015 -0.13007813156700987 0.6451921255194157,-0.02640701609767463 -0.03275257116020369 0.11745105843216523,0.5523090113755974
12,0.8213697346631821 -0.6773528884389854 -0.5345575723818139,-0.03745553831355613 0.026572423095279775 0.016365815588418063,1.2396000456335825
13,-0.4049021371306729 -0.07964731818849624 0.5457643723623773,-0.05411879739400376 -0.012038303566184298 0.0713644506828594,0.5938646444978385
14,0.8062348659307774 0.6264939032309735 0.7046098261470999,0.7232005196395996 0.5469756846854753 0.5494589630789433,0.1931052564158903
15,-0.5312941272472804 -0.2826040343552425 0.9475205429306515,-0.23661769861549845 -0.13581496032321186 0.41713516316900795,0.6242514564750855
16,-0.44539033662789373 -0.20536958369181035 -0.5960129063494415,0.033762478768518026 0.01918812533637785 0.056491532839989665,0.840104534179057
17,-0.9712988894820966 -0.11413484999223034 0.6770277953686574,-0.08708929625163744 -0.009070570568303054 0.056652077069445465,1.0852332189105283
