,original position,computed position,offset
0,-0.5657626211458759 -0.6778170600770208 -0.8087384842786118,-6.677557959834324 -7.205530844616308 -10.055099702791388,12.863136681933188
1,0.3260967383951092 0.4232994095543372 -0.6550007497680017,0.6199745438265818 0.831249001693691 -1.248797851171743,0.7780629999475419
2,0.9172380839899221 0.5035010185634017 -0.02029967785527287,2434.4623695932646 1349.0002212353943 44.307909878010264,2782.543854405618
3,0.08603733235232824 -0.34947586172691025 0.6505706465445211,0.013605436177540536 -0.4042832738828598 0.7797194459837025,0.15789124233879864
4,0.3572030791476817 0.09607033671066945 -0.8020197807465741,-1.1080031045989212 -0.14277381888711438 2.134997437837028,3.2908883046692816
5,-0.7443142615910541 -0.3302854801408637 0.17928738629005547,0.4127925811253661 0.1858015124089672 -0.09728616053120184,1.2968172408406597
6,0.08358972685290378 0.005284403347288524 -0.8593503080237885,0.405183629201459 -0.22578541666542218 -2.519325023464398,1.7065555823501943
7,-0.24115275245279366 0.6570873185833113 -0.21736115355874697,2.363577857048665 -6.479473812412833 2.2855051819662373,7.9987165356714
8,-0.7629553116884895 -0.023226997272513872 -0.0887087613444999,-2.8805507688051426 -0.22113535792640576 -0.6861437697432116,2.209141649708811
9,0.941740530212605 -0.42605292276499895 -0.2102943441896472,-65.90686628372622 32.24309550998135 12.388509270864393,75.46349677039952
10,0.8836471170578197 0.21580038956949865 0.009444698546652752,1.1916369560766076 0.35569308540098876 -0.030697791114429624,0.34064516254015814
11,0.601683767293659 -0.40586333068643765 0.33636412638527635,23.087322654107627 -20.61331998714352 14.125577818065981,33.227814777767534
12,-0.2303971713500783 -0.25621210320232035 0.8485081720149701,2.545377719760029 2.877517609738739 -9.403624923940601,11.073907222704845
13,-0.21112218826160323 -0.364778506845032 -0.6449630050342334,1.070165972266141 1.9287546771847508 3.2048144981320603,4.660770391302243
14,0.2555819573175613 0.30715642857281145 0.8109017271882812,2.363613048674265 3.0195572233314443 6.784702949551301,6.891096734035861
15,-0.02728121504649339 -0.7366694183724738 -0.7595937010082365,-0.10796875727786258 -1.674346697798434 -1.7253107286418274,1.348465252531361
16,-0.8153243710347324 0.38853521660951484 0.6555084652806411,0.16959849199483773 -0.08893542396491738 -0.14376018459345474,1.3553160640236226
17,-0.8572802782350644 -0.06111102620062625 -0.6080566786902477,-1.450839977339916 -0.11498579495231841 -1.0364145681818828,0.7339659996207033
18,-0.09218070449114646 -0.3961405726847276 0.9129258093655814,0.034052194121001585 0.16803324877809575 -0.3660394959266897,1.4035594385908075
19,-0.8906495898916234 0.29355737558050987 0.8870341772446204,-0.2101495671808368 0.0708172174842376 0.20596451560253817,0.9882051117796314
