,original position,computed position,offset
0,-0.5657626211458759 -0.6778170600770208 -0.8087384842786118,-6.03612414226857 -6.513380932170666 -9.089225497406611,11.51282441678174
1,0.3260967383951092 0.4232994095543372 -0.6550007497680017,0.7050394929083653 0.9453023200233799 -1.420141863085043,1.0007624958122114
2,0.9172380839899221 0.5035010185634017 -0.02029967785527287,3130.1234801040205 1734.4845087336068 56.969140618371576,3577.970044105858
3,0.08603733235232824 -0.34947586172691025 0.6505706465445211,0.010010825457286737 -0.29747001399505146 0.5737144460153721,0.11996463440842821
4,0.3572030791476817 0.09607033671066945 -0.8020197807465741,-0.9586434848079743 -0.12352780484927454 1.847198239218884,2.9661476094355437
5,-0.7443142615910541 -0.3302854801408637 0.17928738629005547,0.516454520840575 0.23246064839882533 -0.1217170068429644,1.4130905040463324
6,0.08358972685290378 0.005284403347288524 -0.8593503080237885,0.3824198489524163 -0.2131004776945669 -2.377785837088376,1.5628940636099842
7,-0.24115275245279366 0.6570873185833113 -0.21736115355874697,2.4088106084880607 -6.6034741399420875 2.329243824846574,8.137767225928263
8,-0.7629553116884895 -0.023226997272513872 -0.0887087613444999,-3.0348397098553557 -0.23297987758310235 -0.7228952121369154,2.3680471793866973
9,0.941740530212605 -0.42605292276499895 -0.2102943441896472,-56.90377349519625 27.838583551908247 10.696198518339713,65.29888785017403
10,0.8836471170578197 0.21580038956949865 0.009444698546652752,1.299819067636741 0.3879844882899272 -0.03348467334903649,0.45242611250036036
11,0.601683767293659 -0.40586333068643765 0.33636412638527635,20.070922065373768 -17.92015233507206 12.280045450152393,28.782860921045984
12,-0.2303971713500783 -0.25621210320232035 0.8485081720149701,2.2581490790062295 2.552809231342034 -8.342489523841063,9.927633249839497
13,-0.21112218826160323 -0.364778506845032 -0.6449630050342334,1.4529702791291055 2.6186809282922683 4.351194428325471,6.052422906576481
14,0.2555819573175613 0.30715642857281145 0.8109017271882812,3.134499985433076 4.004378837667821 8.997518146409208,9.432831544683735
15,-0.02728121504649339 -0.7366694183724738 -0.7595937010082365,-0.10133772087659247 -1.5715145991305324 -1.6193486102145216,1.2006787021493412
16,-0.8153243710347324 0.38853521660951484 0.6555084652806411,0.6457881863248334 -0.3386436133175177 -0.5474024431606165,2.0274697555364
17,-0.8572802782350644 -0.06111102620062625 -0.6080566786902477,-1.4901589047661856 -0.11810200225112151 -1.0645022345174813,0.7823847344532859
18,-0.09218070449114646 -0.3961405726847276 0.9129258093655814,0.054891832595779254 0.27086809530324807 -0.5900523961085737,1.6509010813693807
19,-0.8906495898916234 0.29355737558050987 0.8870341772446204,-0.21392318749519443 0.07208887030793738 0.20966298565194705,0.9827709060242672
