,original position,computed position,offset
0,-0.5657626211458759 -0.6778170600770208 -0.8087384842786118,-5.0171148503732645 -5.413801875295747 -7.5547962809610825,9.367677654296733
1,0.3260967383951092 0.4232994095543372 -0.6550007497680017,0.8601311871948241 1.1532460450203579 -1.7325388421030872,1.4068060362274943
2,0.9172380839899221 0.5035010185634017 -0.02029967785527287,2380.7267775907535 1319.2239033078713 43.32990676840107,2721.1020164889815
3,0.08603733235232824 -0.34947586172691025 0.6505706465445211,0.002009751927478051 -0.0597194443699268 0.11517768625784391,0.6145445773873044
4,0.3572030791476817 0.09607033671066945 -0.8020197807465741,-0.9615089508956679 -0.1238970398582139 1.852719670278093,2.972377603495626
5,-0.7443142615910541 -0.3302854801408637 0.17928738629005547,0.2985629932294232 0.13438578653749497 -0.07036475124821216,1.1686909533644003
6,0.08358972685290378 0.005284403347288524 -0.8593503080237885,0.2709158652408148 -0.15096575257796863 -1.6844834523542422,0.8604358774613337
7,-0.24115275245279366 0.6570873185833113 -0.21736115355874697,2.5188744908559184 -6.905201473090105 2.4356721249547673,8.476116311694632
8,-0.7629553116884895 -0.023226997272513872 -0.0887087613444999,-2.891086007152869 -0.22194413162624602 -0.6886532509970524,2.2199914745619913
9,0.941740530212605 -0.42605292276499895 -0.2102943441896472,-43.23974747522119 21.153840051643957 8.12777245637124,49.87202643899535
10,0.8836471170578197 0.21580038956949865 0.009444698546652752,2.2665220728597353 0.676536780026732 -0.058387935011659134,1.4591855368839037
11,0.601683767293659 -0.40586333068643765 0.33636412638527635,15.444351465757489 -13.789358061443572 9.449358496330632,21.965185681024444
12,-0.2303971713500783 -0.25621210320232035 0.8485081720149701,1.7242914906301763 1.949289918778246 -6.370209934483618,7.797110877454871
13,-0.21112218826160323 -0.364778506845032 -0.6449630050342334,2.0144261432941324 3.6305899705392144 6.032580250869507,8.093554137746393
14,0.2555819573175613 0.30715642857281145 0.8109017271882812,3.640999617260201 4.6514410218760815 10.451414987912784,11.102853565190737
15,-0.02728121504649339 -0.7366694183724738 -0.7595937010082365,-0.08663985315256788 -1.3435845302026723 -1.3844807696302597,0.8731284266456426
16,-0.8153243710347324 0.38853521660951484 0.6555084652806411,0.9378586279371601 -0.49180186517982416 -0.7949759923508876,2.4397846559252065
17,-0.8572802782350644 -0.06111102620062625 -0.6080566786902477,-1.50586133318453 -0.11934649250681154 -1.0757193403477499,0.8017213477785409
18,-0.09218070449114646 -0.3961405726847276 0.9129258093655814,0.0780345945026702 0.3850678868084442 -0.838822412884825,1.925586076848477
19,-0.8906495898916234 0.29355737558050987 0.8870341772446204,-0.16600320071289915 0.05594056140905024 0.1626973078363827,1.0517785128585218
