,original position,computed position,offset
0,-0.5657626211458759 -0.6778170600770208 -0.8087384842786118,-0.5369138964238414 -0.5793659395928474 -0.8084875927441404,0.10259110579986463
1,0.08603733235232824 -0.34947586172691025 0.6505706465445211,-0.012006875299355358 0.35678230317523835 -0.6881068739172992,1.5167302878016264
2,0.3572030791476817 0.09607033671066945 -0.8020197807465741,0.4217978434995564 0.054351552504521505 -0.8127570323755693,0.07764167122014906
3,-0.7443142615910541 -0.3302854801408637 0.17928738629005547,-1.0888968926850708 -0.4901219129635144 0.25662912258472503,0.3876423855594473
4,0.08358972685290378 0.005284403347288524 -0.8593503080237885,0.900841132174178 -0.5019866937323072 -5.60119275037146,4.838418499208359
5,-0.24115275245279366 0.6570873185833113 -0.21736115355874697,-0.16427242801017186 0.45033375660510977 -0.1588462526638458,0.2282139638668434
6,-0.7629553116884895 -0.023226997272513872 -0.0887087613444999,-1.2018158569850985 -0.09226151560115332 -0.28627110883762596,0.4862049198495414
7,0.8836471170578197 0.21580038956949865 0.009444698546652752,1.0992494141230673 0.3281162217576671 -0.028317793204828856,0.24601870344185786
8,0.601683767293659 -0.40586333068643765 0.33636412638527635,1.038735769373772 -0.9274264113246479 0.635532459199522,0.7433331628320577
9,-0.2303971713500783 -0.25621210320232035 0.8485081720149701,-0.286282174973488 -0.32363841069457544 1.0576387838086427,0.2267268254116051
10,-0.21112218826160323 -0.364778506845032 -0.6449630050342334,-0.22311913625742508 -0.4021264820396551 -0.6681724715787078,0.04557935222918066
11,-0.02728121504649339 -0.7366694183724738 -0.7595937010082365,-0.03190428718057562 -0.4947619962776259 -0.50982164053863,0.34774510183720003
12,-0.8153243710347324 0.38853521660951484 0.6555084652806411,-0.8662475726109333 0.45424988290036533 0.7342748716537558,0.11452395643455075
13,-0.8572802782350644 -0.06111102620062625 -0.6080566786902477,-1.5194796693485053 -0.12042580878855194 -1.0854476647771745,0.8184915580636817
14,0.3260967383951092 0.4232994095543372 -0.6550007497680017,0.2951331834676495 0.39570844733390825 -0.5944787394802615,0.07336836279531037
15,-0.09218070449114646 -0.3961405726847276 0.9129258093655814,-0.09742636614451387 -0.4807581197773762 1.0472716626360528,0.15885985815532264
16,0.2555819573175613 0.30715642857281145 0.8109017271882812,0.3216200188751775 0.41087522837430995 0.9232036910276343,0.16652431080393698
17,-0.8906495898916234 0.29355737558050987 0.8870341772446204,-0.7975406161040628 0.2687590939197737 0.7816578871555355,0.142787948672277
