,original position,computed position,offset
0,-0.5657626211458759 -0.6778170600770208 -0.8087384842786118,-19.15571364073101 -20.670293888748084 -28.844768056562096,39.13188422288758
1,0.9172380839899221 0.5035010185634017 -0.02029967785527287,0.9792443683369616 0.5426252983120786 0.01782252696231744,0.08263649959027156
2,0.08603733235232824 -0.34947586172691025 0.6505706465445211,-0.001601935885050753 0.04760125847548007 -0.09180599170022186,0.8464478446643791
3,0.3572030791476817 0.09607033671066945 -0.8020197807465741,0.4134084431689868 0.05327052058466793 -0.7965916009463506,0.07085430361756802
4,-0.7443142615910541 -0.3302854801408637 0.17928738629005547,-0.7141700600105647 -0.32145412329216844 0.1683142243384092,0.033272752154446604
5,0.08358972685290378 0.005284403347288524 -0.8593503080237885,0.6313791768598438 -0.3518311211193868 -3.9257493267737242,3.1353481021322946
6,-0.24115275245279366 0.6570873185833113 -0.21736115355874697,-0.21263652208640374 0.582918295799988 -0.20561280503388468,0.08032585528958766
7,0.601683767293659 -0.40586333068643765 0.33636412638527635,0.697505805562325 -0.6227621356687909 0.4267568259271699,0.2537672058229858
8,-0.2303971713500783 -0.25621210320232035 0.8485081720149701,-0.2736589923811937 -0.30936806098643904 1.011003789904657,0.1763574972611779
9,-0.21112218826160323 -0.364778506845032 -0.6449630050342334,-0.17129000694859334 -0.30871510645915606 -0.5129603368826544,0.14884358209246182
10,-0.02728121504649339 -0.7366694183724738 -0.7595937010082365,-0.04054334930404277 -0.6287339480087826 -0.6478714518248919,0.1559096242387938
11,-0.8153243710347324 0.38853521660951484 0.6555084652806411,-1.4030556653558712 0.7357456365154545 1.1893003238058997,0.8665546135377215
12,-0.8572802782350644 -0.06111102620062625 -0.6080566786902477,-0.9004852623498733 -0.07136763209681542 -0.6432660106620683,0.056670677380568704
13,0.941740530212605 -0.42605292276499895 -0.2102943441896472,0.4641489532169224 -0.2270719254804932 -0.08724604785844113,0.5318157904082689
14,0.3260967383951092 0.4232994095543372 -0.6550007497680017,0.38162068650109626 0.511669096478952 -0.7686881631039341,0.15432737388890508
15,0.2555819573175613 0.30715642857281145 0.8109017271882812,0.36119634726477706 0.46143468366619067 1.0368067328233017,0.29323923838657573
16,-0.7629553116884895 -0.023226997272513872 -0.0887087613444999,-0.9540157436842305 -0.07323829013246227 -0.22724541634702625,0.24124183481977518
17,0.8836471170578197 0.21580038956949865 0.009444698546652752,0.7332540011012281 0.21886983003030416 -0.018889375698564848,0.15306969182437377
18,-0.09218070449114646 -0.3961405726847276 0.9129258093655814,-0.10566116528262343 -0.5213933883094033 1.1357905320768953,0.2560052250916968
19,-0.8906495898916234 0.29355737558050987 0.8870341772446204,-0.8235195093007334 0.27751358698958456 0.8071194202194506,0.10559459864444591
