,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.3379546500737525 0.863128247138581 0.7813333638867104,0.1461158144730287
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,0.1952616443532877 -0.2730914545525796 0.3324992924725208,0.7375121548881911
2,-0.273866920923024 0.15916294573795264 -0.011601363054161151,1.8554954567491093 -0.8142911474211718 0.22553923996841105,2.3533025034057315
3,0.5405500808926487 0.15912392232241768 0.799787619093526,1.4100372518993742 0.28487426472153904 2.2359470081322366,1.68356018005975
4,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.31603144928741483 1.189872573619735 0.9386963033897245,0.8088434658108711
5,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.7452494919244419 1.3885019605136346 -1.1939280378711838,0.6036531423165277
6,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.4937917882374754 -0.3999012540850372 1.6596646383074518,1.1170648456565957
7,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,0.8392138828503294 3.7175935203934665 -2.6390188087881628,5.728112981363089
8,0.6786669683950541 0.3608581760831011 -0.8996043338444049,3.7925955104275193 1.6613151324290716 -6.04329652449095,6.151854079244022
9,-0.953790665641544 -0.7250315100385312 0.9888390113434515,-0.06849349233919677 -0.05180765076239369 0.06970355766186798,1.4428414438080968
10,0.2826053716843495 0.6728283741326702 -0.7318649858030541,-0.357136865511151 -0.9941277544627262 0.9178290721622631,2.430947006744436
11,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.5446582300437558 -0.7108283378699862 -0.4053154869524378,0.23413914438956027
12,0.7063164841191036 0.8233937549206134 -0.3896197928856566,53.191779003411526 62.43955494428661 -29.20483797061091,85.91619110626291
13,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,-0.3665413540956747 0.38014351251391953 0.5284564661725677,1.8393605412747285
14,0.636235620712019 0.12616924411893438 0.4309754596936808,0.3223491473448247 0.0835582262931946 0.16400085456211913,0.4142654424257389
15,0.1414865294758516 -0.8908371848097207 -0.17584413352936434,-0.02031976494719979 2.7373560093094516 0.9552506466835099,3.80385890019496
16,0.7724738063516547 0.024587452305099067 0.6394413570558319,0.23261082816182668 0.015496563857083062 0.19373111396068823,0.7001373438638288
17,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-0.3347051604136917 0.12051791207560084 0.34300643310645995,1.7943778986087977
18,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,-0.45375785109935757 0.6832073257509307 0.6961051030204747,2.6608859657705675
19,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.5398233315673017 -0.343239751596819 0.5408015761088334,0.3949993272975205
