,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.26670980689686236 0.6811705892234954 0.6166190361896872,0.3199415095079995
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,-0.18487555090106716 0.2585655430384165 -0.3148134395450067,1.6476826990495488
2,-0.273866920923024 0.15916294573795264 -0.011601363054161151,4.737216871651125 -2.0789454094154203 0.575818328690306,5.519524588210095
3,0.5405500808926487 0.15912392232241768 0.799787619093526,2.4952167727785874 0.5041164994106685 3.956755376654267,3.729100049193157
4,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.3745626140460234 1.4102450327699894 1.1125492161801638,1.0948447053857595
5,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.8520332924937545 1.5874548186480486 -1.365001181659483,0.8859634125829133
6,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.6781383778721531 -0.5491958234506853 2.279264889460494,1.78050501654616
7,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,0.4625343447690432 2.0489588151623814 -1.454500289497367,3.6478161295714
8,0.6786669683950541 0.3608581760831011 -0.8996043338444049,7.645819055965048 3.3491878747853754 -12.183200555070986,13.593780426472826
9,-0.953790665641544 -0.7250315100385312 0.9888390113434515,0.10424162385286168 0.0788471058933478 -0.10608324660993573,1.7217746384841053
10,0.2826053716843495 0.6728283741326702 -0.7318649858030541,-0.7625202786201816 -2.1225548116743056 1.959650059730446,4.018794349148763
11,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.7576084183677494 -0.9887476275560789 -0.563785522868757,0.15507536289314455
12,0.7063164841191036 0.8233937549206134 -0.3896197928856566,55.6973648410077 65.38075502267053 -30.580524773711826,90.0175484936449
13,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,-1.1760587169743584 1.2197016423869909 1.6955681170465975,3.4876996797618207
14,0.636235620712019 0.12616924411893438 0.4309754596936808,-0.032720060880583775 -0.00848158052815399 -0.016646912175635242,0.816087211216471
15,0.1414865294758516 -0.8908371848097207 -0.17584413352936434,-0.03133712100763162 4.221547676737232 1.4731865838765394,5.374537123668336
16,0.7724738063516547 0.024587452305099067 0.6394413570558319,-0.8065637150933617 -0.0537333804041786 -0.6717507015477417,2.053951864458506
17,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-0.38699250949501546 0.13934511549087109 0.39659059978859273,1.8714587856696174
18,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,-0.9723834971130013 1.4640838214861966 1.491723201688561,3.881849048991359
19,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.005959988393235302 -0.00378958228736504 0.005970788826954756,1.222219495078651
