,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,-0.009026663984375407 -0.02305388803096127 -0.020869172044379474,1.283372354622896
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,-0.6222721824521948 0.8703051538683674 -1.0596298165774543,2.703095388835344
2,-0.273866920923024 0.15916294573795264 -0.011601363054161151,9.609910058099915 -4.217345108208761 1.1681040785009633,10.873572322202076
3,0.5405500808926487 0.15912392232241768 0.799787619093526,-2.119595244016039 -0.42822849951869996 -3.361118749114577,4.97337891398503
4,0.15883884129954495 0.5278623421840942 0.5013626897108274,-0.1973329350515253 -0.7429673465065632 -0.5861305800026521,1.7101193068317733
5,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.28674394444110723 0.5342432746834482 -0.4593785553264409,0.6187461663621959
6,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.43953501333986805 -0.35596096823782086 1.4773042734103754,0.921806531486728
7,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,0.18284540553332354 0.8099781339837883 -0.5749815084851243,2.1036877088766017
8,0.6786669683950541 0.3608581760831011 -0.8996043338444049,4.727654086856676 2.070909817245394 -7.533261966255882,7.957637016411407
9,-0.953790665641544 -0.7250315100385312 0.9888390113434515,0.2694704186484276 0.20382417165994743 -0.2742311163140899,1.9885891242644016
10,0.2826053716843495 0.6728283741326702 -0.7318649858030541,-0.7421702190032046 -2.0659082959435566 1.9073511285910811,3.939074162511658
11,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,2.558668940249948 -3.3392947900765506 -1.9040713795588309,3.4026803507829246
12,0.7063164841191036 0.8233937549206134 -0.3896197928856566,33.71173479941051 39.57276400061758 -18.509359359119095,54.029587214355104
13,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,-1.1581498539034027 1.2011281907508988 1.669748235099047,3.451217031990537
14,0.636235620712019 0.12616924411893438 0.4309754596936808,-0.18545391061154293 -0.048072718533548636 -0.09435297121988209,0.9907087905948095
15,0.1414865294758516 -0.8908371848097207 -0.17584413352936434,-0.026384529724154695 3.554364490971719 1.2403607594344903,4.668365338075183
16,0.7724738063516547 0.024587452305099067 0.6394413570558319,-0.6023864991063076 -0.04013106751656183 -0.5017006664262235,1.7879134386453357
17,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,0.05892328031136388 -0.021216615563960182 -0.0603846805993444,1.2145812172303507
18,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,-0.29899611019832 0.4501879854279271 0.4586867590016617,2.298312145947178
19,0.8003476570337418 -0.5317121267828122 0.7702132327383524,-1.3828301100225402 0.8792548148793077 -1.3853360150620073,3.3769047118218936
