,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.4201236559424423 1.07298596026395 0.9713037807713414,0.3002101642882585
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,0.4823985923559696 -0.6746790118301624 0.8214475053681948,0.16142649870021197
2,0.5405500808926487 0.15912392232241768 0.799787619093526,0.5217407703900717 0.10540893025337453 0.8273431875667501,0.06323290194544498
3,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.2612922795865228 0.9837771458492762 0.7761066106084871,0.5420694026488716
4,0.569363666709015 0.9684099275299485 -0.7977160030457133,1.0088042315256338 1.879540567858324 -1.6161562936881022,1.3011962046894936
5,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.15750120624093028 -0.1275536195538417 0.5293712627783277,0.09386758192985685
6,-0.273866920923024 0.15916294573795264 -0.011601363054161151,0.02987016212459929 -0.013108632792187552 0.003630778851444133,0.34952214598588394
7,0.6786669683950541 0.3608581760831011 -0.8996043338444049,0.43509740190821666 0.19059082253388335 -0.6933042581360244,0.3617690238819844
8,0.2826053716843495 0.6728283741326702 -0.7318649858030541,0.2483913198399898 0.6914231737660015 -0.6383568783793879,0.10129231990120562
9,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.725872719950368 -0.9473296657723042 -0.5401689329628567,0.09951505192740545
10,0.7063164841191036 0.8233937549206134 -0.3896197928856566,-0.34590412802144216 -0.4060420653662511 0.18991795727651375,1.7188788952921874
11,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,0.5722700579546188 -0.5935067012401266 -0.8250632817931117,0.13602990261298423
12,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,-0.2115914468856035 -0.9373188503995316 0.6653772292389454,0.11846309727166085
13,0.636235620712019 0.12616924411893438 0.4309754596936808,0.5877427292721432 0.1523526287543319 0.2990245535229926,0.14299710413302258
14,0.1414865294758516 -0.8908371848097207 -0.17584413352936434,-0.011304050251194806 1.52281337727326 0.5314136920705275,2.5197753131914564
15,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-0.363762152598477 0.13098051750713682 0.37278408945865593,1.8372118674984104
16,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,0.19227987298151947 -0.289509079561177 -0.2949745122123658,1.1654446095759114
17,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.8383828731413818 -0.5330750123092792 0.839902154397684,0.07940453968982876
