,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.4124668955099312 1.0534307737635389 0.9536017536386979,0.2763619568573614
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,0.491079864077161 -0.6868205726039559 0.83623032006085,0.15949724222360412
2,0.5405500808926487 0.15912392232241768 0.799787619093526,0.5163478273027967 0.10431937698476186 0.8187914028924254,0.06285245474259524
3,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.25742799715059506 0.9692279492500189 0.764628678124115,0.5232899783172997
4,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.9701605281325899 1.8075420512485487 -1.554247092181648,1.1987994552937868
5,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.16190335635044323 -0.131118736251607 0.544167160651312,0.07814263994839962
6,-0.273866920923024 0.15916294573795264 -0.011601363054161151,0.005675358327726036 -0.002490652309549269 0.0006898513273788089,0.3231514282830584
7,0.6786669683950541 0.3608581760831011 -0.8996043338444049,0.45082470932694646 0.19748003962420113 -0.7183648748039211,0.33384465250072354
8,0.2826053716843495 0.6728283741326702 -0.7318649858030541,0.24906484374096083 0.693297997868215 -0.640087810906397,0.09983497554768878
9,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.7203140499516348 -0.9400750977918483 -0.5360323663728992,0.09000479422177687
10,0.7063164841191036 0.8233937549206134 -0.3896197928856566,-0.2467198726602176 -0.28961390901829104 0.13546104379605883,1.5565263384794712
11,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,0.5699815858490057 -0.5911333051286177 -0.8217639054243785,0.1334271589009771
12,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,-0.21685909970497405 -0.960653774176605 0.6819420587211146,0.13914994780948584
13,0.636235620712019 0.12616924411893438 0.4309754596936808,0.5857629640756207 0.15183944089681453 0.29801731281292265,0.1445140716072871
14,0.7724738063516547 0.024587452305099067 0.6394413570558319,1.0574076960131622 0.0704446392875539 0.8806673897258098,0.376138540850678
15,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-0.28284201384432517 0.1018434520508871 0.28985698989964337,1.7179328447491822
16,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,0.20895518270317784 -0.3146165101729023 -0.32055592785855286,1.128129773483008
17,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.8329295200869833 -0.5296075676133878 0.8344389190122586,0.07204821820608764
