,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.4198645345995405 1.072324170433728 0.9707047058645156,0.2993929517094128
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,0.4991365369813689 -0.6980885742104757 0.8499495430511311,0.16017000064451892
2,0.5405500808926487 0.15912392232241768 0.799787619093526,0.5181832049525444 0.10469018410900909 0.8217018275349081,0.06279762357620113
3,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.28138475857391154 1.0594262299421124 0.835786543709843,0.6398570017844531
4,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.9102834772859554 1.695982897715096 -1.4583209753503152,1.0401863648507503
5,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.1667204392315476 -0.13501988959411415 0.5603576731466722,0.06100568386291176
6,-0.273866920923024 0.15916294573795264 -0.011601363054161151,0.05129810215960572 -0.02251236472508484 0.0062353884677087456,0.37290261513298767
7,-0.953790665641544 -0.7250315100385312 0.9888390113434515,-0.72698611789581 -0.5498835235110479 0.7398296839235554,0.3796350421192536
8,0.2826053716843495 0.6728283741326702 -0.7318649858030541,0.26291301392825606 0.7318458254972942 -0.6756771169164578,0.08383272111524874
9,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.7194771235880668 -0.9389828330593631 -0.5354095552266034,0.08858287549974084
10,0.7063164841191036 0.8233937549206134 -0.3896197928856566,-0.21243899166697094 -0.249373048636857 0.1166391958779181,1.5004127441493311
11,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,0.5696004639019087 -0.5907380399449033 -0.8212144275684881,0.13300464029032655
12,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,-0.21721666014024812 -0.9622377140809465 0.6830664546984092,0.14066206789921373
13,0.636235620712019 0.12616924411893438 0.4309754596936808,0.6077468196872526 0.15753801958741878 0.3092019898520125,0.1289356033665667
14,0.1414865294758516 -0.8908371848097207 -0.17584413352936434,-0.01077357642825163 1.4513511477254248 0.5064756347784342,2.444297361438927
15,0.7724738063516547 0.024587452305099067 0.6394413570558319,1.0499819997381001 0.0699499384285305 0.8744828607308797,0.3664874636242484
16,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.8371404093940373 -0.5322850076483683 0.8386574391111636,0.07770871382757617
17,0.6786669683950541 0.3608581760831011 -0.8996043338444049,0.4286641772255693 0.18777280160699739 -0.6830532613558458,0.3733019012086749
18,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-0.4058073994497517 0.14611982804825854 0.4158721318829532,1.899197640825396
19,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,0.041053203710207285 -0.06181237294826969 -0.06297928405817681,1.5090153433942555
