,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.4096167401049101 1.0461515437299485 0.9470123443504428,0.2676619018325311
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,0.5031850690692725 -0.7037508204767623 0.8568435444779792,0.1613985029381922
2,0.5405500808926487 0.15912392232241768 0.799787619093526,0.5096589264457565 0.10296799728831922 0.808184571165926,0.06463946274222283
3,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.26877877055200483 1.01196411993861 0.7983434525762854,0.5784798119046747
4,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.8559489386762389 1.5947502042336437 -1.3712742483496454,0.8963271283889128
5,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.16874674763010025 -0.13666091175982603 0.5671682205787932,0.05383521766533391
6,-0.273866920923024 0.15916294573795264 -0.011601363054161151,0.02186632430746114 -0.009596118516723248 0.002657896114630268,0.3407948071416448
7,0.6786669683950541 0.3608581760831011 -0.8996043338444049,0.4458382144753393 0.19529574674825956 -0.710419164030585,0.3426531411450147
8,0.2826053716843495 0.6728283741326702 -0.7318649858030541,0.2582812985605853 0.7189529621655213 -0.6637737727675849,0.08576451158359222
9,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.7129318425448565 -0.9304406482759564 -0.5305387874185852,0.07757806583097036
10,0.7063164841191036 0.8233937549206134 -0.3896197928856566,-0.10148150669410534 -0.11912480145943588 0.05571821464788248,1.3187891279641837
11,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,0.5633237286874986 -0.5842283783613896 -0.812165022164583,0.1265301186759467
12,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,-0.21905675687387957 -0.9703890707656235 0.6888528817216969,0.14861572690054223
13,0.636235620712019 0.12616924411893438 0.4309754596936808,0.6003012323107862 0.15560800028997973 0.3054139150191321,0.13387913256264994
14,0.7724738063516547 0.024587452305099067 0.6394413570558319,1.03740720760869 0.06911220412887277 0.8640098810063076,0.35014737265312335
15,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-0.29318800956332436 0.10556875404759294 0.3004595843864521,1.7331816981143708
16,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,0.13090248768073834 -0.19709529725121722 -0.20081611690435328,1.3039172372060661
17,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.8290907168917584 -0.5271667137671255 0.8305931593035741,0.06702656041828693
