,original position,computed position,offset
0,0.4701690900475479 0.8168603771932381 0.8229080835159879,0.6950779478866619 1.6807540156574607 2.3487353312941543,1.767779681684271
1,0.5999363248454148 -0.575234550477139 0.8699675530810338,0.5117882398585696 -0.7212298453795241 0.9498554294927823,0.18832626959099805
2,0.5405500808926487 0.15912392232241768 0.799787619093526,0.52188524784927 0.15447606402833375 0.7913670334978183,0.020997257940829395
3,0.15883884129954495 0.5278623421840942 0.5013626897108274,0.6402038646317394 1.1514025621720405 2.4322540388407137,2.0853911129030096
4,0.569363666709015 0.9684099275299485 -0.7977160030457133,0.6122895875857404 0.8376766618021698 -1.0645858645304114,0.300255465262211
5,-0.19222601871965805 -0.1528172074577654 0.6128401879055647,-0.18644910748663696 -0.20999005497240975 0.5094377173746685,0.1182969911207375
6,-0.273866920923024 0.15916294573795264 -0.011601363054161151,0.07870180044582936 0.19987508365731876 0.007574346367139245,0.3554291621314208
7,-0.953790665641544 -0.7250315100385312 0.9888390113434515,-2.064024684848189 -1.3218517723540724 2.323514324963982,1.8358028749574922
8,0.2826053716843495 0.6728283741326702 -0.7318649858030541,0.23324641414994102 0.7181964180918878 -0.7276216270986271,0.06717568157200554
9,0.6644038835720809 -0.8699507170620426 -0.5284503148315114,0.7423589749744314 -0.9917459840490149 -0.5687454195158107,0.15011588456087957
10,0.7063164841191036 0.8233937549206134 -0.3896197928856566,0.4766060119853762 0.016250938845520563 1.685521335030787,2.238405040943185
11,0.6018491124041956 -0.46650882827711637 -0.7863237128017295,0.6450112566222839 -0.5761776347578795 -0.9920307617169966,0.23707721902756956
12,-0.19218857737519435 -0.8243671688279628 0.6953597524835282,-0.2845612344968555 -0.8402911852915786 0.7192087726863824,0.09672154800604482
13,0.636235620712019 0.12616924411893438 0.4309754596936808,0.6249103055976505 0.11840970803901826 0.39403245639693557,0.039411402603797184
14,0.1414865294758516 -0.8908371848097207 -0.17584413352936434,0.10828148387590911 -0.6181445638829942 0.44857576191479015,0.6821759643872469
15,0.7724738063516547 0.024587452305099067 0.6394413570558319,1.4715672910740016 -0.13373429372644363 0.8511945753932489,0.7474201637124626
16,0.8003476570337418 -0.5317121267828122 0.7702132327383524,0.708580086480991 -0.3876397227442294 0.8330877602784941,0.18202019345118486
17,0.6786669683950541 0.3608581760831011 -0.8996043338444049,-0.5549726996464418 -0.1670810224887137 0.46546134450485904,1.9141554101381943
18,0.9359197231638954 -0.3602369084817225 -0.8292474859571803,-1.0396375347230633 0.36260163163683357 1.7026311610135272,3.2917672331525485
19,0.9818012560436005 -0.9718121225183896 -0.8139925092496705,-1.3515716904736326 1.822904508993976 2.828037103262105,5.149703880457886
