,original position,computed position,offset
0,-0.8147644141637704 0.7980454601235276 -0.15957156197958455,-1.0104890726849678 1.7153384586102072 -0.34647617106519557,0.9563827266964663
1,0.4774357150349695 -0.9319639571731944 0.8697270886848338,-0.7477264103366906 1.5707531449217662 -1.2137991177896035,3.479324155583892
2,0.8726942819809129 0.9825426885636523 -0.5850675157360992,1.9770506234093341 3.1121639234554888 -2.149484390819277,2.863963982315492
3,-0.37718609981272877 0.1558709304993493 -0.9443952974887795,0.5265964689917467 -0.23002056440459354 1.3976245408016816,2.5398409596783997
4,-0.8760123235513781 0.9910208196398154 0.827706100885182,-0.4159529356662507 0.4705598879614482 0.3929510788876496,0.8194791949383626
5,0.4173671764418114 0.5709336363048494 -0.5094080461522288,0.5816790106877334 0.8797230300520309 -0.7181967993825334,0.4073598066077166
6,0.6474670345656506 -0.20111613454181887 -0.3011441209811343,-0.815467472402715 0.21800562092789122 0.42939024013469174,1.6880523896957982
7,-0.9813183469040159 0.41345501424751063 -0.3431230938494365,-1.3505411596301156 0.8532968094528577 -0.5359510826850169,0.6057795997928699
8,0.5679892922452079 0.047934514704037534 -0.3663366891305677,-15.323767562250797 -2.525159620911644 10.236918567683189,19.2768714109502
9,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-8.435019809462668 -12.413484860610728 2.2258455375568107,14.178903318282034
10,-0.8914403368090946 -0.5720843815841119 -0.8668542508955204,-2.1860186532954295 -1.4156213613352133 -2.4558162165098483,2.216368151254018
11,-0.1053502470518295 -0.7469515560457705 -0.5116114867198986,-0.27498160472986605 -1.1682054462575207 -0.963466446326432,0.640626679156628
12,-0.9327418321299736 0.5848007087849891 -0.027944720068682427,-1.7406287515757521 1.139794756136479 -0.16690241943273015,0.9899539935874427
13,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-2.3755226209241895 -3.9779155847273606 0.5369571391192741,3.733492610274741
14,0.9192501050277881 -0.23152958819983072 -0.593539323025166,-1.800491850449979 0.6920384652297626 0.989960918302078,3.2798547632456527
15,-0.7494591038668958 0.6263290022957424 0.9019922427419906,-4.367592104219102 3.9920231283308683 6.910456287538462,7.779487356881364
16,0.35473838611979613 -0.926603445694032 -0.6823417732682628,-0.2525617220327173 0.7082777213107266 0.48410558309726737,2.0981537805320727
17,0.2812598201500618 0.38808782678409237 -0.11064421544151815,0.6684911600719927 0.9182003923429706 -0.2743604399266394,0.6765873520402318
18,0.791484720497079 0.5503639748867923 0.7713034093861346,2.9996445696980287 2.0168546890707857 2.9627562186633067,3.439335742508988
19,-0.43124915996766355 -0.5171527629829167 0.9336019709698433,0.45219527553623495 0.5410039766562427 -0.9702385636587687,2.350484745230553
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,66.21658534048987 -35.07226716745617 -13.667217319684449,75.60955792124672
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,1.567062665385676 -1.0139868482098124 1.133867395183827,1.3618969005478319
2,-0.17370060592362346 0.10567766418816582 0.4454958978461254,-0.3027789014436516 0.15869201459542817 0.7400755996404017,0.32595847654672894
3,-0.14196102024385504 -0.516023968572813 0.3199194037779085,-1.141861086096185 -4.026341654820872 2.863218519091722,4.448651569861754
4,0.7015093975217486 0.32950963908319 -0.020140410558658894,0.7293112104986292 0.24533330464621056 -0.05765049223125734,0.09625799868651261
5,-0.3349162548867839 -0.26913634591779956 0.04816339239334755,-8.267765386779379 -7.080428423649284 1.2290486881665104,10.522275666380825
6,-0.6147058307987996 0.20887053364708996 -0.8038551696156118,-4.305628254556468 1.212848910500853 -5.366763643149232,5.95407546620229
7,0.1844171672677022 0.29314851018236965 0.7436937825979566,23.19074816993769 40.1959627997662 72.24432049431412,85.05213386271745
8,-0.5331738080847672 -0.992447421658218 0.12213542395379506,-0.4878182897214478 -0.8873548701633063 0.12511513401045993,0.11450085631879729
