,original position,computed position,offset
0,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-1.8202316369753133 -3.0480567655975066 0.41144056626343906,2.643343398353749
1,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-6.95339956265016 -10.233042974469733 1.834873389391633,11.513879880549975
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,59.37015148375082 -31.445985985284715 -12.254101573776593,67.7342528228414
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,1.5693539478748495 -1.0154694502530333 1.1355252807074985,1.3650867958570452
2,-0.17370060592362346 0.10567766418816582 0.4454958978461254,-0.20284542748379872 0.10631503511437887 0.4958104764354729,0.05814966624234106
3,-0.14196102024385504 -0.516023968572813 0.3199194037779085,-0.7917944387228352 -2.7919638995532936 1.9854258349549259,2.89414887548922
4,-0.3349162548867839 -0.26913634591779956 0.04816339239334755,-7.424939700211399 -6.358641257687837 1.1037580254578379,9.405571888783728
5,-0.6147058307987996 0.20887053364708996 -0.8038551696156118,-3.847815966651531 1.0838881406034986 -4.796122102158072,5.211223678149823
6,0.1844171672677022 0.29314851018236965 0.7436937825979566,18.83326400794279 32.64324091289021 58.66979154676857,68.91836307643229
7,-0.5331738080847672 -0.992447421658218 0.12213542395379506,-0.3673803592078153 -0.668274965933625 0.0942253372692184,0.3651769730962896
8,-0.06140968242744238 -0.3012787951575253 0.05067718036429625,-2.3763003011656987 -7.459356198443338 1.1309213358186485,7.600244609454792
9,-0.9097405757280459 -0.43651038283079524 0.21420204659847153,4.752591524003587 2.9892201843977255 -1.3084664294945576,6.790887571958657
10,-0.4869690522405672 -0.9435352677871831 -0.9572404706197251,2.885981039095929 6.993757692877834 6.001951191015535,11.081866288917361
11,0.9586225612370292 -0.7848176168925256 0.9626303987357936,2.5617132512079435 -1.863676044079877 2.9385169118491685,2.7636864472815867
12,0.8200699629520727 0.3093664440278674 -0.8153531534202465,5.471648159655878 3.230941100620455 -6.50662905597476,7.909702876410214
13,0.7015093975217486 0.32950963908319 -0.020140410558658894,0.9464052430938288 0.3183616575206143 -0.07481131145275946,0.25117157497606346
14,-0.6101457161498032 -0.37747674086281635 0.5425950140224545,6.244069602373113 4.342422989564384 -6.163911157237124,10.688074949358457
15,0.8114867375452011 0.8207574918840741 -0.5095071273540537,-2.680789783230898 -2.6191654487531184 1.7698209227371462,5.405959812560448
16,0.21359543845395268 -0.2946002208123317 -0.2703785585320595,0.4039792186604918 -0.6557830480907859 -0.49948219784339537,0.4681746426626373
17,0.685494396802689 -0.21911622502164407 0.2718616056447112,2.0267521209673194 -0.6483177514666374 0.8030340704646097,1.5051014651234786
18,0.10208444939107886 -0.48738387178016174 -0.8294812337326016,0.9498915587791051 -8.27631802215838 -13.507418340967849,14.90356874673544
19,0.46712539937203323 0.326814543927328 -0.20153672120418986,-31.806042724639415 -28.46125279493432 16.009239861414095,46.185489921393135
0,0.19546007026626522 -0.2760023795703115 -0.9700260504703315,1.2189770306407837 -2.75030275376654 -9.941992570188862,9.363008733354473
1,0.14548259113819606 -0.014022658982336234 0.7764490798593962,-0.1532226473912005 0.08904543963319639 -1.5905678132942456,2.3880152480568135
2,0.52693001190498 0.5626101792978073 -0.10914455976311355,1.4295665609126191 1.4839032047601803 -0.3430553852473139,1.3108195347372318
3,0.14806871444573022 0.7695112056442148 0.015007085410037702,1.567593884594235 9.063012264142102 0.22574610305354031,8.416746547778903
4,-0.13378124793355228 -0.0667705650900352 0.9258645170897377,0.3767055228735246 0.09181570657280198 -2.6870639505132035,3.6522593638383207
5,0.7846806272838098 -0.777704094949097 0.2669339422046997,-0.7620782970370307 0.8533463069765456 -0.30420567543597976,2.3192647641928907
6,0.5202534102599947 0.9952990170015337 0.0725757936716116,-0.4482609143542494 -0.8092972758167529 -0.22566248859421212,2.069669985781636
7,-0.13432325252361443 -0.47439786894062075 -0.2218708416508126,1.3570607958825236 4.917522384030358 2.1363457702689437,6.071096769363275
8,0.18865798425633717 -0.1914920128689359 0.2729739397946711,-0.6704664937272281 0.6121762890104656 -0.9473252467251994,1.695024398861949
9,-0.14288624384395487 0.8115154537147271 0.5211108017408077,0.03199201697511872 -0.9262902832166314 -0.7697744633074222,2.1718508127717437
10,0.6498058316071416 -0.05799736683674395 0.3431727802102611,-0.34282804088070185 0.0740607539936788 -0.14838668422752166,1.1155232221544447
11,0.24983574507042228 -0.9701067010605542 0.7312515718675419,-0.31661416938855497 1.8060924478177633 -1.0610440222428164,3.352681123592084
12,0.16686470356736605 -0.08915888116225301 0.6000011745313429,-1.2906119786748924 0.6865846930071172 -4.092561223358656,4.9745510581595305
13,-0.34770780914654975 -0.4185842571885414 0.5057256976782154,0.49925028420787476 0.8873032676017566 -0.6415073010926114,1.9336038355284149
14,-0.3059928972815209 0.10656616230383453 0.5750110096129804,0.2083824714274482 -0.06517861885994218 -0.39100131918224085,1.1078168211287676
15,0.01919738473519761 -0.21768266306848538 0.08364240562266989,-0.004700175719527774 -1.297702042155574 0.5301883521722993,1.1689380800449836
16,-0.5322452280765282 0.8998203229902471 0.47749536756417665,-1.1080716697004391 1.486645920717532 0.7574997414663199,0.8685291143223535
17,-0.881129005984935 0.7560184402029959 -0.3219851351495113,-0.10690924811312418 0.09157017142218135 -0.042559733756879756,1.05782148319475
