,original position,computed position,offset
0,-0.8147644141637704 0.7980454601235276 -0.15957156197958455,-1.7620677776987648 2.9911680467096255 -0.6041772378124088,2.4299885903727145
1,0.4774357150349695 -0.9319639571731944 0.8697270886848338,-1.206180089600546 2.5338294099160676 -1.9580160716715644,4.779374145421219
2,0.8726942819809129 0.9825426885636523 -0.5850675157360992,2.404183303309302 3.784532602928763 -2.6138705918516707,3.783206050998173
3,-0.37718609981272877 0.1558709304993493 -0.9443952974887795,0.5272059127097437 -0.23028677315501506 1.3992420478429668,2.5415897959426292
4,-0.8760123235513781 0.9910208196398154 0.827706100885182,-0.7002109111055796 0.7921356952354821 0.6614898210229574,0.31319208326281534
5,0.4173671764418114 0.5709336363048494 -0.5094080461522288,1.1825095985995726 1.7884106320351423 -1.4600399762563518,1.7237732530270318
6,0.6474670345656506 -0.20111613454181887 -0.3011441209811343,0.2470882077367571 -0.06605612115085042 -0.13010606608492806,0.4558491290029271
7,-0.9813183469040159 0.41345501424751063 -0.3431230938494365,-11.037881148601869 6.973936854913304 -4.380291788931418,12.667798089595072
8,0.5679892922452079 0.047934514704037534 -0.3663366891305677,-9.84677428576039 -1.6226216380288812 6.578057655090142,12.62864486210735
9,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-4.2997005586404 -6.327699163191664 1.1346113604314,6.740625054434512
10,-0.8914403368090946 -0.5720843815841119 -0.8668542508955204,7.514034394314809 4.865936336986051 8.441413566692571,13.669964321647186
11,-0.1053502470518295 -0.7469515560457705 -0.5116114867198986,-2.265871953059569 -9.626112840117768 -7.93904596123672,11.775998557402028
12,-0.9327418321299736 0.5848007087849891 -0.027944720068682427,1.6559655000950917 -1.0843557488307791 0.15878437502126563,3.0858316037770672
13,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-0.3843346913685175 -0.6435850978979148 0.08687404385197549,0.18373250371059732
14,0.9192501050277881 -0.23152958819983072 -0.593539323025166,-0.4070256192312959 0.15644468747338292 0.22379410142066597,1.605479760713122
15,-0.7494591038668958 0.6263290022957424 0.9019922427419906,-1.9732121517093322 1.803535760383365 3.12203978646606,2.794995236093632
16,0.35473838611979613 -0.926603445694032 -0.6823417732682628,-0.5748818633811111 1.6121841937935926 1.1019227990855418,3.2393265582299944
17,0.2812598201500618 0.38808782678409237 -0.11064421544151815,0.8624438771721611 1.1846025103877045 -0.3539620202719033,1.015585596333616
18,0.791484720497079 0.5503639748867923 0.7713034093861346,1.2917436756574998 0.8685226628665645 1.2758583622320725,0.7784983451469711
19,-0.43124915996766355 -0.5171527629829167 0.9336019709698433,2.965517740536905 3.5479293510366205 -6.362869823598065,9.016729929359647
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,47.4419657510943 -25.12810482775306 -9.79210348372876,54.01351987917767
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,2.131786612993166 -1.3793983077459198 1.5424803279117212,2.1483976703750907
2,-0.17370060592362346 0.10567766418816582 0.4454958978461254,0.6799084421927697 -0.3563525725126842 -1.6618847801389143,2.320166732930352
3,-0.14196102024385504 -0.516023968572813 0.3199194037779085,-0.6704395263910613 -2.364051656559667 1.6811281961247868,2.3552887813149512
4,0.7015093975217486 0.32950963908319 -0.020140410558658894,1.1424424069900314 0.3843066814826675 -0.09030763021427801,0.4498311610023108
5,-0.3349162548867839 -0.26913634591779956 0.04816339239334755,-5.3451548345301205 -4.577535095484362 0.7945865938492953,6.6499577446691305
6,-0.6147058307987996 0.20887053364708996 -0.8038551696156118,-2.615169926139404 0.7366650830424532 -3.259686635837535,3.21115740405295
7,0.1844171672677022 0.29314851018236965 0.7436937825979566,13.11583749901409 22.73336385419277 40.85874077397919,47.749365352877604
8,-0.5331738080847672 -0.992447421658218 0.12213542395379506,0.07851292850516733 0.1428171738284471 -0.020136915278610928,1.297392686890213
9,-0.06140968242744238 -0.3012787951575253 0.05067718036429625,-2.0373644687768517 -6.395415289559026 0.9696160647070946,6.472043387003099
10,-0.9097405757280459 -0.43651038283079524 0.21420204659847153,4.5164541646004475 2.8406977293428017 -1.2434539397891073,6.504494088329744
11,-0.4869690522405672 -0.9435352677871831 -0.9572404706197251,2.425439498568397 5.877701870500286 5.044166711410209,9.540874584025191
12,0.9586225612370292 -0.7848176168925256 0.9626303987357936,6.147110024613252 -4.472093700492413 7.051291458091978,8.808416462112831
13,0.8200699629520727 0.3093664440278674 -0.8153531534202465,4.299943718161097 2.5390640048455113 -5.113292726300352,5.962663594152996
14,-0.6101457161498032 -0.37747674086281635 0.5425950140224545,7.749160117406834 5.3891345206744425 -7.649680024186046,13.047803254275275
15,0.8114867375452011 0.8207574918840741 -0.5095071273540537,-1.7640479428955593 -1.723497101815874 1.1646004388621911,3.9886396767543264
16,0.21359543845395268 -0.2946002208123317 -0.2703785585320595,0.7161837800392334 -1.1625874811694652 -0.8854936887593217,1.176589796264708
17,0.685494396802689 -0.21911622502164407 0.2718616056447112,1.6038823973072462 -0.513050125213571 0.6354858084181781,1.0305611180300933
18,0.10208444939107886 -0.48738387178016174 -0.8294812337326016,0.7214265372688363 -6.28572324585723 -10.258655265544988,11.08664273082678
19,0.46712539937203323 0.326814543927328 -0.20153672120418986,-24.63324454586672 -22.042761064275023 12.398886711994178,35.905391725684055
0,0.19546007026626522 -0.2760023795703115 -0.9700260504703315,1.0078901907364952 -2.2740405252916847 -8.220365549136721,7.564365272666766
1,0.14548259113819606 -0.014022658982336234 0.7764490798593962,-0.7056624973596589 0.410096212145586 -7.325314334789182,8.157382864954853
2,0.52693001190498 0.5626101792978073 -0.10914455976311355,0.7974237135454971 0.8277331300520374 -0.19135905017326107,0.38757740398173274
3,0.14806871444573022 0.7695112056442148 0.015007085410037702,1.6855259011812707 9.744833827218663 0.24272926012719756,9.108899392969972
4,-0.13378124793355228 -0.0667705650900352 0.9258645170897377,0.5270714435441284 0.1284648991451037 -3.759633425305221,4.735898450612702
5,0.7846806272838098 -0.777704094949097 0.2669339422046997,-0.5790656802243045 0.6484157358076034 -0.23115087656914343,2.0351192224566375
6,0.5202534102599947 0.9952990170015337 0.0725757936716116,-0.26991051081263845 -0.487300663787855 -0.13587773463465613,1.6929009743942518
7,-0.13432325252361443 -0.47439786894062075 -0.2218708416508126,1.8353276462255548 6.650597239068133 2.8892548262893305,8.020235836545462
8,0.18865798425633717 -0.1914920128689359 0.2729739397946711,-0.6796846288519872 0.6205930015607098 -0.9603498679599806,1.7130640907962036
9,-0.14288624384395487 0.8115154537147271 0.5211108017408077,-0.007268552519112144 0.21045217551427423 0.17489194628687782,0.7067791157590783
10,0.6498058316071416 -0.05799736683674395 0.3431727802102611,-1.132863966294758 0.24473132157020755 -0.49033890928955376,1.9910544954041385
11,0.24983574507042228 -0.9701067010605542 0.7312515718675419,-0.44740936651785185 2.5521999836941993 -1.4993676207100686,4.2271097820375285
12,0.16686470356736605 -0.08915888116225301 0.6000011745313429,-1.4861323940860314 0.7905983908572719 -4.712561102259648,5.632911343817198
13,-0.34770780914654975 -0.4185842571885414 0.5057256976782154,0.8028890134896838 1.4269517068403301 -1.0316652396861112,2.663352574683745
14,-0.3059928972815209 0.10656616230383453 0.5750110096129804,0.4811709722562774 -0.1505023872321186 -0.9028517783459987,1.6940453408041134
15,0.01919738473519761 -0.21768266306848538 0.08364240562266989,-0.001636536153160232 -0.4518418958665725 0.18460424845596932,0.25584740036292525
16,-0.5322452280765282 0.8998203229902471 0.47749536756417665,-0.4024427170258651 0.5399378397163848 0.2751178127173943,0.43280569352560705
17,-0.881129005984935 0.7560184402029959 -0.3219851351495113,-3.7507321774168414 3.212586324443439 -1.493137082914594,3.954863463651757
18,-0.4908274191069859 -0.26237870523387063 0.1341075364581492,1.2205614904383841 0.6723213504114287 -0.38140047619221856,2.0169939773943173
19,-0.33677040276386916 0.3762648516208249 0.7747322365625657,-0.7304498645432347 1.0835732670248472 2.0172412749967474,1.4829354078040198
