,original position,computed position,offset
0,-0.8147644141637704 0.7980454601235276 -0.15957156197958455,-1.821321366772265 3.0917529643459867 -0.6244940895419452,2.547627125465164
1,0.4774357150349695 -0.9319639571731944 0.8697270886848338,-1.2420959996215366 2.6092781674272483 -2.0163190810282345,4.8812342288062425
2,0.8726942819809129 0.9825426885636523 -0.5850675157360992,2.4768050612671995 3.8988497643096576 -2.6928262510118652,3.9396275507210032
3,-0.37718609981272877 0.1558709304993493 -0.9443952974887795,0.5441566502577009 -0.23769095918254488 1.4442305127809738,2.590231010084653
4,-0.8760123235513781 0.9910208196398154 0.827706100885182,-0.721999579665098 0.8167848142993338 0.6820735940507259,0.2743846531482349
5,0.4173671764418114 0.5709336363048494 -0.5094080461522288,1.18749098391685 1.795944408060498 -1.4661904732239661,1.7346972884369494
6,0.6474670345656506 -0.20111613454181887 -0.3011441209811343,0.2472860183484374 -0.0661090034872831 -0.13021022467975263,0.45562064053441387
7,-0.9813183469040159 0.41345501424751063 -0.3431230938494365,-11.36487384317095 7.18053686928577 -4.5100561337162794,13.075739081810145
8,0.5679892922452079 0.047934514704037534 -0.3663366891305677,-10.151510819686061 -1.6728382957378718 6.781634423644111,12.998547332064145
9,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-4.40696718495804 -6.485559212358237 1.1629170368745119,6.933566757453564
10,-0.8914403368090946 -0.5720843815841119 -0.8668542508955204,7.719468688365438 4.9989714209138505 8.672202480591473,14.006356425598549
11,-0.1053502470518295 -0.7469515560457705 -0.5116114867198986,-2.328624202952977 -9.892703473198143 -8.158914076644598,12.12719926920283
12,-0.9327418321299736 0.5848007087849891 -0.027944720068682427,1.6993567239306244 -1.1127690962176426 0.16294499814882316,3.137853555568538
13,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-0.3975351317755938 -0.665689807471316 0.08985783809315204,0.15900029644412603
14,0.9192501050277881 -0.23152958819983072 -0.593539323025166,-0.42868836621631123 0.16477099796038905 0.23570488729446581,1.6314527995622317
15,-0.7494591038668958 0.6263290022957424 0.9019922427419906,-2.025526174452644 1.8513513035348395 3.204811656816252,2.903791325320012
16,0.35473838611979613 -0.926603445694032 -0.6823417732682628,-0.5960655208101966 1.6715911082386723 1.1425272372771365,3.3143309905873686
17,0.2812598201500618 0.38808782678409237 -0.11064421544151815,0.8795732016233198 1.2081303494543125 -0.3609921940015902,1.0455251081664263
18,0.791484720497079 0.5503639748867923 0.7713034093861346,1.3328211364495168 0.8961416915509666 1.3164306699107446,0.8424791242189843
19,-0.43124915996766355 -0.5171527629829167 0.9336019709698433,3.055067978027419 3.655066769788792 -6.555010472779033,9.25424979936194
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,48.44139892188769 -25.657464458755502 -9.998388212418659,55.16314603497862
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,2.170819060293367 -1.4046547247929722 1.570722733480765,2.202772581791781
2,-0.17370060592362346 0.10567766418816582 0.4454958978461254,0.6933176200183788 -0.36338057027959697 -1.694660529283441,2.3562694591284807
3,-0.14196102024385504 -0.516023968572813 0.3199194037779085,-0.6848166537271112 -2.4147471635479185 1.7171788661591367,2.419127118436495
4,0.7015093975217486 0.32950963908319 -0.020140410558658894,1.316980188013352 0.443019519003418 -0.1041044687162754,0.6314576389989747
5,-0.3349162548867839 -0.26913634591779956 0.04816339239334755,-5.469095090182926 -4.683676243413129 0.8130109928851807,6.8141724861760755
6,-0.6147058307987996 0.20887053364708996 -0.8038551696156118,-2.6738653233683634 0.7531989416042605 -3.332847695094155,3.3063929629544746
7,0.1844171672677022 0.29314851018236965 0.7436937825979566,13.380791960996708 23.192603013681858 41.684132646962574,48.73036895675207
8,-0.5331738080847672 -0.992447421658218 0.12213542395379506,0.07696032389022485 0.13999294338129856 -0.019738704841329637,1.2941457057816503
9,-0.06140968242744238 -0.3012787951575253 0.05067718036429625,-2.0852562410763134 -6.545750576888318 0.9924085657546519,6.63145841636787
10,-0.9097405757280459 -0.43651038283079524 0.21420204659847153,4.586778839193576 2.884929583835925 -1.2628154766275859,6.589785269240431
11,-0.4869690522405672 -0.9435352677871831 -0.9572404706197251,2.4789122715229728 6.0072854028050315 5.155373600497102,9.719794792267828
12,0.9586225612370292 -0.7848176168925256 0.9626303987357936,6.291063656961969 -4.576821634401518 7.216419300944551,9.051193188832617
13,0.8200699629520727 0.3093664440278674 -0.8153531534202465,4.413741678504888 2.6062603041164523 -5.2486159586571155,6.151749093060739
14,-0.6101457161498032 -0.37747674086281635 0.5425950140224545,7.910687845686045 5.501468585699147 -7.809134135037884,13.301051932853921
15,0.8114867375452011 0.8207574918840741 -0.5095071273540537,-1.8057439923881462 -1.764234668358248 1.1921276031512635,4.053102752001682
16,0.21359543845395268 -0.2946002208123317 -0.2703785585320595,0.7255411474061045 -1.1777773785961172 -0.8970631908587868,1.1978413623431328
17,0.685494396802689 -0.21911622502164407 0.2718616056447112,1.6414807867632977 -0.5250771032829366 0.6503829373840017,1.0727536694870936
18,0.10208444939107886 -0.48738387178016174 -0.8294812337326016,0.7407594619737753 -6.45416924548499 -10.533568648373322,11.40963391255582
19,0.46712539937203323 0.326814543927328 -0.20153672120418986,-25.131080946791233 -22.488243948766545 12.649467471856187,36.618893633421685
0,0.19546007026626522 -0.2760023795703115 -0.9700260504703315,1.0330842424267552 -2.3308843115161335 -8.425848563517926,7.7790387165826775
1,0.14548259113819606 -0.014022658982336234 0.7764490798593962,-0.7060078878571957 0.41029693605436796 -7.3288997512909395,8.16099030934249
2,0.52693001190498 0.5626101792978073 -0.10914455976311355,0.8144505181882596 0.8454071094714297 -0.19544499984917174,0.4124195815041587
3,0.14806871444573022 0.7695112056442148 0.015007085410037702,1.7210551912561385 9.950245697505553 0.24784576310509498,9.317423791805956
4,-0.13378124793355228 -0.0667705650900352 0.9258645170897377,0.5463009383051906 0.13315176870586054 -3.896798608775017,4.8744805205442425
5,0.7846806272838098 -0.777704094949097 0.2669339422046997,-0.5922120514166577 0.6631365425157261 -0.2363986322704288,2.0555288545181623
6,0.5202534102599947 0.9952990170015337 0.0725757936716116,-0.2809577153840068 -0.5072454599516655 -0.14143909320007023,1.7162113928304372
7,-0.13432325252361443 -0.47439786894062075 -0.2218708416508126,1.8755686401919598 6.7964167846521155 2.9526039979052126,8.184234946180181
8,0.18865798425633717 -0.1914920128689359 0.2729739397946711,-0.6718469851149873 0.613436760790452 -0.9492757906475976,1.6977259898298513
9,-0.14288624384395487 0.8115154537147271 0.5211108017408077,-0.007266567771489439 0.21039470953959122 0.17484419037210513,0.7068517608129965
10,0.6498058316071416 -0.05799736683674395 0.3431727802102611,-1.188175502688259 0.25668021022974685 -0.5142794698804466,2.0524185060343703
11,0.24983574507042228 -0.9701067010605542 0.7312515718675419,-0.4594803655964255 2.6210577366985266 -1.5398202051271013,4.307825249489427
12,0.16686470356736605 -0.08915888116225301 0.6000011745313429,-1.5181162477676489 0.8076132835779519 -4.81398266157708,5.740608164598762
13,-0.34770780914654975 -0.4185842571885414 0.5057256976782154,0.8183479988524583 1.4544265198951916 -1.0515291281833177,2.700536633913538
14,-0.3059928972815209 0.10656616230383453 0.5750110096129804,0.491567332640712 -0.1537541982236376 -0.9223591322859063,1.7163875880199815
15,0.01919738473519761 -0.21768266306848538 0.08364240562266989,-0.001758589183216792 -0.48554030967217093 0.1983720517775492,0.29214681821604355
16,-0.5322452280765282 0.8998203229902471 0.47749536756417665,-0.3978528607313467 0.5337798525360338 0.271980096041175,0.4407759762511531
17,-0.881129005984935 0.7560184402029959 -0.3219851351495113,-3.8303403907859543 3.2807725466223636 -1.5248284887157575,4.064365045531701
18,-0.4908274191069859 -0.26237870523387063 0.1341075364581492,1.2217569614074202 0.6729798511609415 -0.3817740363941718,2.018408949299295
19,-0.33677040276386916 0.3762648516208249 0.7747322365625657,-0.744852762085097 1.1049389972434696 2.057016926703059,1.5302781606808522
0,0.4031474762899838 -0.15158113165279796 -0.009615065349385388,1.0499143168887184 -0.3687481894267496 0.03363592338660842,0.6836223556225358
1,-0.2103577697851986 0.3667474284204981 0.8815760533734414,0.2500705919652248 -0.5369255169672648 -1.7195572447977783,2.791865595508684
2,-0.3663745452028535 -0.7692184139050757 0.03037624529348193,0.23426627355896062 0.4862260039351689 -0.07539679567540855,1.3957428185897642
3,0.3080297533054597 0.25259885748088484 -0.5025739942950869,1.1113148516391151 0.7754477609678943 -1.8205400073431748,1.6296233726331835
4,-0.5074154303294236 0.8743950586189022 -0.8341712640716545,-2.5021803166403505 7.733125736749378 -6.493879810656315,9.113373376476497
5,-0.4737438094676576 -0.9857838304212236 0.7209289979452065,0.24084962837655033 0.5283333552850288 -0.36298174462608807,1.9945067388511077
6,-0.9375273026757069 -0.4946777489560239 -0.6865525174904232,-0.8038333639340192 -0.44796392815767044 -0.6332095287138514,0.15133315816920068
7,-0.5657026472770874 0.5630698532501728 0.44177308863503284,0.2930245102241639 -0.2938833647606734 -0.22505127795782306,1.3843539593511796
8,0.3263020676703179 0.05183314253603344 0.1449061995344343,-0.6868743287713193 -0.12076823259075811 -0.2888702686849379,1.1155624901290797
9,-0.8302306723405146 -0.8152016704568887 0.29358211466184025,0.2021619638967044 0.2033153800404849 -0.07026725997326065,1.49519159472392
10,0.24628130830440886 0.8582218609657808 0.8205688604608281,0.6177184999107015 1.476044183836685 1.5778603661586244,1.0455431289755601
11,-0.01651170429114379 0.5196621573703493 0.753379977268319,-0.07906995231221264 -1.3964149484891009 -2.4661708807952216,3.747101911831579
12,0.25508341350871055 0.6725575102420678 0.571798078324524,-0.06990216777027303 -0.20838771959808047 -0.14370672830701128,1.1805199084853168
