,original position,computed position,offset
0,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-0.3910701577396367 -0.6548639282538465 0.08839651167501951,0.17106912008683112
1,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-4.289168508703643 -6.31219956207698 1.1318321474736834,6.721680941296233
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,47.24960556954611 -25.026219361371073 -9.75240001077928,53.792252165059836
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,2.122847695922371 -1.3736142733564634 1.5360124649227629,2.1359452972511104
2,-0.17370060592362346 0.10567766418816582 0.4454958978461254,0.675878824622977 -0.3542405755170199 -1.652035277333182,2.309317437441308
3,-0.14196102024385504 -0.516023968572813 0.3199194037779085,-0.6670088707504697 -2.35195474575567 1.6725258215606875,2.3400558081712557
4,-0.3349162548867839 -0.26913634591779956 0.04816339239334755,-5.320411706057035 -4.556345337195988 0.7909083920416329,6.61717431862259
5,-0.6147058307987996 0.20887053364708996 -0.8038551696156118,-2.607434142349613 0.7344859964175479 -3.2500443442276215,3.1986058238470934
6,0.1844171672677022 0.29314851018236965 0.7436937825979566,13.051969008031067 22.62266214380299 40.65977626889923,47.51288994096222
7,-0.5331738080847672 -0.992447421658218 0.12213542395379506,0.07500862911023747 0.13644275696027894 -0.019238136168340622,1.2900641053046025
8,-0.06140968242744238 -0.3012787951575253 0.05067718036429625,-2.0274261640457842 -6.364218325538385 0.9648862581011205,6.438962245025689
9,-0.9097405757280459 -0.43651038283079524 0.21420204659847153,4.489968219624978 2.8240389609795513 -1.2361619245425186,6.472371493264176
10,-0.4869690522405672 -0.9435352677871831 -0.9572404706197251,2.4108883795132297 5.842439337776253 5.013904867981352,9.492186560367422
11,0.9586225612370292 -0.7848176168925256 0.9626303987357936,6.116803268362827 -4.45004518449592 7.0165268661755436,8.757304594917558
12,0.8200699629520727 0.3093664440278674 -0.8153531534202465,4.2775170817446115 2.525821351218592 -5.086624015177584,5.925400215120827
13,0.7015093975217486 0.32950963908319 -0.020140410558658894,1.1445797277930811 0.38502565572597136 -0.09047658085507192,0.4520403992151535
14,-0.6101457161498032 -0.37747674086281635 0.5425950140224545,7.69061592768199 5.348420106589443 -7.5918873973871355,12.956015694529889
15,0.8114867375452011 0.8207574918840741 -0.5095071273540537,-1.750874240843529 -1.7106262286639846 1.155903340093973,3.968272842095215
16,0.21359543845395268 -0.2946002208123317 -0.2703785585320595,0.7114534009264052 -1.154908614807177 -0.8796450211874047,1.1658467764212281
17,0.685494396802689 -0.21911622502164407 0.2718616056447112,1.599126685610159 -0.5115288674918287 0.6336015135986196,1.0252243040595916
18,0.10208444939107886 -0.48738387178016174 -0.8294812337326016,0.7181218601042345 -6.256929896845936 -10.21166289411946,11.0314321887618
19,0.46712539937203323 0.326814543927328 -0.20153672120418986,-24.50988429522596 -21.932373635422916 12.336794616508746,35.728591134020974
0,0.19546007026626522 -0.2760023795703115 -0.9700260504703315,0.9839248665895639 -2.2199690413018955 -8.024904052634438,7.360162141039013
1,0.14548259113819606 -0.014022658982336234 0.7764490798593962,-0.6927881266698549 0.4026142633763064 -7.191668558630914,8.02291610464844
2,0.52693001190498 0.5626101792978073 -0.10914455976311355,0.7727566193017812 0.8021284599364996 -0.1854396479221986,0.3515973096335337
3,0.14806871444573022 0.7695112056442148 0.015007085410037702,1.6959747985956952 9.805243915790937 0.24423398523214598,9.170224851450808
