,original position,computed position,offset
0,-0.8147644141637704 0.7980454601235276 -0.15957156197958455,-0.6386161238533087 1.0840718886978784 -0.21896849293507736,0.3411265651180343
1,0.8726942819809129 0.9825426885636523 -0.5850675157360992,1.0238554934755275 1.611696783024929 -1.1131537936469738,0.8352003971237502
2,-0.37718609981272877 0.1558709304993493 -0.9443952974887795,-0.3171399869377294 0.13852868958721642 -0.8417121167985692,0.12020867101798441
3,-0.8760123235513781 0.9910208196398154 0.827706100885182,-0.2715167641071277 0.3071619097801495 0.25650210935784024,1.0767320418372603
4,0.4173671764418114 0.5709336363048494 -0.5094080461522288,0.7074594440289139 1.0699515614362614 -0.8734974084655013,0.682446684412762
5,0.6474670345656506 -0.20111613454181887 -0.3011441209811343,0.9538280633829851 -0.25499469476517084 -0.5022450006209036,0.3704072664266267
6,-0.9813183469040159 0.41345501424751063 -0.3431230938494365,-1.0020337510436208 0.6331034020198061 -0.3976488016891253,0.2272610724146459
7,0.5679892922452079 0.047934514704037534 -0.3663366891305677,0.7332202941168601 0.12082526522380252 -0.48982186740664213,0.21877599215800264
8,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-0.3050233251811793 -0.4488907572003576 0.08049000743823005,0.445661805916103
9,-0.8914403368090946 -0.5720843815841119 -0.8668542508955204,0.003975913793962483 0.0025747211667548125 0.004466619512115647,1.3752103131617317
10,-0.1053502470518295 -0.7469515560457705 -0.5116114867198986,-0.16800849818648797 -0.7137511717986019 -0.5886595609164232,0.10471259564544624
11,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-0.45206817136971916 -0.7570077457528848 0.1021843487607491,0.06710568787696827
12,-0.9327418321299736 0.5848007087849891 -0.027944720068682427,-0.7633940792468689 0.49988406063241425 -0.07319902000445537,0.1947753839752401
13,0.9192501050277881 -0.23152958819983072 -0.593539323025166,0.905795173848156 -0.34815214618480095 -0.498031591685465,0.1513392974400994
14,-0.7494591038668958 0.6263290022957424 0.9019922427419906,-11.830066808926743 10.812800093056909 18.71767271553956,23.32257556757326
15,0.2812598201500618 0.38808782678409237 -0.11064421544151815,0.42471015130261813 0.5833570447156087 -0.1743084589781966,0.25052185709925906
16,0.791484720497079 0.5503639748867923 0.7713034093861346,0.6114325437069641 0.4111055707343387 0.6039134067618204,0.2825439832530766
17,-0.43124915996766355 -0.5171527629829167 0.9336019709698433,-0.4376620997979621 -0.5236165639759003 0.9390559124535315,0.01061376456547912
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,0.412703663832628 -0.2185925638493347 -0.08518274739216254,0.10014634697019945
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,0.6322962534409339 -0.40913493718111915 0.457505702681721,0.0848921612606493
