,original position,computed position,offset
0,-0.8147644141637704 0.7980454601235276 -0.15957156197958455,-0.8979709744225429 1.52433528355718 -0.307896001407432,0.7459359078533274
1,0.4774357150349695 -0.9319639571731944 0.8697270886848338,-0.6464514221157693 1.358004198180276 -1.0493974199796334,3.1921960042175503
2,0.8726942819809129 0.9825426885636523 -0.5850675157360992,1.68553602608094 2.6532777410664994 -1.8325445668036446,2.2379156171655454
3,-0.37718609981272877 0.1558709304993493 -0.9443952974887795,-0.20682096991365279 0.09034066696521942 -0.5489175870418868,0.4355698708412898
4,-0.8760123235513781 0.9910208196398154 0.827706100885182,-0.37915148515469577 0.4289270854382544 0.3581847184579949,0.8850256421806354
5,0.4173671764418114 0.5709336363048494 -0.5094080461522288,0.7802058611602976 1.179972203969993 -0.9633171251654978,0.8417917438669286
6,0.6474670345656506 -0.20111613454181887 -0.3011441209811343,0.8999860800394008 -0.240600674883271 -0.4738941185322401,0.30849223475941295
7,-0.9813183469040159 0.41345501424751063 -0.3431230938494365,-1.0494195115604996 0.6630425993365497 -0.4164534486054989,0.2689034625786693
8,0.5679892922452079 0.047934514704037534 -0.3663366891305677,0.7566802556395684 0.12469116486660435 -0.5054941043244454,0.24669951198636741
9,-0.5440965372275057 -0.822848124385499 0.1206687588151929,-1.0091782256894466 -1.4851676592626717 0.26630344693801583,0.8223001919050951
10,-0.8914403368090946 -0.5720843815841119 -0.8668542508955204,-0.18832150744782836 -0.12195319026217195 -0.2115640738978886,1.061319647266013
11,-0.1053502470518295 -0.7469515560457705 -0.5116114867198986,-0.17014405277418906 -0.722823656856588 -0.5961420075752452,0.10920531917148725
12,-0.4324525983167189 -0.8164498153997075 0.12637201080869764,-0.453649399576791 -0.7596555809166159 0.10254176559479031,0.06513654919578056
13,-0.9327418321299736 0.5848007087849891 -0.027944720068682427,-0.8132466175648745 0.5325283920003272 -0.07797919455494791,0.1396959199229236
14,-0.7494591038668958 0.6263290022957424 0.9019922427419906,-8.42146501651187 7.697303758716156 13.324542330182815,16.222765159015594
15,0.2812598201500618 0.38808782678409237 -0.11064421544151815,0.4406885445599021 0.6053040319521614 -0.18086627045758424,0.2784448508506575
16,0.791484720497079 0.5503639748867923 0.7713034093861346,1.4713150794955523 0.9892601100669363 1.453221473445227,1.0582114063750026
17,-0.43124915996766355 -0.5171527629829167 0.9336019709698433,-0.4507932337654478 -0.5393265814810396 0.9672303168515344,0.04477180691171156
18,0.9192501050277881 -0.23152958819983072 -0.593539323025166,0.909914956728523 -0.34973562917634926 -0.5002967638618533,0.15084425065754253
19,0.35473838611979613 -0.926603445694032 -0.6823417732682628,0.15092652056646316 -0.42325452650470663 -0.2892931306281025,0.6703630706346109
0,0.47306740194109165 -0.2584843028266257 -0.15442261375841193,0.46460500651993997 -0.24608262163046343 -0.09589527395999149,0.060422374470347845
1,0.5574838793458254 -0.37565442056696474 0.4796154908536363,0.7052327608191042 -0.45632938630522035 0.5102798063990974,0.17110956233169822
2,-0.17370060592362346 0.10567766418816582 0.4454958978461254,-0.33813860695032666 0.1772246893478649 0.8265045256031657,0.4211014217693447
3,-0.14196102024385504 -0.516023968572813 0.3199194037779085,-0.2646332753658924 -0.9331292508619751 0.6635683657334974,0.5541840017028655
4,-0.3349162548867839 -0.26913634591779956 0.04816339239334755,-1.0781932688181892 -0.9233535193118743 0.16027934522065052,0.9965093157020125
5,0.1844171672677022 0.29314851018236965 0.7436937825979566,0.17017812934218154 0.2949656348405127 0.5301425907964761,0.21403309011202068
6,-0.5331738080847672 -0.992447421658218 0.12213542395379506,-0.7953348967396189 -1.4467360263095563 0.20398667759175995,0.5308542176933922
7,-0.06140968242744238 -0.3012787951575253 0.05067718036429625,-0.1541766061468014 -0.483970069840052 0.07337524356243728,0.20614801976838532
8,-0.9097405757280459 -0.43651038283079524 0.21420204659847153,-2.481683328364089 -1.5608953260473102 0.6832481410195518,1.9887809725529493
9,-0.4869690522405672 -0.9435352677871831 -0.9572404706197251,-0.5520759443384855 -1.337876212790232 -1.1481478314533242,0.4429326232340508
10,0.7015093975217486 0.32950963908319 -0.020140410558658894,0.6268277147811678 0.2108588384456011 -0.04954939096112577,0.14324892445396684
11,-0.6101457161498032 -0.37747674086281635 0.5425950140224545,-0.6208161867168431 -0.43174510426154383 0.6128464388742564,0.08941016106576916
12,0.8114867375452011 0.8207574918840741 -0.5095071273540537,0.9883600987194655 0.9656402891734245 -0.6525018831592586,0.2696714872419014
13,0.21359543845395268 -0.2946002208123317 -0.2703785585320595,0.2124465139316619 -0.3448663100154462 -0.26267007509594875,0.05086669311266634
14,0.685494396802689 -0.21911622502164407 0.2718616056447112,0.9305361958866263 -0.2976600482784267 0.36869445521578903,0.2749385680950208
15,0.46712539937203323 0.326814543927328 -0.20153672120418986,0.5384801346640721 0.48185243824287116 -0.2710383593167175,0.18427893157580227
16,-0.6147058307987996 0.20887053364708996 -0.8038551696156118,-0.931871394413966 0.26249809287316567 -1.1615339792373296,0.4810447387762198
17,0.8200699629520727 0.3093664440278674 -0.8153531534202465,-3.098239974979802 -1.829472689519039 3.684282624790324,6.338336354710124
18,0.10208444939107886 -0.48738387178016174 -0.8294812337326016,0.08290774671546576 -0.7223675923593704 -1.178944699784643,0.42155641255692305
19,0.9586225612370292 -0.7848176168925256 0.9626303987357936,1.0469256125497086 -0.7616505021092862 1.200918415234307,0.25517704223794374
0,0.19546007026626522 -0.2760023795703115 -0.9700260504703315,0.3344665978600693 -0.7546363729707986 -2.7279139371093413,1.8271790104815533
1,0.52693001190498 0.5626101792978073 -0.10914455976311355,0.6788425596956011 0.7046448045181153 -0.16290294009813636,0.21480507534496493
2,0.14806871444573022 0.7695112056442148 0.015007085410037702,0.177685550018439 1.027285405234139 0.025588145552105326,0.2596856826190018
3,0.7846806272838098 -0.777704094949097 0.2669339422046997,0.9965160943520385 -1.1158608403680612 0.3977883279760373,0.4199370427289724
4,0.5202534102599947 0.9952990170015337 0.0725757936716116,0.5999815314883363 1.0832160543672678 0.30204133612957934,0.25834166127300956
5,-0.13432325252361443 -0.47439786894062075 -0.2218708416508126,-0.1473920824785864 -0.5340983005451444 -0.23203120518228976,0.061952956646556825
6,-0.14288624384395487 0.8115154537147271 0.5211108017408077,-0.02732471631514051 0.7911542193182298 0.6574724204751952,0.17989868697354205
7,0.14548259113819606 -0.014022658982336234 0.7764490798593962,0.5175918110035591 -0.30079881235625383 5.372997327901666,4.62049365655156
8,0.6498058316071416 -0.05799736683674395 0.3431727802102611,0.8807267129799587 -0.19026239585917676 0.381206030620982,0.2688215383727805
9,0.24983574507042228 -0.9701067010605542 0.7312515718675419,0.19063339337128035 -1.087448274139649 0.6388546124359656,0.1606585239929266
10,0.16686470356736605 -0.08915888116225301 0.6000011745313429,0.18409937019536937 -0.09793788656616187 0.5837834733874816,0.02524120639058034
11,-0.34770780914654975 -0.4185842571885414 0.5057256976782154,-0.26568137399061603 -0.4721879160406084 0.3413849657586407,0.19133626021896868
12,0.01919738473519761 -0.21768266306848538 0.08364240562266989,-0.0009655698308239229 -0.26659044599079523 0.10891802946534404,0.058629115018423994
13,-0.5322452280765282 0.8998203229902471 0.47749536756417665,-0.6799861807524857 0.912304419833482 0.46485202194541253,0.1488055642777726
14,-0.4908274191069859 -0.26237870523387063 0.1341075364581492,-0.5005051458081975 -0.27569302993229555 0.1563976108072525,0.02770879013538816
15,-0.33677040276386916 0.3762648516208249 0.7747322365625657,-0.23083256793801346 0.3424245960162316 0.637476993645866,0.17665500121733535
16,-0.881129005984935 0.7560184402029959 -0.3219851351495113,3.778494243727507 -3.2363651575749923 1.504188943923592,6.402040876794364
17,-0.13378124793355228 -0.0667705650900352 0.9258645170897377,0.09800115482960792 0.023886151726668563 -0.6990483395161554,1.6438623768727634
18,-0.3059928972815209 0.10656616230383453 0.5750110096129804,-0.2247541294157194 0.0702994049261271 0.4217205050464091,0.17723711204293832
19,0.18865798425633717 -0.1914920128689359 0.2729739397946711,0.20354523668315158 -0.18584906002647006 0.2875960892373151,0.021616670787265074
0,0.4031474762899838 -0.15158113165279796 -0.009615065349385388,0.3631424765571579 -0.1275419608823098 0.011633932715667948,0.051281591762783005
1,-0.3663745452028535 -0.7692184139050757 0.03037624529348193,-0.32776026051555535 -0.6802753093655151 0.10548711522655614,0.12265227926602147
2,-0.9375273026757069 -0.4946777489560239 -0.6865525174904232,-0.6602967376175581 -0.36797318151269826 -0.520140373362789,0.3472806290690819
3,-0.5657026472770874 0.5630698532501728 0.44177308863503284,-0.5967601958785003 0.5985092993956304 0.45832904767616994,0.04994622556307653
4,-0.2103577697851986 0.3667474284204981 0.8815760533734414,-0.19624150371266122 0.4213493078226747 1.3494129669035304,0.4712239508592921
5,0.3263020676703179 0.05183314253603344 0.1449061995344343,0.33796292266812133 0.05942161927181978 0.142132899989614,0.014186321186786534
6,-0.8302306723405146 -0.8152016704568887 0.29358211466184025,-0.7594854077135627 -0.7638185805485388 0.26398120378853673,0.09231104116082915
7,-0.01651170429114379 0.5196621573703493 0.753379977268319,0.024103667116184273 0.42568283007862867 0.7517869965014968,0.10239267522866569
8,0.3080297533054597 0.25259885748088484 -0.5025739942950869,0.3698965498556292 0.25810457851097157 -0.6059592082272136,0.12060810892818451
9,0.5911795444309116 -0.8086591198377806 0.4469718630715558,0.5381257203004297 -0.735479688474369 0.4077669949261092,0.09852390124148673
10,0.25508341350871055 0.6725575102420678 0.571798078324524,0.23743482198496862 0.7078249886216731 0.48812479701277506,0.09250127469123276
11,0.5762626949495386 -0.9474856663204267 -0.6776674913851612,1.166079412873667 -1.661099711602855 -1.5773304881201644,1.2909385245089513
12,-0.04860056460798878 -0.07584713150421107 0.1966908670694678,-0.04489684537512515 -0.08923214818502907 0.18148760453692944,0.02059163420748691
13,-0.5571764638453456 0.17920374873334421 -0.1556615230442202,-0.5851707957614678 0.18206898190205204 -0.17707268260510475,0.03536000472684838
