,original position,computed position,offset
0,0.22805811834544776 -0.8350074606529054 0.6543046515726063,0.6711336826386773 -2.4185364362997146 1.7525039760068126,1.9773522014488323
1,0.700121131792786 0.8103430198725279 -0.892683874241325,1.4456146139597565 1.7502883140901557 -2.094731713747333,1.6982864000327977
2,0.36588271578879006 -0.618775027172511 0.8419287967266369,0.7974309725012678 -1.3496851472386726 1.8761404885651285,1.3379302392210681
3,0.6459573600096875 -0.6333272779639447 0.8582870602577513,1.045301617190002 -1.0061593323907778 1.5914706089807835,0.9143509679926681
4,-0.834133563594847 0.8822290532929682 0.6143213495725064,0.7653969694079266 -0.8011515123369445 -0.6874837775805113,2.6621353541528476
5,0.22847055746197475 0.6484780991402863 0.042595202606194205,-0.8007867370768916 -2.440117013012613 -0.08141689418540629,3.2579394324214954
6,-0.6429571513419958 0.8508485295734123 0.6234738172030132,0.5197862387787001 -0.773926990232816 -0.4634683377781631,2.2744913561730877
7,0.748621274377687 0.9269622344826474 0.2363104995466916,10.14504261448423 14.392699547551153 2.965303646789419,16.645306214758346
8,-0.9560593424841881 -0.27626935930339536 -0.21302629565464382,-0.18190636002722274 -0.05234052256689026 -0.014002197477594834,0.8301009311067942
9,-0.8275456510258221 0.9932481423346935 0.41955019931598314,1.9663033523743008 -1.7089587810635902 -0.9024612307734605,4.10551199388683
10,-0.2681166001116333 -0.5939090768398518 -0.49462193322035164,0.30502587208890597 0.49743959643839836 0.45044386691399496,1.55328155422316
11,0.96735342207967 0.8455065212948218 0.3276610214314606,0.8509370526958154 0.9528488585644138 0.42152110281856997,0.18407841619541304
12,0.11264585031581231 0.5900459225891574 -0.29714435728241506,-0.27780884227281955 -2.074228288875872 1.034922900205768,3.0041995804730046
13,0.05393686937138509 -0.3763585799512248 -0.49480848675645484,0.0393809234398789 1.8621322417960169 2.4704908478442538,3.715380623622835
14,0.6556709452107767 0.9333006810147586 0.09437934922749514,-3.0317970819152995 -4.241538177312747 -1.0196034160302794,6.45114991780727
15,0.23935689575129304 -0.03125578478811386 -0.7699283225429356,-0.5878872522554658 -0.0814990584783594 3.515102395837167,4.364441032299972
16,0.3773898036247634 -0.4421690912539553 -0.5732849409553533,7.3838094762035125 -8.11450304902766 -10.89706922664383,14.64701836434072
17,0.3525898109271428 -0.40525198392151895 -0.14234486943058933,-2255.2435897160017 2485.5094426922556 668.5022882919352,3422.655641422158
18,-0.6651883204000881 0.6277369077304547 -0.8936315658535579,0.3031656677039607 -0.28786300482004534 0.41081033788951393,1.864832787780274
19,-0.5432960771810336 0.9171336464357924 -0.613173193760874,0.8041681875983323 -1.1042290195501576 0.5602811223670725,2.697881021160594
0,-0.27193217473804765 0.20878958710969164 -0.3491525043455812,1.3398842793732086 -0.5802683361049747 1.764661221662649,2.7728637103529667
1,-0.349082327766822 -0.4245714143481747 -0.15047163898837512,1.9364476320106652 2.0688225368917452 0.7283371608818466,3.494705352365152
2,0.681886919928961 -0.888491373847861 0.0022757458502991046,-0.1438316825639436 0.19965184003414163 0.003382520872064562,1.3659678214991882
3,0.6503398541385337 0.47903725593843594 -0.16701259471094532,-1.1533043290701441 -0.6191016682745618 0.09966002313715266,2.1284162472608914
4,0.7354505975361458 0.12961550299527147 -0.9130720064035649,-15.863394494236422 -2.9231103673208794 19.693576903584997,26.635967655024146
5,-0.29758316233140025 0.4741431811564809 0.5804839191636184,-0.11126351974379702 0.18524190643903576 0.2187916086975362,0.4989992817606351
6,-0.3294327357388507 0.5767347860176122 -0.5581258207774595,-1.4100687272541221 1.7151997098569145 -2.2142142201102617,2.281776789121869
7,-0.020194274013307423 -0.9701419562992091 -0.8221305983170986,-0.02100771259520532 -0.7787452676115956 -0.7323451241708033,0.2114114128673871
8,-0.2724312418666779 0.17234583665332348 -0.3122215333497873,-4.026569030000258 1.5961129752376144 -3.7109587912978768,5.260425681042313
9,0.07537439032959337 0.03519511842362388 -0.8479825844173685,0.8813970600380019 0.135147569654485 -7.641607417296304,6.842002733593452
10,-0.35232947599432207 0.3535508025632572 -0.03033764939147776,-0.5406587935735369 0.5755953773541871 -0.05460521290997776,0.29216543206386003
11,-0.5675038528301426 -0.9943143926394238 0.8269016732360326,-2.3539016550151612 -2.847514231160392 2.7889235743517116,3.2365254038247855
12,-0.33092039255051864 0.9410526595347797 -0.7344413044472031,-0.24173010535228667 0.6327204640417661 -0.5762468658756449,0.35783953177788447
13,0.916874174164273 0.31581210171063967 0.12065522961281916,-1.337879948712894 -0.6466977070937643 -0.24802834357593803,2.4791669697330803
14,-0.9218659824250652 0.07255855192171201 0.6393728206864058,-1.1863603158022986 0.12606702141211162 0.8550947022429433,0.3454798675439205
15,0.2564052621995445 -0.34200053934441543 -0.8929282110146104,1.109758352994443 -1.5566921741641846 -3.339786697370788,2.8619580216214864
16,-0.39063654142557125 -0.34004132933153564 -0.9339434108462905,-1.4699717575023545 -1.2013796501090555 -3.791852950536984,3.1740376728322595
17,-0.7278756575478671 -0.2998072108285259 0.7573833124364677,14.495620961107413 6.092412865352056 -16.836538901242204,24.12802158614565
18,-0.8885875837215669 -0.5055262378563805 -0.5303737744229149,-0.03864864404253634 -0.015846242800904128 -0.02329715927485633,1.1042234340794703
19,-0.7553645091133347 0.44344623505646763 0.8912844904446955,0.12639454941418643 -0.07988196644054579 -0.17377969181461164,1.4784225228631787
0,-0.3303046504023903 0.47301354347491675 0.523228631933291,-0.12479434194524212 0.19008564775607753 0.20865561157053084,0.4703603578089805
1,0.8221404579197575 0.02424011929716463 0.4712199572194473,12.237855359141781 1.6579833845248757 8.12151491376807,13.838882783117022
2,-0.21479975100255988 0.25063130516889687 -0.2489107827753907,1.1653036176253133 -1.7532810451877543 1.6715154010918982,3.0997397864486946
3,-0.435806440953729 -0.18028551286220784 0.8679109494680108,-0.041511516312748784 -0.018050029994409984 0.08423921567663663,0.8921492172515549
4,0.5827200475290419 0.2446986403490643 -0.3732950696924002,-0.014990886123149909 -0.008789423586816197 0.00911653885630778,0.7534939927551819
5,0.24520333677063655 0.7974506188147796 0.7392573287325603,-0.6663552124506776 -1.9439733937611194 -1.804815477728432,3.849500103904469
6,-0.022536527008043317 -0.7402667480189071 -0.13699720561040696,0.12035448848892395 1.1097997630320815 0.2811516953831833,1.902107368426998
7,-0.23405538195047804 -0.8292295339150257 0.570801713863549,0.13299693525801898 0.7524817505842548 -0.4489477103946511,1.9174010742031573
8,-0.9133990086442507 0.800082195202545 0.9952688135191521,-1.1644119305244236 0.8967567053006907 1.2175557416591254,0.3489483146190047
9,-0.8237092644949386 0.8592010532110435 0.20110791699280894,0.5881131601947611 -0.5251359807191408 -0.08264702983406381,1.9975355947306783
10,-0.7890612611784062 0.17550473033591185 0.4327599959095372,-1.435793749632884 0.23976986552689297 0.8096070854326053,0.7512700234307528
11,0.5664270615424047 -0.6805683480360669 -0.3879909404726549,-0.7864094505253504 0.9207324055640131 0.3574485627475091,2.224861969836547
12,-0.10783698407676412 -0.8399352156747981 -0.35339273356682854,-0.00688654711307142 -0.06239182572806832 -0.02672354679463499,0.8493982997154039
13,0.665823281941071 -0.7363760909303854 0.4020448631821889,-0.22049815332596717 0.19736114987428802 -0.11658998252961537,1.3879528178817369
14,0.5801167654284094 -0.7047925688323964 -0.966615751550107,-0.38303975125270256 0.5268773815761979 0.7521147490936084,2.323513691848576
15,-0.43517763307966995 -0.9973465678225246 -0.6085970929214752,0.7448210890315863 1.3683736624866452 0.8989221688658334,3.043294845547835
16,-0.7143056013774784 0.5039238511812572 0.032798875677350514,-1.4074401932623726 0.9509359207903115 0.07042895040712842,0.8256339233387745
17,-0.1608698305054681 -0.5227471835684054 -0.5568646136076796,0.4029043834011811 1.209640226624039 1.273121897551233,2.5822196138754183
18,-0.3736549464284957 -0.42151792531249077 -0.755707182339532,0.09404297904169046 0.16836793845556264 0.31484213629557767,1.3087331757820597
19,0.8524778951549266 0.24631059021326762 -0.325693022532898,2.510723573404458 1.3401345807366474 -1.0099372950453718,2.1010520879178283
0,-0.9052320932018474 -0.2039856253954795 -0.26762901918490734,-0.3930058808093323 -0.05878534720293595 -0.08869161515273165,0.5616737558502695
1,0.945808716594897 -0.7921166968168489 0.7650898012618612,0.1585883457038354 -0.16366240055627373 0.18968875043975666,1.160067706697078
2,0.6173847196841351 0.0322622045673977 -0.4706581696428489,-0.18038920555416646 -0.0024786097061495573 0.13581686562593703,1.0027273449800755
3,-0.4794005411287898 -0.60267059778253 0.547081725322599,-0.3946254196588471 -0.3726917591455822 0.4584690399429491,0.2606324911656941
4,0.7931401097550517 0.6801240057742162 0.34566729747540115,-0.44438489579350743 -0.51717679675519 -0.23961225717923318,1.818666959119302
5,0.6870867078434395 0.24778739310820064 -0.4999260927945055,11.53326464498581 3.2894248222314393 -7.715636404494563,13.377503855232929
6,-0.04126411443672984 -0.03115465025856623 -0.6764071540613061,75.19484910760931 99.09604715977329 1708.0035401170846,1713.2057194271717
7,-0.7916215383998286 -0.41888615388827644 0.8216940312408334,-1.1669545272672104 -0.6185053291073446 1.2085620175032434,0.574795186516028
8,0.5888313467588262 0.3579627272680421 -0.11613805039693137,0.4330291987169314 0.2667013005788392 -0.08584652537006279,0.18308613771738882
9,-0.004394173600027695 0.6595389779666152 0.44533346173941024,-0.01853357986064491 0.9945942515976949 0.6600342949551052,0.3981939313712781
10,-0.03880564339920989 0.37226662836163404 0.16592192983945475,-0.11725316128811282 0.7536951437819348 0.33731952218306327,0.4254631125019538
11,0.5622284988919022 -0.9625411163322213 0.31255007743181795,-0.07423964883360475 0.12831852852362316 -0.0403626127097833,1.3113404724582929
12,-0.29812148054862786 0.2887367106572363 0.8003645641432058,-0.45041664334075243 0.41246541497158024 1.2166270866131352,0.4601924559292716
13,-0.8580701451791819 0.5101725322777191 -0.7883005302928265,-1.5232837601733749 0.9039888383634469 -1.352200030597514,0.9568610572891584
14,-0.123411937857977 -0.6287949640739665 -0.6041343782513919,-0.15983813620582468 -0.8520685299361758 -0.816827074579445,0.31050947845468496
15,-0.47632566554677225 0.4185260622080589 0.2831239021532752,7.267878356537534 -4.541148754745827 -1.801169300270435,9.429493537792103
16,0.39889916872972453 0.2546291244754042 -0.8974882388554923,-0.04936364981908165 -0.03879398794391288 0.11718619217369963,1.1474322979503293
17,0.4796170620133082 0.47324320283588883 0.3322105292907904,-2.0405298380893853 -2.4736309563163377 -1.8116130292290582,4.4307095546922355
18,-0.4555653160229478 0.8182642860337774 -0.12311374788571494,-2.117023702758576 4.4017020850318485 -0.15150524642037136,3.949971709687468
19,0.4297617118104542 -0.4770707024315981 -0.6094812016470985,0.6117467339586244 -0.5618196231895731 -0.8132853957019651,0.286071804570575
0,-0.44312434637984843 -0.5576691063998411 0.463342646422473,0.7136250100746696 0.8906567653212273 -0.7135480492513187,2.195629434562689
1,-0.2943973245906488 0.3727446076672636 0.999341040335781,-0.9170899439799464 1.3527275076784224 3.5863213440415986,2.8355915915939
2,0.0347114250144851 -0.0812209476241943 -0.03977510539152651,-0.6791366572443303 1.6602585049056229 0.7886470697035909,2.056359177847456
3,-0.46245310033377374 0.05156277828280942 -0.10770823110469463,-0.27555418762069744 0.0063543879700250485 -0.07210247297568646,0.1955575928977052
4,-0.5666942931113497 -0.8796073890045708 -0.7489075704307091,0.17703464253036674 0.2351720343179667 0.2952662824979296,1.6988716630498986
5,-0.9581836666194024 -0.8177129423478109 0.5552935238275374,0.14581016388688084 0.12672631208451934 -0.08652182687816519,1.5882993507239485
6,-0.42029904530204143 -0.10062395643608735 -0.42850049655323663,-0.8653488893248441 -0.21445878553525066 -0.8786680765057423,0.6431784993460621
7,-0.6062886746758951 -0.23319394603503363 0.4661361116802296,-0.4397656992937711 -0.20212031031268374 0.4305648980316487,0.17309183518454524
8,-0.28843028035132967 -0.2162706334036928 0.5928046863971119,-0.4900900063274797 -0.36639432228776925 0.960675814979139,0.44557034718341976
9,0.9825137923338134 0.011961134284999897 -0.6958916310324486,-0.753389038268664 0.008007630459316782 0.39046672091274043,2.0478156011534
10,-0.6755462717281182 -0.8448634268689001 0.6397161704493466,-0.8909876600084737 -1.1156010695388878 0.8442547202303721,0.40193268253426956
11,-0.05770597519178722 -0.6623317374358804 -0.6173533283411046,-0.006172840191732288 -1.3531390439871 -1.2885799941011162,0.9645805490547625
12,-0.6793155069254309 0.35954349358644655 0.6700625798334521,-0.721344393534582 0.2829473721555516 0.799097189040818,0.1558310736058727
13,-0.7151057456085195 0.24444308415023874 -0.9068919261151711,0.911123793135534 -0.35175431120405176 1.0764020691932146,2.6331594936002714
14,-0.7284589278490237 0.8667610757317825 0.07499396159692773,-0.5635614596023082 0.6191728759294844 0.055965485071538215,0.29808249635695905
15,0.5572178837014174 0.05217264716127268 -0.3075031179764849,0.35922520423644516 0.029405016479399675 -0.1852978522022071,0.23378107945586038
16,0.5644273365647836 0.4633467597083447 -0.12449697237294988,-0.47703826931943055 -0.381318828651115 0.09143099359050622,1.3582103853540222
17,-0.9595639780039129 0.17834372296727574 0.6885088659390426,19.222271349178875 -4.814166878503042 -9.986798796513998,23.37079016566075
18,0.6758588241492836 0.5300523268237733 0.8108111016438744,41.75585247214882 41.72410673787221 36.98894397550508,68.50819874422957
19,-0.8608848886459468 -0.7967621595096039 -0.5018855896573406,-0.22286697726933344 -0.28706794348479336 -0.08480274986650814,0.9169586382899217
0,0.48113100683046883 0.7135222284906786 -0.16237294800213653,-0.7661839669518548 -1.1141722646033678 0.23046778383473368,2.247350805837404
1,0.6494537459071292 -0.703514532274538 -0.44663900023355274,-2.3059217309678535 2.1069386049752143 1.0745276637286323,4.352796694717185
2,-0.9320491850784005 -0.6261636284058791 -0.5679206284183396,-2.5880286204098337 -1.685278089137773 -1.699530475347609,2.2681561182686054
3,0.18363581926272876 -0.9572535049551429 0.4597419234610005,0.33496984460425255 -1.0843744228949705 0.6098606335171012,0.24818811839578658
4,-0.44272610899910547 0.7726615824146312 -0.19592497996231728,-1.1230409277985829 2.3761482368997804 -0.7246261355645025,1.8203083847868273
5,0.9494309124131173 0.5574316568310289 0.7906771932286365,-0.017622821982671896 -0.009942306168407458 -0.015298952908146488,1.3808344170247309
6,-0.554189121209355 0.47088093894241845 -0.009105832914188872,-1.045011718092598 0.9802989482580196 -0.05821041173660858,0.7091013957732756
7,0.03301806197049206 -0.5496101248999634 0.15700356728542864,0.5259532855031342 -3.9827959815603813 1.8393451691285219,3.854870104979452
8,-0.25459458737061347 0.5593464179213252 0.8068020240044838,-0.9624327945217054 2.1087532026561275 3.0505460693688526,2.8171055452703886
9,-0.2866963393024544 0.26978803696109055 -0.11433721755258075,1.999079759863607 -1.8491166996413584 0.6036730525832222,3.1984478120387707
10,0.4453629615249355 -0.7821962146569386 0.7535951400851608,-0.3738989921793565 0.8411854987450501 -0.7164376682005329,2.3382803068989984
11,0.4405291833019842 0.11752071695280764 0.9265639926326059,-2.8079641519088896 -0.5504858966519761 -6.535092524352841,8.165492009805693
12,-0.19231746496430757 0.8667873787738931 -0.9571917302837376,-0.550845995968285 1.7822919182155006 -1.9780238322636168,1.4173176954073206
13,0.7107375733062029 0.429024482264748 -0.5988266339781154,4.732773222216365 2.691378500646747 -3.5712619064532287,5.489115403655453
14,0.7135247294954914 0.4406403743350036 0.9297710156573631,0.5396702950254233 0.41042070476587533 0.755770777290043,0.2478198453830094
15,-0.930398602740969 -0.7246989473652221 -0.20680179300605972,0.19351975440962552 0.15398542800076614 0.04387405569740641,1.4484878619358916
16,-0.7064748095184752 0.7707610003923693 0.833113890891994,-0.9043778421817277 0.9049288966335325 1.1081192129772346,0.36440988171878497
17,0.5468034565132476 -0.5112585640158185 -0.654435621696112,-0.326441043082573 0.3068571340136866 0.39315024868680953,1.590379013714216
18,0.3990366277362307 0.858779546777056 -0.6438684475892227,0.45500954121296483 0.9554763330755027 -0.7272885125750617,0.13943508441480226
19,0.7727717123102493 -0.6345778559115745 -0.03753720905349489,-0.4000587603345724 0.2944760437134546 0.04769721538512989,1.4986451791808937
0,-0.6531988907954174 -0.6838810382439167 0.5123615648327429,-12.480596435932217 -13.211254425031278 9.2338603286528,19.31028113078655
