,original position,computed position,offset
0,0.22805811834544776 -0.8350074606529054 0.6543046515726063,2.103641458306584 -4.550550481360589 7.7228354942103925,8.202877609545993
1,0.700121131792786 0.8103430198725279 -0.892683874241325,0.8251233585171285 -4.099234428249506 7.65213462131582,9.855632876574186
2,0.36588271578879006 -0.618775027172511 0.8419287967266369,2.3907825676311507 -4.239847693915499 8.337888749366428,8.567485178242443
3,0.6459573600096875 -0.6333272779639447 0.8582870602577513,2.657763393061635 -4.056073987553766 8.16251438823703,8.313500791569787
4,-0.834133563594847 0.8822290532929682 0.6143213495725064,0.5964314921583451 -1.2357730506176072 6.153246451800932,6.1001754547724225
5,0.22847055746197475 0.6484780991402863 0.042595202606194205,1.6316195149151687 -3.6782279551251884 7.0380141006629096,8.344165496687403
6,-0.6429571513419958 0.8508485295734123 0.6234738172030132,1.6196951918388294 -3.097006018031096 6.765738837865231,7.644120010779129
7,0.748621274377687 0.9269622344826474 0.2363104995466916,1.8473009382366357 -3.4587738399598726 7.273075038851321,8.364079931472366
8,-0.9560593424841881 -0.27626935930339536 -0.21302629565464382,2.448035467697938 -3.0105854231385965 6.975273212016997,8.410469405785177
9,-0.8275456510258221 0.9932481423346935 0.41955019931598314,2.1237695740542457 -3.6153825870574043 6.854698203587041,8.4475362440513
10,-0.2681166001116333 -0.5939090768398518 -0.49462193322035164,2.1113522210123103 -2.6407736165056095 7.387291823496303,8.483872393121041
11,0.96735342207967 0.8455065212948218 0.3276610214314606,2.047188528274693 -3.052020684530692 7.118405370113971,7.903857981130779
12,0.11264585031581231 0.5900459225891574 -0.29714435728241506,1.5675029000982277 -4.555982033333463 7.452668937554575,9.415828102895194
13,0.05393686937138509 -0.3763585799512248 -0.49480848675645484,1.7745680456844841 -2.6101819115464275 7.683530306174023,8.65076665583064
14,0.6556709452107767 0.9333006810147586 0.09437934922749514,1.736479095158749 -3.4189351577075238 6.962479244418068,8.202493475960184
15,0.23935689575129304 -0.03125578478811386 -0.7699283225429356,1.3260610411246323 -3.184157705731367 8.513729615627064,9.864482811359451
16,0.3773898036247634 -0.4421690912539553 -0.5732849409553533,1.3257465190870088 -2.747633645861259 7.464293046849637,8.41529602464229
17,0.3525898109271428 -0.40525198392151895 -0.14234486943058933,2.1323111427718926 -3.648988962332096 6.648041084554278,7.732954093243177
18,-0.6651883204000881 0.6277369077304547 -0.8936315658535579,2.797510531624203 -4.126077812585092 8.036940236442504,10.693182428578718
19,-0.5432960771810336 0.9171336464357924 -0.613173193760874,2.531586604746833 -4.339727865885098 7.153388545353509,9.86959866027064
0,-0.27193217473804765 0.20878958710969164 -0.3491525043455812,-3.829626440497058 1.7498679306280922 2.0967512333946265,4.584163614419481
1,-0.349082327766822 -0.4245714143481747 -0.15047163898837512,-3.971864065881691 1.4359800972145345 2.2403996432658064,4.722548563805843
2,0.681886919928961 -0.888491373847861 0.0022757458502991046,-4.152272403847286 2.482525992407982 2.166834641299862,6.27838909777987
3,0.6503398541385337 0.47903725593843594 -0.16701259471094532,-4.28927991916705 1.3707137422327282 2.364407721017017,5.62165627514898
4,0.7354505975361458 0.12961550299527147 -0.9130720064035649,-4.22152422214029 1.3935014262527055 3.0105035646290887,6.446972332150863
5,-0.29758316233140025 0.4741431811564809 0.5804839191636184,-4.003373413188807 2.1667885593412994 3.039943832508309,4.758873062500165
6,-0.3294327357388507 0.5767347860176122 -0.5581258207774595,-3.9540551105291044 1.8019016560315075 2.0978621279155663,4.65759521671993
7,-0.020194274013307423 -0.9701419562992091 -0.8221305983170986,-3.5314276680272303 2.233887556207843 2.8284411900895834,5.993433026785689
8,-0.2724312418666779 0.17234583665332348 -0.3122215333497873,-4.018855707826298 1.728300409002803 1.9910667311342924,4.664957420991768
9,0.07537439032959337 0.03519511842362388 -0.8479825844173685,-3.6875298735830366 1.5343900292695363 2.927710400768554,5.537408364791269
10,-0.35232947599432207 0.3535508025632572 -0.03033764939147776,-4.273222846318433 2.4072891936931744 2.0761766809977225,4.901902571939544
11,-0.5675038528301426 -0.9943143926394238 0.8269016732360326,-4.117753504514981 1.1310495384853323 2.6906860482102934,4.538186490814651
12,-0.33092039255051864 0.9410526595347797 -0.7344413044472031,-3.679402720028618 1.731266092954552 2.053042422827227,4.427960783205963
13,0.916874174164273 0.31581210171063967 0.12065522961281916,-4.302781721651067 1.2312403521300996 2.1831989272413037,5.686554585776247
14,-0.9218659824250652 0.07255855192171201 0.6393728206864058,-4.627531044312402 1.7117709804189314 2.928918163297339,4.654136741921497
15,0.2564052621995445 -0.34200053934441543 -0.8929282110146104,-3.9128447255666963 1.972773541127602 3.102440554351139,6.221237503533691
