,original position,computed position,offset
0,0.22805811834544776 -0.8350074606529054 0.6543046515726063,0.24546733777678198 -0.8845803983500184 0.6409788341158522,0.054204561468763186
1,0.700121131792786 0.8103430198725279 -0.892683874241325,0.6733647372523226 0.8152812093569064 -0.9757223373510014,0.0873823593170021
2,0.36588271578879006 -0.618775027172511 0.8419287967266369,0.4041081004916948 -0.6839697979145221 0.95075761443215,0.1324962253461141
3,0.6459573600096875 -0.6333272779639447 0.8582870602577513,0.6576039291598225 -0.6329793424788435 1.0012012881234333,0.1433884240743121
4,-0.6429571513419958 0.8508485295734123 0.6234738172030132,-0.741162465747365 1.103541405284499 0.6608588500353588,0.2736706303067095
5,-0.9560593424841881 -0.27626935930339536 -0.21302629565464382,-0.32575127117734165 -0.09372949773553432 -0.025074624256788414,0.682594240084853
6,-0.8275456510258221 0.9932481423346935 0.41955019931598314,-1.0533510566123871 0.9154912621019021 0.4834495602314286,0.2472192183893723
7,-0.2681166001116333 -0.5939090768398518 -0.49462193322035164,-0.30513718648014343 -0.4976211291899506 -0.45060824931372,0.11215657380970286
8,0.22847055746197475 0.6484780991402863 0.042595202606194205,0.11977003862990651 0.3649572294076977 0.012177155427558978,0.3051641262705136
9,0.11264585031581231 0.5900459225891574 -0.29714435728241506,0.07703858660048031 0.5751998905232981 -0.28699229592564657,0.039891681428404525
10,0.05393686937138509 -0.3763585799512248 -0.49480848675645484,-0.012182149645437347 -0.5760345783608817 -0.7642250759322123,0.3418004206254567
11,0.6556709452107767 0.9333006810147586 0.09437934922749514,-0.25904276755413475 -0.36240545077756303 -0.08711694205117392,1.5964010962262276
12,0.23935689575129304 -0.03125578478811386 -0.7699283225429356,-0.0757568614754888 -0.01050220575431848 0.4529663200757373,1.2630117568660013
13,0.3773898036247634 -0.4421690912539553 -0.5732849409553533,0.38004945482150315 -0.4176587261452503 -0.5608792090431263,0.027599527650457943
14,0.3525898109271428 -0.40525198392151895 -0.14234486943058933,0.293972905312498 -0.32398825358900685 -0.08713983748512984,0.11439987344175968
15,-0.6651883204000881 0.6277369077304547 -0.8936315658535579,-0.8268031840264731 0.7850692684009751 -1.1203751993768514,0.3198210612240529
16,-0.5432960771810336 0.9171336464357924 -0.613173193760874,-0.3765016529947749 0.5169864433298009 -0.26231672921925464,0.5577081878579673
0,-0.27193217473804765 0.20878958710969164 -0.3491525043455812,-0.4027331565082491 0.17441304612564512 -0.5304096741103328,0.2261521722053635
1,0.681886919928961 -0.888491373847861 0.0022757458502991046,0.8476629214272716 -1.1766354879178502 -0.01993467275840475,0.3331696502395149
