,original position,computed position,offset
0,0.22805811834544776 -0.8350074606529054 0.6543046515726063,0.31334152242676 -1.1291757642310722 0.818215920473425,0.34738329538771634
1,0.700121131792786 0.8103430198725279 -0.892683874241325,0.6724964005584244 0.8142298644456493 -0.9744640957744746,0.08640739534621639
2,0.36588271578879006 -0.618775027172511 0.8419287967266369,0.3786368026587981 -0.6408585650285956 0.8908305049913098,0.05515184899286706
3,0.6459573600096875 -0.6333272779639447 0.8582870602577513,0.6159424952533804 -0.592877959455604 0.9377717989695427,0.09410028247678301
4,-0.6429571513419958 0.8508485295734123 0.6234738172030132,-0.8503030078477443 1.2660443823902208 0.758174211346812,0.4832433099266601
5,-0.9560593424841881 -0.27626935930339536 -0.21302629565464382,-0.27410022035060083 -0.07886776892629394 -0.021098797279144092,0.7354398661870999
6,-0.8275456510258221 0.9932481423346935 0.41955019931598314,-0.888437014951225 0.7721607331287302 0.40776005442366564,0.22962231648226777
7,-0.2681166001116333 -0.5939090768398518 -0.49462193322035164,-0.2985659507511528 -0.48690468462495345 -0.44090424351283775,0.12354227250281967
8,0.22847055746197475 0.6484780991402863 0.042595202606194205,0.13025741122745216 0.3969138229827687 0.013243418473041113,0.2716467087298109
9,0.11264585031581231 0.5900459225891574 -0.29714435728241506,0.07473775292148872 0.5580209761809102 -0.27842098680361843,0.05303947249544348
10,0.05393686937138509 -0.3763585799512248 -0.49480848675645484,0.0016401308222253053 0.07755380570218921 0.10289063413560563,0.7523401104737104
11,0.6556709452107767 0.9333006810147586 0.09437934922749514,-0.21095673673459517 -0.2951322362431438 -0.07094545037074572,1.5124229767756663
12,0.23935689575129304 -0.03125578478811386 -0.7699283225429356,-0.04229602321291129 -0.005863515590797628 0.2528968810935917,1.061199571847892
13,0.3773898036247634 -0.4421690912539553 -0.5732849409553533,0.3734852084473585 -0.4104448892512689 -0.5511916558376528,0.038855940388808935
14,0.3525898109271428 -0.40525198392151895 -0.14234486943058933,0.30125926804308795 -0.3320185716674379 -0.0892996707647526,0.10397956724590686
15,-0.6651883204000881 0.6277369077304547 -0.8936315658535579,-0.8089179271469141 0.7680867920331177 -1.0961394457785676,0.2852467901854293
16,-0.5432960771810336 0.9171336464357924 -0.613173193760874,-0.3536268843227389 0.4855763679591309 -0.24637939016120058,0.5972886920784751
0,-0.27193217473804765 0.20878958710969164 -0.3491525043455812,-0.3473934972470148 0.15044690778483674 -0.4575259540595182,0.14437134074498453
1,0.681886919928961 -0.888491373847861 0.0022757458502991046,0.882547851959292 -1.2250590372084231 -0.02075506923532576,0.39252136261199594
2,0.7354505975361458 0.12961550299527147 -0.9130720064035649,0.7559440520639412 0.13929603128167217 -0.9384651141051692,0.034036806917393074
3,-0.29758316233140025 0.4741431811564809 0.5804839191636184,-0.3051002143685075 0.5079593517688594 0.5999573523232036,0.039739829708176924
4,-0.3294327357388507 0.5767347860176122 -0.5581258207774595,-0.3255127454089333 0.3959518821237641 -0.5111488084096043,0.1868279003668579
