,original position,computed position,offset
0,0.22805811834544776 -0.8350074606529054 0.6543046515726063,0.3097390134948093 -1.1161935531762464 0.8088088360278619,0.33107239431147
1,0.700121131792786 0.8103430198725279 -0.892683874241325,0.6616657687845678 0.8011165989563988 -0.958770239585187,0.07701525479655201
2,0.36588271578879006 -0.618775027172511 0.8419287967266369,0.3789563912252887 -0.6413994819935671 0.8915824108865558,0.05610943186765495
3,0.6459573600096875 -0.6333272779639447 0.8582870602577513,0.6142602134659229 -0.5912586722639207 0.935210526723586,0.0932292678169328
4,-0.6429571513419958 0.8508485295734123 0.6234738172030132,-0.8544537283150454 1.2722245279171664 0.7618752087415909,0.49136898480808416
5,-0.8275456510258221 0.9932481423346935 0.41955019931598314,-0.9031499120825327 0.7849480452782379 0.414512735406145,0.22165358279599945
6,-0.2681166001116333 -0.5939090768398518 -0.49462193322035164,-0.29922764659266243 -0.48798378558813194 -0.44188139614428273,0.12235043437184293
7,0.11264585031581231 0.5900459225891574 -0.29714435728241506,0.07347105611433125 0.5485633277873627 -0.273702153800969,0.06168473941165515
8,0.05393686937138509 -0.3763585799512248 -0.49480848675645484,0.0013960519332756652 0.06601250273226901 0.08757878746896655,0.7332309659795796
9,0.6556709452107767 0.9333006810147586 0.09437934922749514,-0.20095214449097906 -0.28113563330330027 -0.06758087281097815,1.4949547795392892
10,0.23935689575129304 -0.03125578478811386 -0.7699283225429356,-0.03795756752455067 -0.005262073643391996 0.22695633564736575,1.0350642522550175
11,0.3773898036247634 -0.4421690912539553 -0.5732849409553533,0.37617731891275313 -0.4134034079739101 -0.5551646882136535,0.034018792059210594
12,0.3525898109271428 -0.40525198392151895 -0.14234486943058933,0.29882656328117063 -0.32933748183545686 -0.088578565201036,0.1074444688893837
13,-0.6651883204000881 0.6277369077304547 -0.8936315658535579,-0.8095995006066474 0.7687339622275872 -1.0970630247095532,0.28656433273838744
14,-0.5432960771810336 0.9171336464357924 -0.613173193760874,-0.3676102271044657 0.5047773424916032 -0.25612188322299106,0.5730522468994067
0,-0.27193217473804765 0.20878958710969164 -0.3491525043455812,-0.355235840365739 0.15384321854295327 -0.46785451675827555,0.15507666451309013
1,0.681886919928961 -0.888491373847861 0.0022757458502991046,0.8906015627723449 -1.2362383417556948 -0.020944470099148734,0.4062375342765268
2,0.7354505975361458 0.12961550299527147 -0.9130720064035649,0.7657184524025334 0.1410971370270071 -0.9505995223381883,0.04956092624714383
3,-0.29758316233140025 0.4741431811564809 0.5804839191636184,-0.30617187393185913 0.5097435507680103 0.6020646928098403,0.04250743552136291
