,original position,computed position,offset
0,0.22805811834544776 -0.8350074606529054 0.6543046515726063,0.6819109945395049 -2.457374185308283 1.7806463304221174,2.0264998889741324
1,0.36588271578879006 -0.618775027172511 0.8419287967266369,0.37431151743779284 -0.6335378395718825 0.8806542728062633,0.04229240859505385
2,0.6459573600096875 -0.6333272779639447 0.8582870602577513,0.6087972950238566 -0.5860003178500526 0.9268932391609982,0.0912552429566512
3,-0.834133563594847 0.8822290532929682 0.6143213495725064,-0.5596038488957996 0.5857450287518758 0.5026392621923702,0.4192162087782482
4,-0.6429571513419958 0.8508485295734123 0.6234738172030132,-0.8357409342005087 1.2443624274084308 0.7451899121015202,0.45478960243159694
5,-0.9560593424841881 -0.27626935930339536 -0.21302629565464382,-0.21461387389051104 -0.06175156441947933 -0.016519850340564527,0.7964760198963496
6,-0.8275456510258221 0.9932481423346935 0.41955019931598314,4.932855633886058 -4.287256562457335 -2.264000089919589,8.262408550501574
7,0.96735342207967 0.8455065212948218 0.3276610214314606,-0.595392177755837 -0.6666988529592562 -0.2949341159632228,2.261982229999975
8,0.22847055746197475 0.6484780991402863 0.042595202606194205,0.12188528917110392 0.3714027143206981 0.01239221534490593,0.29840142212976356
9,0.11264585031581231 0.5900459225891574 -0.29714435728241506,0.07509148948599455 0.5606621102171954 -0.2797387636902436,0.050761138040263276
10,0.6556709452107767 0.9333006810147586 0.09437934922749514,-0.45755533746320914 -0.6401280757409336 -0.15387737783745542,1.9433430504043556
11,0.3773898036247634 -0.4421690912539553 -0.5732849409553533,0.369688468672452 -0.40627242833131527 -0.5455884050636389,0.045988901589735294
12,0.3525898109271428 -0.40525198392151895 -0.14234486943058933,0.2944533674342272 -0.32451777206136134 -0.08728225670284906,0.11370906009237298
13,-0.5432960771810336 0.9171336464357924 -0.613173193760874,-0.4135445489896618 0.5678512267874668 -0.28812530466878283,0.4944590963331646
14,0.748621274377687 0.9269622344826474 0.2363104995466916,15.89874440540532 22.555435211638283 4.647058327523652,26.7725936474383
15,0.700121131792786 0.8103430198725279 -0.892683874241325,0.6693728946914057 0.8104480572023899 -0.9699380576903703,0.0831485055672206
16,-0.2681166001116333 -0.5939090768398518 -0.49462193322035164,-0.296198027842417 -0.4830430495182258 -0.4374074373427228,0.12788018273372134
17,0.05393686937138509 -0.3763585799512248 -0.49480848675645484,0.023927295397465503 1.1314053690645243 1.5010355047501198,2.5015287203857084
18,0.23935689575129304 -0.03125578478811386 -0.7699283225429356,-0.2595859889220943 -0.03598651545880297 1.5521196081137352,2.3750522045306304
19,-0.6651883204000881 0.6277369077304547 -0.8936315658535579,-0.8166637284656278 0.7754416144285128 -1.1066355394855674,0.3002202065358142
0,-0.27193217473804765 0.20878958710969164 -0.3491525043455812,-0.34292886101806463 0.148513392274752 -0.45164591610150573,0.13848699787305754
1,0.681886919928961 -0.888491373847861 0.0022757458502991046,0.8660044604467687 -1.202095261098719 -0.020366014709310827,0.36436151847638093
2,-0.29758316233140025 0.4741431811564809 0.5804839191636184,-0.3041680269830649 0.5064073590866628 0.5981242737172222,0.03735665574925074
3,-0.3294327357388507 0.5767347860176122 -0.5581258207774595,-0.3245880134264192 0.39482704331452917 -0.509696712730934,0.18830633737555855
4,-0.349082327766822 -0.4245714143481747 -0.15047163898837512,-0.35819560394323496 -0.38268173422478236 -0.13472461888653717,0.045670184426991264
5,-0.020194274013307423 -0.9701419562992091 -0.8221305983170986,-0.029345554537472954 -1.0878248461334539 -1.0230087490111477,0.2329915018219164
6,-0.2724312418666779 0.17234583665332348 -0.3122215333497873,-0.33969041779931053 0.13465167972379974 -0.31306482835882704,0.07710614346624181
7,0.07537439032959337 0.03519511842362388 -0.8479825844173685,0.6247943518174472 0.09580181510741216 -5.416892533005712,4.6022248515336335
8,-0.35232947599432207 0.3535508025632572 -0.03033764939147776,-0.2992408323961324 0.3185773391465346 -0.030222590584994023,0.06357326844661512
9,-0.33092039255051864 0.9410526595347797 -0.7344413044472031,-0.08871983388573544 0.23222119720703582 -0.2114942453822881,0.9135517386485915
10,0.916874174164273 0.31581210171063967 0.12065522961281916,0.9045092536673162 0.4372171516244716 0.1676861456456106,0.13078220240674787
11,-0.9218659824250652 0.07255855192171201 0.6393728206864058,-0.9411639977885373 0.10001155659128484 0.6783641847515076,0.05144324381309666
12,0.2564052621995445 -0.34200053934441543 -0.8929282110146104,0.5455189226980929 -0.7652161711882605 -1.6417239269027213,0.9074101629672456
13,-0.5675038528301426 -0.9943143926394238 0.8269016732360326,-0.446396567190109 -0.5400058133723499 0.528894615071824,0.5566609978671488
14,0.6503398541385337 0.47903725593843594 -0.16701259471094532,-1.8082750688191185 -0.9706944503605734 0.15625774624651478,2.8724576712253658
15,-0.7278756575478671 -0.2998072108285259 0.7573833124364677,-0.7079370602416801 -0.29754122746780387 0.8222627982871529,0.0679119284616378
16,-0.8885875837215669 -0.5055262378563805 -0.5303737744229149,-0.914204629734491 -0.3748309647432813 -0.5510767944483365,0.13478168458180387
17,-0.7553645091133347 0.44344623505646763 0.8912844904446955,-0.637370288863958 0.40282110471701366 0.8763195318463375,0.1256860661060192
18,0.7354505975361458 0.12961550299527147 -0.9130720064035649,0.761344570052333 0.14029117202071806 -0.9451695755218114,0.04259955005760678
19,-0.39063654142557125 -0.34004132933153564 -0.9339434108462905,-0.33779255186153356 -0.2760713569452398 -0.8713498595523325,0.10393554379391552
0,-0.3303046504023903 0.47301354347491675 0.523228631933291,-0.45590625706575433 0.6944324144793222 0.7622733323008085,0.34920545357579996
1,0.8221404579197575 0.02424011929716463 0.4712199572194473,1.0095460971562735 0.1367732013392923 0.6699739001299978,0.2954449153294701
2,-0.21479975100255988 0.25063130516889687 -0.2489107827753907,-0.21821526271869288 0.32832017176348244 -0.31300870165571754,0.10077583498946222
3,-0.435806440953729 -0.18028551286220784 0.8679109494680108,-0.3328785227241523 -0.14474217887869698 0.6755095491722174,0.22107868232265174
4,0.5827200475290419 0.2446986403490643 -0.3732950696924002,-1.614636138129237 -0.9466899314699668 0.9819228143773818,2.8433073082265077
5,-0.022536527008043317 -0.7402667480189071 -0.13699720561040696,-0.06664384119902773 -0.6145289643853636 -0.15568201215593738,0.13455321398562692
6,-0.23405538195047804 -0.8292295339150257 0.570801713863549,-0.15172024707079454 -0.8584161499166835 0.5121505800926863,0.10521828967385628
7,-0.9133990086442507 0.800082195202545 0.9952688135191521,-1.24316218491533 0.957405189585264 1.2999001610842864,0.4757042515106268
8,-0.8237092644949386 0.8592010532110435 0.20110791699280894,-1.0934166858275796 0.976329867293886 0.15365689389560466,0.29784702752138925
9,-0.7890612611784062 0.17550473033591185 0.4327599959095372,-0.9362837369895 0.15635436898258503 0.527946265009048,0.1763565126356142
10,0.5664270615424047 -0.6805683480360669 -0.3879909404726549,0.628829116248573 -0.7362365044131388 -0.28582319765699843,0.13202729921504822
11,-0.10783698407676412 -0.8399352156747981 -0.35339273356682854,-0.12032842199360291 -1.0901704165950168 -0.4669396960585738,0.27507563412980485
12,0.24520333677063655 0.7974506188147796 0.7392573287325603,0.22165259703530263 0.6466322214393673 0.6003435259953457,0.20639251662762148
13,0.665823281941071 -0.7363760909303854 0.4020448631821889,0.6856452578905238 -0.6137000898283275 0.3625398554734997,0.13039538953121152
14,-0.43517763307966995 -0.9973465678225246 -0.6085970929214752,-0.5175260892064628 -0.9507908416511087 -0.624600567042211,0.09594172736482938
15,-0.1608698305054681 -0.5227471835684054 -0.5568646136076796,-0.15794455397127663 -0.4741970897586612 -0.49908285574439226,0.0755274810483444
16,-0.3736549464284957 -0.42151792531249077 -0.755707182339532,-0.2118194872281256 -0.37922671902496624 -0.7091406561926603,0.1736309400459374
17,0.8524778951549266 0.24631059021326762 -0.325693022532898,0.7336304292099615 0.3915857237648031 -0.2951024712906244,0.19017193908477212
18,0.5801167654284094 -0.7047925688323964 -0.966615751550107,0.4884858704572911 -0.6719202263519415 -0.9591626631262501,0.09763380736412089
19,-0.7143056013774784 0.5039238511812572 0.032798875677350514,-0.9003651193315102 0.6083310238670863 0.04505468199733737,0.21370354867921176
0,-0.9052320932018474 -0.2039856253954795 -0.26762901918490734,-1.5117258593958578 -0.22612213674063739 -0.3411587833287872,0.611335701380006
1,0.945808716594897 -0.7921166968168489 0.7650898012618612,1.0216750851499181 -1.0543637130589407 1.2220334943113855,0.5322844559287301
2,0.6173847196841351 0.0322622045673977 -0.4706581696428489,1.1249266149512525 0.01545687846430975 -0.8469686777127975,0.6320528402915626
3,-0.4794005411287898 -0.60267059778253 0.547081725322599,-0.8108878314943634 -0.7658179056246355 0.9420755660596644,0.5408521072809599
4,0.6870867078434395 0.24778739310820064 -0.4999260927945055,2.0643644115550974 0.5887813855422798 -1.381038734150811,1.6701886907697812
5,-0.7916215383998286 -0.41888615388827644 0.8216940312408334,-1.0552907621588024 -0.5593216744113234 1.092916907014269,0.40349156537039454
6,0.5888313467588262 0.3579627272680421 -0.11613805039693137,0.8256026129366105 0.5084860126843742 -0.16367283284142575,0.2845653659214402
7,0.7931401097550517 0.6801240057742162 0.34566729747540115,0.24186494662599792 0.2814833256653324 0.13041353642343312,0.7135494930049744
8,-0.123411937857977 -0.6287949640739665 -0.6041343782513919,-0.24216566278062887 -1.290941856459103 -1.2375486513304668,0.923988417469933
9,-0.03880564339920989 0.37226662836163404 0.16592192983945475,-0.08773494291999373 0.5639540946474108 0.25240009479839004,0.21590885599558018
10,0.5622284988919022 -0.9625411163322213 0.31255007743181795,0.3245788619564033 -0.5610139946845394 0.17646703755687015,0.4860246630530733
11,-0.29812148054862786 0.2887367106572363 0.8003645641432058,-1.2330886994361323 1.1291910492857065 3.330714204527323,2.825455095786462
12,-0.8580701451791819 0.5101725322777191 -0.7883005302928265,-1.7359772414153107 1.0302112389839924 -1.541005386081973,1.2679612478396352
13,-0.47632566554677225 0.4185260622080589 0.2831239021532752,-0.8838138406064946 0.5522285768703176 0.21903205843044907,0.43362511420846644
14,0.4796170620133082 0.47324320283588883 0.3322105292907904,0.4966069285105035 0.6020114229914755 0.4408950877863327,0.16935832823041536
15,-0.4555653160229478 0.8182642860337774 -0.12311374788571494,-0.6480892742966166 1.347503056409338 -0.04638064518444644,0.5683723424201429
16,0.4297617118104542 -0.4770707024315981 -0.6094812016470985,0.9904380586457933 -0.9096044261653989 -1.3167357727135989,1.0008258671527774
17,-0.04126411443672984 -0.03115465025856623 -0.6764071540613061,122.64713045366341 161.6313612925011 2785.8521625633607,2793.9092113155834
18,-0.004394173600027695 0.6595389779666152 0.44533346173941024,-0.015535388005149425 0.8336979537920607 0.5532600256362991,0.20519166336276487
19,0.39889916872972453 0.2546291244754042 -0.8974882388554923,1.076853386493382 0.8462793461604498 -2.556382041340324,1.8872203247437964
0,-0.44312434637984843 -0.5576691063998411 0.463342646422473,-0.006026177675749482 -0.007521115207792983 0.006025527783174193,0.8383654145405054
1,-0.2943973245906488 0.3727446076672636 0.999341040335781,-0.2706850884236009 0.39926636142133703 1.0585261745587018,0.06905471511213929
2,-0.46245310033377374 0.05156277828280942 -0.10770823110469463,-0.5023005127648622 0.011583247430244149 -0.13143370986310357,0.06122971098217103
3,-0.9581836666194024 -0.8177129423478109 0.5552935238275374,-0.8157378986812379 -0.70897290539806 0.4840481031378006,0.1928499479092078
4,-0.6062886746758951 -0.23319394603503363 0.4661361116802296,-0.6534454221342874 -0.30032945203840616 0.6397740023888263,0.1920444013422782
5,-0.28843028035132967 -0.2162706334036928 0.5928046863971119,-0.34398979786595163 -0.2571689021113899 0.6742897735983745,0.1067677282981236
6,-0.42029904530204143 -0.10062395643608735 -0.42850049655323663,-0.4783853885289766 -0.11855790272265608 -0.4857485510788192,0.08350442770207414
7,0.9825137923338134 0.011961134284999897 -0.6958916310324486,1.657445036887592 -0.01761667171654752 -0.8590211640639862,0.6949951625945788
8,-0.6755462717281182 -0.8448634268689001 0.6397161704493466,-0.6574576855414672 -0.8231993888216662 0.6229735598861611,0.03281527850277049
9,-0.7284589278490237 0.8667610757317825 0.07499396159692773,-0.9732170703870292 1.0692527001410592 0.09664707281890288,0.31839953442201113
10,0.5572178837014174 0.05217264716127268 -0.3075031179764849,0.9018072794950003 0.07381903497322251 -0.4651760233414751,0.37956707297252346
11,0.5644273365647836 0.4633467597083447 -0.12449697237294988,0.6197456529733566 0.49539146364623693 -0.11878284085172232,0.06418434762298396
12,-0.9595639780039129 0.17834372296727574 0.6885088659390426,-1.2461153669959346 0.3120862887434869 0.6474106634627339,0.3188853001949835
13,0.6758588241492836 0.5300523268237733 0.8108111016438744,2.3337644295209405 2.3319901377496692 2.067338507653615,2.7521794986556998
14,0.0347114250144851 -0.0812209476241943 -0.03977510539152651,-0.8385287867369667 2.049918134940822 0.973741092412129,2.516250651240086
15,-0.5666942931113497 -0.8796073890045708 -0.7489075704307091,-0.7986102363172427 -1.0608702975727633 -1.3319578149894469,0.6531376841185049
16,-0.6793155069254309 0.35954349358644655 0.6700625798334521,-0.7197414309796741 0.2823186100182978 0.7973214451891357,0.15424900903853353
17,-0.7151057456085195 0.24444308415023874 -0.9068919261151711,-0.726161854135026 0.28034671550491125 -0.8578879491997305,0.061747048785599015
18,-0.05770597519178722 -0.6623317374358804 -0.6173533283411046,-0.011591819259736855 -2.5410253212451615 -2.4197915269763604,2.603920036622283
19,-0.8608848886459468 -0.7967621595096039 -0.5018855896573406,0.9377427955714565 1.207876999727319 0.3568189810187228,2.8268380294738042
0,0.48113100683046883 0.7135222284906786 -0.16237294800213653,0.6257655769797265 0.9099781254730255 -0.18822999690313733,0.24532155494221816
1,0.6494537459071292 -0.703514532274538 -0.44663900023355274,-0.02087877779647627 0.01907710152227555 0.00972922195314081,1.086165878579251
2,-0.9320491850784005 -0.6261636284058791 -0.5679206284183396,-0.9380004825998801 -0.6108091882986609 -0.6159747977658818,0.050797440534711885
3,0.18363581926272876 -0.9572535049551429 0.4597419234610005,0.2390101475787813 -0.7737308149424168 0.43515224539576697,0.19326548127721355
4,-0.44272610899910547 0.7726615824146312 -0.19592497996231728,-0.4976874979430566 1.0530152922232159 -0.3211257572421471,0.3119201684879609
5,0.9494309124131173 0.5574316568310289 0.7906771932286365,0.8982266349582014 0.5067544926773756 0.7797801624836377,0.07286150063918377
6,-0.554189121209355 0.47088093894241845 -0.009105832914188872,-0.5786691890474029 0.5428348673906684 -0.03223367850383659,0.07944519357462662
7,0.03301806197049206 -0.5496101248999634 0.15700356728542864,-0.014874785045339046 0.11263972626100796 -0.05201957050006198,0.6961029107019325
8,-0.2866963393024544 0.26978803696109055 -0.11433721755258075,-0.3151709531703983 0.2915280742920588 -0.09517389711299927,0.04062838550017063
9,0.4453629615249355 -0.7821962146569386 0.7535951400851608,0.3529133761679455 -0.7939727588332958 0.6762265788008716,0.12112599679927466
10,-0.25459458737061347 0.5593464179213252 0.8068020240044838,-0.147768432117089 0.32377029986103417 0.46836975250370844,0.42596283551476744
11,0.4405291833019842 0.11752071695280764 0.9265639926326059,-0.002104637300869012 -0.000412602543700021 -0.004898210499600951,1.0380052036732998
12,0.7107375733062029 0.429024482264748 -0.5988266339781154,1.4556982928722884 0.8278095959624115 -1.0984426289897848,0.9816375008498701
