,original position,computed position,offset
0,-0.68160953559889 -0.9832684658404551 -0.4751389222089639,-1.1342010916870127 -3.277240186865722 2.277222202732322,3.6114591421742483
1,-0.3186697867743875 -0.31309381318516194 0.9985525278431067,-0.7117498216783991 -2.5599250691400925 3.366597831178152,3.2879174510962583
2,-0.18774079992192627 0.21214910353056982 -0.9698785426920602,-0.8939647522466981 -1.6753083593149207 2.168373927036301,3.7295946842310514
3,0.8297113944004038 0.16963285733179445 -0.10321745704904584,-1.5337545175014882 -2.1539554383802875 2.4302499337317096,4.171749118156779
4,-0.027325821182990095 0.6595422763867211 0.9834359262282637,-0.9543713751323534 -2.26679959001651 2.847737006723025,3.5914493866537454
5,-0.8460113314118651 -0.009812773827604149 -0.7266497574643556,-1.0096228917789898 -2.2651159724407406 2.6336024802582623,4.05024151890727
6,-0.1602664408773702 0.8542767855898379 -0.5641312280758339,-1.2052953211485262 -3.0198144920506595 2.7645160976130465,5.213498020226602
7,0.6649948271332875 0.46792331406632637 0.8065621521245556,-0.45109790611508455 -2.153903341430886 2.982957524379982,3.5855731504266313
8,0.6563444717952056 -0.2802994752559542 0.12470650189534882,-0.36864897614342385 -2.1429894767049213 2.3693009623594503,3.091671053291602
9,-0.9140156684179381 -0.6686294381425335 0.4561225050594462,-0.9991016287560088 -3.057358498653368 2.8852618167525166,3.407929568049832
10,-0.18310542271359664 -0.8940467615711265 0.41507063661643806,-0.6053270286847112 -3.199462936952716 2.759342826379157,3.3149399581221366
11,0.3487105445275678 -0.8578932937137433 -0.9041458077785425,-0.9435025698700137 -2.54662726613404 2.699785884674179,4.184490507396649
12,0.679763554174357 -0.2870712833865081 0.4843004381291727,0.09006761204570855 -2.3994247696888884 2.716512546679427,3.129304947239113
13,-0.7345094025692422 -0.8019831532004902 0.7192572784975024,-1.0902531022338158 -2.709984040749577 2.8579894393310115,2.888112917204366
14,0.7635452292012164 0.16776237812864236 -0.44954350681720645,-1.7450261761598975 -1.9818849702503085 2.2302071105589376,4.253819176871052
15,0.31869825016035747 0.7249061322708406 -0.7867237301449417,-1.4762773493185648 -2.886660637471147 3.0462733488224574,5.563921148111456
16,0.2217170464172653 -0.49800873320963834 -0.22993880756835972,-0.5251148238076315 -2.710863617228476 2.311432688338111,3.4515291770917322
17,-0.10246169672241545 -0.007116514217304859 -0.7238067730289599,-0.9936167736367046 -2.15336936141374 2.752857829358358,4.181836368475205
18,0.2741493467056755 -0.7952836733053841 -0.4228811405792461,-0.513671518733051 -2.6910211449895294 2.3163093860570467,3.4231048798980774
19,-0.9593369869575687 0.8390713056286689 -0.9611727732218065,-0.29398770574050365 -3.2694935685687487 3.4453973082231104,6.061423502296336
0,0.10150047296673081 0.6259747787076453 -0.3620131484290561,2.493099754816106 2.2281000397453883 -1.9046471406494927,3.265925919391263
1,0.7916372901726905 0.8827621064572082 -0.21504227402389864,2.860296790766001 2.238440271342193 -1.6996515407791715,2.8846629077028245
2,0.8357409596712024 0.4339054209161324 0.16032159118667333,3.0796667801353563 1.99984967591202 -1.5258312996748105,3.214108907436226
3,0.48492947815417264 -0.3418712675148803 -0.80942087327401,2.787455129147954 1.3734305027030385 -1.9945603244953913,3.106193821260737
4,0.42256713940637414 0.0699641005944045 0.42550547853353815,2.634692261946195 1.702675318544254 -1.4122062365381192,3.3070270374919395
5,-0.4546121381441932 0.12904963512042622 0.49887248373293125,2.7653428300978518 1.4386043966515891 -1.9628554999931231,4.259477472274682
6,0.8735752013137927 -0.1423147183175757 0.445283668043184,2.773643198447078 1.654989460170856 -1.502808578628846,3.2612304587817382
7,0.5323021959593577 0.0946992049276758 -0.920288106890117,2.7906648023488807 1.6848697772346255 -2.1744926067965418,3.0334589231692286
8,-0.24452127524406397 -0.9135459101826029 -0.5479784009073332,2.643372295226864 1.966031166028328 -1.4123566467776667,4.168817957663863
9,0.9097381827156377 0.10963792305214959 0.2661882871409462,3.0149547906290244 1.8237142072166967 -1.2556611495566146,3.112237166757439
10,-0.1980445523821126 -0.2674255770978271 0.8458450880869193,2.54312672323003 1.7891060962874767 -2.187245275643624,4.5763500347365405
11,0.9268136586231439 0.5172266344634673 -0.9426295847573749,3.003411173752694 2.0253415670520125 -2.1010243036368914,2.8157674290442967
12,-0.6668035344771039 -0.2842724216337327 -0.933807658860285,2.6969845518437587 1.6914784215646295 -1.5163102369285006,3.944359382400307
13,0.7386019525243477 0.7169319870301718 0.18543983003590725,2.8248707550222583 2.097770726801638 -1.34268060699925,2.9316181899446314
14,-0.49809305869800213 0.614108832405202 0.293217578525353,2.605264214458445 1.4844534675345746 -1.6743958435562214,3.7762188399915413
15,-0.13291602987564177 0.3655682171683803 -0.9132496484971568,2.2735224088197903 1.8440468640028616 -2.0590097266777034,3.047886353709521
16,-0.9208931560739144 -0.7161005291452918 0.7615992119476769,3.011749486129849 2.0727480456612843 -2.019223164258743,5.565638113683856
