,original position,computed position,offset
0,-0.68160953559889 -0.9832684658404551 -0.4751389222089639,-0.4303917424222908 -0.7828118632328362 -0.1713717202784597,0.44223041743665387
1,-0.3186697867743875 -0.31309381318516194 0.9985525278431067,-0.31349248187881595 -0.3371707364914114 0.8044671189214574,0.1956416332945535
2,-0.18774079992192627 0.21214910353056982 -0.9698785426920602,0.2600890433663097 -0.6069486480783062 1.9907142156839082,3.1042844869918906
3,0.8297113944004038 0.16963285733179445 -0.10321745704904584,1.685913977235419 0.49455347932688926 -0.19719892172523848,0.9205915430600657
4,-0.027325821182990095 0.6595422763867211 0.9834359262282637,-0.7432239574026553 1.9396839819577174 2.99331262628416,2.4881473584200333
5,-0.8460113314118651 -0.009812773827604149 -0.7266497574643556,1.3311107431397846 0.1541955139669478 1.5284241580722693,3.138808310569326
6,-0.1602664408773702 0.8542767855898379 -0.5641312280758339,0.08091602711272096 -2.607519209685928 1.5797048912057805,4.0789991176892375
7,0.6649948271332875 0.46792331406632637 0.8065621521245556,1.135579084473326 0.7211564891493804 1.4828981181897312,0.8619784934743062
8,0.6563444717952056 -0.2802994752559542 0.12470650189534882,0.3541285801101303 -0.1841575287804141 0.08600728331323473,0.3194923294509229
9,-0.9140156684179381 -0.6686294381425335 0.4561225050594462,-0.6765822765775817 -0.522431723146813 0.24231482508315697,0.35137175675860666
10,-0.18310542271359664 -0.8940467615711265 0.41507063661643806,-0.7119112529104109 -3.186949602430632 1.622766502731462,2.6449136750947186
11,0.3487105445275678 -0.8578932937137433 -0.9041458077785425,1.5769424555875928 -4.398472705892055 -5.285802184967934,5.765688927530824
12,0.679763554174357 -0.2870712833865081 0.4843004381291727,-0.15129936515700923 0.04962039599325906 -0.0846243497717526,1.0619332733930384
13,-0.7345094025692422 -0.8019831532004902 0.7192572784975024,-1.4454129674506726 -1.2724422343182848 1.124907900722147,0.9440699406710115
14,0.7635452292012164 0.16776237812864236 -0.44954350681720645,-0.5747068915469552 -0.15525243031808905 0.36418302386047874,1.5991898486082254
15,0.31869825016035747 0.7249061322708406 -0.7867237301449417,0.5419739487601436 0.9808822904768633 -0.9892095886003249,0.39544450183249585
16,0.2217170464172653 -0.49800873320963834 -0.22993880756835972,-1.2951251510070425 2.9038022244685053 1.1214008464197434,3.962227517963447
17,-0.10246169672241545 -0.007116514217304859 -0.7238067730289599,0.17941080637244855 -0.029466875878716138 1.464081826183324,2.2060843522473137
18,0.2741493467056755 -0.7952836733053841 -0.4228811405792461,1.8146623212904516 -5.441521733656159 -3.1969256474984005,5.6263692790897135
19,-0.9593369869575687 0.8390713056286689 -0.9611727732218065,3.0586915458929274 -2.4968476136676463 2.6384941716387056,6.342752591804382
0,0.10150047296673081 0.6259747787076453 -0.3620131484290561,0.8359265337314855 4.65861689784266 -2.7524060175856637,4.745056603315385
1,0.7916372901726905 0.8827621064572082 -0.21504227402389864,-3.6932829482648604 -5.080644223303543 1.3818165696442724,7.630641045520264
2,0.8357409596712024 0.4339054209161324 0.16032159118667333,13.398701066388634 7.443588844389518 -0.10576624926876439,14.388691082900122
3,0.48492947815417264 -0.3418712675148803 -0.80942087327401,12.931328965591925 -8.216975108519561 -16.277901038227665,21.358932541704
4,0.42256713940637414 0.0699641005944045 0.42550547853353815,2.755337560765668 0.4515910352920635 2.6317942710267612,3.2334450964778654
5,-0.4546121381441932 0.12904963512042622 0.49887248373293125,0.734228955168708 -0.36849792092944605 -0.8360886334140664,1.8555370920504326
6,0.8735752013137927 -0.1423147183175757 0.445283668043184,13.333204534001455 -2.7569250396117675 7.839199665178349,14.722382416337386
7,0.5323021959593577 0.0946992049276758 -0.920288106890117,0.5396759585183224 0.1049023054298484 -0.8252558402205488,0.09586243968567329
8,-0.24452127524406397 -0.9135459101826029 -0.5479784009073332,0.14152693610412984 0.4406734545561672 0.28035800932415045,1.6337333068263618
9,0.9097381827156377 0.10963792305214959 0.2661882871409462,2.1750430125231754 0.6897031842601241 0.6588212886506167,1.4462477980861546
10,-0.1980445523821126 -0.2674255770978271 0.8458450880869193,0.42458596306959717 0.3634807086213427 -1.4201184617971199,2.4331671355528983
11,0.9268136586231439 0.5172266344634673 -0.9426295847573749,-18.3387456270878 -11.890035831700422 17.227339807290154,29.244652916447244
12,-0.6668035344771039 -0.2842724216337327 -0.933807658860285,0.11457448796782196 0.0349294848900529 0.16746532066376782,1.3875314938833452
13,0.7386019525243477 0.7169319870301718 0.18543983003590725,1.119978818854768 1.2055632221630577 0.3371526564565389,0.6381422880675105
14,-0.49809305869800213 0.614108832405202 0.293217578525353,0.46659731086992556 -0.5751767687168118 -0.27471629083847676,1.6332717563662902
15,-0.13291602987564177 0.3655682171683803 -0.9132496484971568,-0.2726567295262536 0.7331993330835593 -1.5172464240851287,0.7207580769221731
16,-0.9208931560739144 -0.7161005291452918 0.7615992119476769,0.9924148374070059 0.7439196351826161 -0.7957092475647746,2.8666384488161603
17,0.8936250067783014 0.08226914227857862 0.41845925728159483,1.0676887857041708 0.08356612534880398 0.5425284801450416,0.2137593351434693
18,-0.4625522472716166 0.98901300087032 -0.09772885844193957,0.4008724011473712 -0.6736260476773539 0.17526024470248372,1.893249529166339
19,0.9002876471173813 0.21981801516731325 0.30856392525190324,0.4267836031512027 0.14083544070814635 0.10480853812185142,0.5214984031663376
0,-0.5816367215889722 0.346250797095756 -0.3171310950693409,0.8057595098034632 -0.4015572583556619 0.5660205324688788,1.8066659868119976
1,0.9102932645449029 -0.8546614134637502 -0.7344207988575102,-0.38428481503652123 0.3833003659567568 0.3515970149274008,2.094735416060194
2,-0.1907704149025118 0.5366943588513104 -0.02518912930187933,0.799810585933066 -2.1880659923626604 -0.016410229935356735,2.8992493441989744
3,0.17340109630424716 -0.6033791580430921 -0.6752861927670495,-0.7029385206527522 2.703548755071426 2.692049391049677,4.800280437726801
4,-0.5434656441869856 -0.030011215817622006 0.7623476614531148,-1.2095474252382141 -0.032728064557199434 1.8387520394253103,1.2658272809641762
5,0.8700825243736214 0.3739577926908615 0.19402976790670312,2.0066654009861065 0.8052481504183352 0.42251142345758835,1.2369461892098124
6,0.8499143874503519 -0.2133408705944515 -0.09601765141042273,195.52638307867207 -35.771463277836894 -30.30163600997758,200.18912785572564
7,-0.6594646904920627 0.7250276994067542 -0.8439112907706299,-0.4416721452018545 0.5504186665470032 -0.6308417461938264,0.351170240718617
8,-0.22967514935999156 0.6815586463166019 -0.6076015633982663,-0.04309576875008306 0.10306189229863687 -0.09607801898649,0.7944348281424258
9,-0.26891677512999657 -0.3115188530740909 0.2695985736835378,0.3988288202080829 0.4605834937102908 -0.40410367135571695,1.2230702878307067
10,0.5639108588342461 -0.0034111503862901404 0.5244838517238506,-2.3190111035160395 -0.20292599302920225 -2.2711407796943908,4.020766381329413
11,0.38623015951046424 -0.00920887885231303 -0.12371145892205737,-0.7750866138560045 0.007386732762131833 0.23983130315925547,1.2170026303541313
12,-0.42620950290999216 0.5927629072579721 -0.6778524350692214,-0.5095457369634941 0.7005856306089886 -0.810159947161799,0.18993668769665709
13,0.7551608937513508 0.1346023875696445 -0.064532905500027,-3.7674025241130527 -0.6141237653857909 0.40058826909507117,4.607657585778432
14,0.4227833170653985 0.28486289657376096 0.32600228227163197,-2.1683897318960392 -1.6375415249987668 -1.449105707589087,3.6825025329812173
15,0.4851827856816786 0.6592048674326738 -0.24308393022409303,0.8430964817512203 1.2799451633608148 -0.3340609123601232,0.7222863283364125
16,-0.19091922287707908 0.30721774660403667 0.05784531039137586,-0.576947967765018 0.973811101755043 0.06208666502017484,0.7703134959873937
17,-0.9791791488995305 -0.12754188057577598 0.5497891328815638,-0.7415261783384878 -0.1189888356870591 0.46517017531046745,0.25241326623966354
18,0.20672098397501526 0.043392371521873585 0.07288454952303614,-2.014589544392488 -0.40232692026586536 -0.6226107885830641,2.3699366902589194
19,0.7513372096936752 -0.42753327895029813 0.24211472839013748,-4.622165854650916 2.296842027278612 -1.684201405440202,6.325144254415519
0,0.5636920533978951 0.46099583633529173 -0.7593517220939832,-6.199858615568702 -5.218867525094731 8.105366038521742,12.513580080519304
1,0.8175024226318657 0.28654473734513997 -0.42304612870643776,3.8017089952232888 1.8219847061442793 -2.000484113686478,3.7082846927038435
2,0.11172076305801992 0.894161301192786 -0.5794585542869128,0.3138793278264243 2.606770344088499 -1.619950639874352,2.0140808323618717
3,0.9465625072353403 0.2669318352636023 -0.7562522985029754,1.8247099797298616 0.5555488527019019 -1.335898631582155,1.0910694925877247
4,-0.9664202197252196 0.776940662128772 -0.8512547988448598,21.05689355041166 -16.434028274583877 18.243855260534815,33.85065773863503
5,-0.28907920802150744 0.8305810058945493 0.9147164751454457,-1.401031778116247 3.5619452665798668 4.113705674969998,4.350898889112854
6,0.759105632040268 -0.8430550500999527 0.7772793156836442,-8.264422384706636 12.114371314683895 -10.239114167137918,19.253048621871947
7,-0.6256409960789979 -0.9138849367645459 -0.45069565212757157,6.489864464409183 8.279655618028135 4.761042924676134,12.740244302359306
8,-0.09420492160740745 -0.8524232951539457 0.5081532971313676,3.67654727248235 40.155330835744444 -25.176577426964474,48.53411030748127
9,0.7256291735877745 0.717524731806112 -0.7189185727238876,0.09699005883509144 0.08810401841074122 -0.09975891811533287,1.0838432769285231
10,-0.12893878740436504 -0.5606880872242974 0.42376918256759266,0.4366115121183267 1.981108029380862 -1.5133294790575014,3.2454469437273206
11,-0.13594335235525778 -0.8052667778181795 0.9658890098097479,0.4660660305358143 1.3819147825558233 -1.7532370632696894,3.5411615433963686
12,-0.29944407077092516 -0.6099822468183678 0.5231420087189069,2.2273292670782783 4.5118100092162825 -3.867731456176084,7.203964824980829
13,-0.3980101018758906 -0.868334057945219 0.2237753937109388,0.7619405443392618 1.6734571242743732 -0.4529031432076385,2.874731597556629
14,0.9135759091968096 -0.33258040473758177 -0.23139541247342765,3.010048465240426 -1.0237876239084491 -0.828670581290124,2.2868542204003717
15,-0.1827311723359033 0.9465646797824607 0.864598932306123,0.769233275679507 -3.690013703053283 -3.085236846368029,6.164843719751495
