,original position,computed position,offset
0,-0.68160953559889 -0.9832684658404551 -0.4751389222089639,-0.25072326186844207 -0.4560244178348445 -0.09983201921672447,0.7774988993434521
1,-0.3186697867743875 -0.31309381318516194 0.9985525278431067,-0.31411296150448287 -0.33783808127464254 0.80605935951944,0.19413053163041616
2,-0.18774079992192627 0.21214910353056982 -0.9698785426920602,0.26987567954584496 -0.6297869250065554 2.0656208534805964,3.183162845754817
3,0.8297113944004038 0.16963285733179445 -0.10321745704904584,1.6889808906960544 0.49545314131630996 -0.19755765416095483,0.9237981367761278
4,-0.027325821182990095 0.6595422763867211 0.9834359262282637,-0.7000261220146182 1.8269452192700304 2.819334614936092,2.2772525817288467
5,-0.8460113314118651 -0.009812773827604149 -0.7266497574643556,1.433664785080503 0.16607534687186218 1.6461800067257202,3.2951754000258084
6,-0.1602664408773702 0.8542767855898379 -0.5641312280758339,0.07981175740000605 -2.571934114973266 1.5581464888888201,4.037402801845545
7,0.6649948271332875 0.46792331406632637 0.8065621521245556,1.135149486077388 0.7208836700430806 1.4823371263031915,0.8612236415408403
8,0.6563444717952056 -0.2802994752559542 0.12470650189534882,0.4418945165189047 -0.22979845941389307 0.10732301489189831,0.22100072746370475
9,-0.9140156684179381 -0.6686294381425335 0.4561225050594462,-0.6923973710677411 -0.5346435521471495 0.24797892830862345,0.33225086291685385
10,-0.18310542271359664 -0.8940467615711265 0.41507063661643806,-0.7114880248209756 -3.18505497499519 1.6218017752268141,2.64274608108274
11,0.3487105445275678 -0.8578932937137433 -0.9041458077785425,1.7244944925855628 -4.810030911541679 -5.780386420934694,6.425721417815916
12,0.679763554174357 -0.2870712833865081 0.4843004381291727,-0.27541219544199386 0.09032464997472245 -0.15404280073682675,1.209243769377658
13,-0.7345094025692422 -0.8019831532004902 0.7192572784975024,-1.42595472238888 -1.2553125327174963 1.109764316087782,0.9143849862291544
14,0.7635452292012164 0.16776237812864236 -0.44954350681720645,-0.5459322242965721 -0.1474791860992988 0.3459489544871043,1.564262350447623
15,0.31869825016035747 0.7249061322708406 -0.7867237301449417,0.6141981714862143 1.1115960658853044 -1.1210330716538492,0.5904337762039579
16,0.2217170464172653 -0.49800873320963834 -0.22993880756835972,-1.4611083543272738 3.2759534367671197 1.265119547697405,4.394302137479474
17,-0.10246169672241545 -0.007116514217304859 -0.7238067730289599,0.18297024082963978 -0.03005148622337253 1.493128589896352,2.2353522781218227
18,0.2741493467056755 -0.7952836733053841 -0.4228811405792461,1.8699375283276118 -5.607272263050057 -3.294305046946237,5.826392482359307
19,-0.9593369869575687 0.8390713056286689 -0.9611727732218065,3.102195189329764 -2.532360174078311 2.676021365188925,6.41028665832238
0,0.10150047296673081 0.6259747787076453 -0.3620131484290561,0.8557584083418798 4.7691398953164486 -2.8177052619749876,4.8749508687875105
1,0.7916372901726905 0.8827621064572082 -0.21504227402389864,-3.7229470094930073 -5.121451424763511 1.3929151753839857,7.682289937667564
2,0.8357409596712024 0.4339054209161324 0.16032159118667333,14.042523842446133 7.801261726998071 -0.1108484374510371,15.125164006977034
3,0.48492947815417264 -0.3418712675148803 -0.80942087327401,14.37314462645674 -9.133150346805097 -18.092852363445147,23.851333546176114
4,0.42256713940637414 0.0699641005944045 0.42550547853353815,2.6651183853052594 0.43680440027880557 2.545620325411371,3.1078119087079576
5,-0.4546121381441932 0.12904963512042622 0.49887248373293125,0.8043927910310659 -0.40371204243432857 -0.9159863073320996,1.9674231409161975
6,0.8735752013137927 -0.1423147183175757 0.445283668043184,13.741030754720148 -2.84125182818254 8.078979319405965,15.20292679846645
7,0.5323021959593577 0.0946992049276758 -0.920288106890117,0.4661700865333738 0.09061422141917136 -0.7128529266043334,0.21776018232815336
8,-0.24452127524406397 -0.9135459101826029 -0.5479784009073332,0.13139831872647093 0.4091359046553727 0.2602937086095703,1.5950255569917862
9,0.9097381827156377 0.10963792305214959 0.2661882871409462,1.9150553283967353 0.6072614428426034 0.5800709282654355,1.164823610358373
10,-0.1980445523821126 -0.2674255770978271 0.8458450880869193,0.3902984525284097 0.3341277631347071 -1.3054365576272873,2.309984119373743
11,0.9268136586231439 0.5172266344634673 -0.9426295847573749,-18.941877513031734 -12.281080011108305 17.793919341084464,30.15990397065528
12,-0.6668035344771039 -0.2842724216337327 -0.933807658860285,0.09797240396206533 0.02986812914927638 0.14319924388678332,1.35775932706301
13,0.7386019525243477 0.7169319870301718 0.18543983003590725,1.1293378482794298 1.2156374320316443 0.33997005048154944,0.6521205794457202
14,-0.49809305869800213 0.614108832405202 0.293217578525353,0.5331612115815535 -0.6572304120460463 -0.31390680368808194,1.7459635906655486
15,-0.13291602987564177 0.3655682171683803 -0.9132496484971568,-0.23963878462539326 0.6444110049056203 -1.3335122506483914,0.515522745784682
16,-0.9208931560739144 -0.7161005291452918 0.7615992119476769,0.9104555244904188 0.6824824822234449 -0.7299950111853787,2.744945492350963
17,0.8936250067783014 0.08226914227857862 0.41845925728159483,1.0169231433851071 0.079592787718729 0.516732754705457,0.15769360691023085
18,-0.4625522472716166 0.98901300087032 -0.09772885844193957,0.4457533823334831 -0.7490440557161958 0.19488207878897115,1.9827966636318641
19,0.9002876471173813 0.21981801516731325 0.30856392525190324,0.2806720532163818 0.09261970707713685 0.06892679890245347,0.6764087862463896
0,-0.5816367215889722 0.346250797095756 -0.3171310950693409,0.9001654204645362 -0.4486052648593351 0.6323376943148786,1.9310682870980656
1,0.9102932645449029 -0.8546614134637502 -0.7344207988575102,-0.23640185659680996 0.23579624955464978 0.21629318633065053,1.8460402751072666
2,-0.1907704149025118 0.5366943588513104 -0.02518912930187933,0.8765293784072061 -2.3979479115822717 -0.017984318909679105,3.12270812172821
3,0.17340109630424716 -0.6033791580430921 -0.6752861927670495,-0.682938659058491 2.626627944323204 2.6154557578313526,4.689908980287316
4,-0.5434656441869856 -0.030011215817622006 0.7623476614531148,-1.1341936656147953 -0.03068913441016759 1.7241993759291785,1.1287686988547192
5,0.8700825243736214 0.3739577926908615 0.19402976790670312,2.2335450426251 0.8962919346524156 0.47028183914090643,1.4859940112249992
6,0.8499143874503519 -0.2133408705944515 -0.09601765141042273,204.8794201574501 -37.48259717768066 -31.751119812042905,209.80725007309383
7,-0.6594646904920627 0.7250276994067542 -0.8439112907706299,-0.4371346555502858 0.5447639766811845 -0.6243608351238654,0.36073266658676023
8,-0.22967514935999156 0.6815586463166019 -0.6076015633982663,-0.0018386501949956475 0.004397062028766497 -0.0040991000617421405,0.9352392767844093
