,original position,computed position,offset
0,-0.68160953559889 -0.9832684658404551 -0.4751389222089639,-0.501268857680998 -0.9151271541691559 -0.447732200091789,0.19472320582143782
1,-0.9593369869575687 0.8390713056286689 -0.9611727732218065,0.0052969187830480035 -0.5770256101202326 0.05422272549509519,1.991702052444716
2,-0.18774079992192627 0.21214910353056982 -0.9698785426920602,-0.11935786838981044 -0.334700202418719 -0.5182486762219303,0.7125236312080971
3,0.8297113944004038 0.16963285733179445 -0.10321745704904584,0.866872346931436 -0.4016198756879747 -0.054752362805851225,0.5745080388781092
4,-0.8460113314118651 -0.009812773827604149 -0.7266497574643556,-1.03906866779317 0.46170157166444264 -0.8837508234274556,0.5331769481721617
5,-0.1602664408773702 0.8542767855898379 -0.5641312280758339,-0.2528999021373253 0.8246179484401338 -0.5238897872365136,0.10526147598669133
6,0.6649948271332875 0.46792331406632637 0.8065621521245556,0.6571226524352123 0.34228118160522103 0.9324397925781793,0.17802555139648554
7,0.6563444717952056 -0.2802994752559542 0.12470650189534882,0.6389734173930225 -0.30119323046072094 0.07053767511793702,0.060601685884483183
8,-0.9140156684179381 -0.6686294381425335 0.4561225050594462,-0.25371985552958765 -0.6000108147572017 0.3356075627827343,0.6747021026387459
9,-0.18310542271359664 -0.8940467615711265 0.41507063661643806,-0.16377360118663659 -0.8977326611591679 0.5108903832857283,0.09781988055140083
10,0.3487105445275678 -0.8578932937137433 -0.9041458077785425,0.10506232485013726 -0.9397448096764266 -0.7360504554839957,0.307115895193327
11,0.679763554174357 -0.2870712833865081 0.4843004381291727,0.7308935409210389 -0.2649251983464639 0.5769765251043273,0.10813686570426924
12,-0.7345094025692422 -0.8019831532004902 0.7192572784975024,-0.7740142936473232 -0.8795522090440349 0.8957936034630418,0.1968315748956161
13,0.31869825016035747 0.7249061322708406 -0.7867237301449417,0.3979831286988081 0.8141891078037385 -0.7377668179462672,0.1290516212098618
14,0.2217170464172653 -0.49800873320963834 -0.22993880756835972,0.23807957523460632 -0.5327283236376741 -0.27877736263771635,0.06211591398386928
15,0.2741493467056755 -0.7952836733053841 -0.4228811405792461,0.22819292619522957 -0.7529510812445164 -0.44043877531269937,0.06490232256366592
16,-0.027325821182990095 0.6595422763867211 0.9834359262282637,-0.09486631173410962 0.6403806900398853 1.0892993568692555,0.12702736005401824
17,0.7635452292012164 0.16776237812864236 -0.44954350681720645,0.8927478124137229 0.19009122874536702 -0.3219360883080813,0.18296321580364644
18,-0.10246169672241545 -0.007116514217304859 -0.7238067730289599,0.09850928228841402 -0.09525895136697284 -0.6503519375876581,0.23141745068374414
19,-0.3186697867743875 -0.31309381318516194 0.9985525278431067,-0.30818436965935425 -0.5135264990690849 1.3435123001831522,0.3990995490796946
0,0.10150047296673081 0.6259747787076453 -0.3620131484290561,0.016919087271263688 0.6059858143298199 -0.2565436913222444,0.1366651963210419
