,original position,computed position,offset
0,-0.3186697867743875 -0.31309381318516194 0.9985525278431067,-0.36457186717164786 -0.3921081750401616 0.9355442206003672,0.11099692403731207
1,-0.9593369869575687 0.8390713056286689 -0.9611727732218065,0.8577625530929793 -0.7002021458029826 0.7399247237024221,2.9265929321954047
2,-0.18774079992192627 0.21214910353056982 -0.9698785426920602,0.06806229157410902 -0.15883143450158918 0.5209468635623153,1.5574409051874434
3,-0.68160953559889 -0.9832684658404551 -0.4751389222089639,-0.7579390521914351 -1.3785666014956923 -0.3017932419177943,0.4383326773483427
4,0.8297113944004038 0.16963285733179445 -0.10321745704904584,-0.5449244822895936 -0.15985056315188864 0.06373902926257446,1.4233964964753945
5,-0.027325821182990095 0.6595422763867211 0.9834359262282637,-0.19790283438493325 0.5164916362249586 0.7970478441142453,0.2903455187147341
6,-0.8460113314118651 -0.009812773827604149 -0.7266497574643556,10.952324609380117 1.268714365788024 12.575811296166584,17.8266887755939
7,-0.1602664408773702 0.8542767855898379 -0.5641312280758339,0.10453300895627705 -3.368576518469629 2.0407737679786315,4.968716012684531
8,0.6649948271332875 0.46792331406632637 0.8065621521245556,0.773663356070726 0.4913196775777684 1.0102897724307103,0.23208012039508072
9,-0.18310542271359664 -0.8940467615711265 0.41507063661643806,-0.19535601830297156 -0.8745328611085106 0.4453043849398893,0.038012484018346955
10,0.3487105445275678 -0.8578932937137433 -0.9041458077785425,0.46851747553256223 -1.3068081977636579 -1.5704382154787624,0.8122954292336844
11,0.679763554174357 -0.2870712833865081 0.4843004381291727,0.9380879462119718 -0.30765691131113493 0.5246888008718735,0.262271766386873
12,-0.7345094025692422 -0.8019831532004902 0.7192572784975024,-0.8912134780942927 -0.7845630936333581 0.6935962976079688,0.1597438940983228
13,0.7635452292012164 0.16776237812864236 -0.44954350681720645,1.2262030466489215 0.3312488606901221 -0.7770262371371806,0.5899364581746275
14,0.31869825016035747 0.7249061322708406 -0.7867237301449417,1.8301722076491553 3.3123058979362106 -3.3404260495140345,3.9370784355259096
15,0.2217170464172653 -0.49800873320963834 -0.22993880756835972,0.3506476834236246 -0.7861877459012551 -0.3036128274403628,0.3241883923259451
16,-0.10246169672241545 -0.007116514217304859 -0.7238067730289599,-0.14530823615497074 0.02386578515256722 -1.1857878131800057,0.46499700028562774
17,0.2741493467056755 -0.7952836733053841 -0.4228811405792461,0.3206101591276488 -0.961394926458509 -0.5648251074254109,0.2233822849713837
0,0.10150047296673081 0.6259747787076453 -0.3620131484290561,0.07065872351416258 0.3937809245911629 -0.23265381340051292,0.26757996367027964
1,0.7916372901726905 0.8827621064572082 -0.21504227402389864,0.7314510090206453 1.0062165275899633 -0.27366739518904215,0.14933280740602323
2,0.8357409596712024 0.4339054209161324 0.16032159118667333,0.9377303682003313 0.5209519395347337 -0.007402226781427743,0.2147328921463518
3,0.48492947815417264 -0.3418712675148803 -0.80942087327401,0.5190924508129879 -0.3298477487271539 -0.6534313345912236,0.16013872074983704
4,0.42256713940637414 0.0699641005944045 0.42550547853353815,0.6042720358938655 0.0990382587502357 0.5771778038568989,0.23846691667607814
5,-0.4546121381441932 0.12904963512042622 0.49887248373293125,-0.5289120206757075 0.26545259295692897 0.6022880539509828,0.1866039110369028
6,0.8735752013137927 -0.1423147183175757 0.445283668043184,0.7322163654901673 -0.15140138496229444 0.4305034301807109,0.14241960331146203
