,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,-27.417562721428045 15.824384268417033 6.859904716052828,33.38582837935547
1,-0.31095728473507145 0.9876139900790948 0.8043245772726,-0.06287079672536493 0.22352448722893062 0.23713413695898802,0.9834046316150592
2,0.6363843947686976 0.60032266594621 0.04373566854276767,0.14825954246164674 0.13370626166402713 0.007857387335441664,0.6762277658063188
3,-0.36241652314358763 0.09115512536517278 0.8001808920444493,0.06219904840909439 -0.012191817835089823 -0.12130366343566495,1.0198591864871507
4,0.47967980561161583 -0.9227332341071313 -0.8105881540834989,0.4263221142478779 -0.7902040243528098 -0.6320605192615152,0.22865509191991426
5,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,0.723541864360668 -0.2668900235648233 -0.31225835354136133,0.31895443250699124
6,0.8817372972470168 0.9734524880482527 -0.329655991668774,2.7997860900160716 2.948607054004147 -0.7530040096038266,2.7855646241199974
7,0.7755986451882728 -0.277146182317058 0.1469657193630558,1.2293052596147611 -0.46672977683778877 0.28139065427806687,0.5097663135326342
8,0.25112497830841396 0.7706718204417866 -0.6259510918860649,0.34431207629166855 0.9391031519113242 -0.6863497644532549,0.20174476027649532
9,0.763772797198575 0.44367643485179764 0.2849831361890882,0.5011741654663139 0.229863916009607 0.2558610055377709,0.33988517633896637
10,0.04601307143193156 -0.9994149707014177 0.5709601618268159,0.025548739926659778 -0.41884668600717123 0.23339047343669708,0.6718866099101687
11,0.5864447787268803 -0.38268690299271513 0.9080369684512717,0.39232720285132083 -0.24185505789483808 0.5123773509281572,0.46266810436425515
12,0.1723067764631927 0.617271086076695 0.0036170480412263117,0.03802690806936229 0.10197634169032004 -0.007608674816077545,0.5326216044264004
13,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,0.6660544501090685 -0.0746457649754397 3.0022242913426815,3.9939450974123645
14,-0.7630982176364738 -0.028523292765740615 0.8470817500843986,-0.1126281199511701 0.011799393117159804 0.14038818685512672,0.9613287987412136
15,-0.8550681805975962 0.4715579142904016 0.6269180155697027,0.0181228835332245 -0.009978380410435594 -0.013221172873776043,1.1849548591289047
16,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,0.1275266678155635 0.11224139884893261 -1.6971303236254913,0.7496301998766288
17,0.07469945663426492 0.5881574936098133 -0.09440647335103769,-0.3968388849266829 -3.1185046829567673 0.510906469277488,3.7852472385915497
18,-0.3192031675170248 -0.9753013175887812 0.3279175616665144,1.1401369919223427 3.641727887591524 -0.9585546288693527,5.010153997579571
19,0.5650791010990031 -0.9636957899606329 0.4236066349462182,1.0581289983673317 -1.491354373323568 0.7439950240471341,0.7900446200459621
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,0.023605250678689998 -1.1927072683029136 -0.7832920535637551,0.7489717356680408
1,0.7939615771530981 0.16116253269123182 -0.35263255206798205,0.4526627594514418 0.08487953212570148 -0.1931436761123035,0.3843704992496627
2,0.7882817115462599 0.7263999204132892 -0.2642432279715856,0.028721046012265775 0.02995045582855291 -0.009012510725278679,1.0616576568616054
3,-0.06302538142212555 0.0988707310363286 0.04689699789706636,0.12747472265401197 -0.1318192444655687 -0.07468958157009231,0.3229418690052575
4,-0.7184486959487091 0.5519777123058485 0.49646310652631875,-0.5026188139671162 0.42411914142313717 0.3588957040277957,0.28610337700654337
5,0.2211061166150965 -0.4308752060115415 -0.18933127618608192,2.126410780425741 -3.725873170031517 -1.6575928914745526,4.079582039347154
6,-0.23963581488271601 0.05562324317952805 0.030012407193729773,0.9309994750719532 -0.27379239043662557 -0.2118186371623304,1.2399128581365415
7,-0.5769114025073345 0.4076171272676239 -0.05807724161782968,-1.0412238203149502 0.5835901183967265 -0.21964337891714908,0.5221648510375815
8,0.3719166506250111 -0.7848466574767932 -0.4791095686684852,0.6822685877160667 -1.52421190936689 -0.6398438172035317,0.8178109801236487
9,-0.477868184460017 -0.44798330379775164 0.13415159498532891,-1.0907146390647102 -0.9681168678830565 0.36487680635493,0.8362737736956548
10,-0.5814072574293643 0.17681713019503276 -0.02877335546851989,-0.55434790152976 0.15469048294280896 -0.04380880258426202,0.038050780942000005
11,0.42268678350760425 0.6153294215726015 0.45022283201678115,0.5179881361530162 0.7183817108395754 0.49506606669912395,0.14735344528033573
12,0.9262314006676036 0.17715175720317888 -0.2775770251792402,-1.688143126075896 -0.31917177317565165 0.4997080364284169,2.7722668125365244
13,-0.49111156421027236 -0.5580054953122304 -0.41507259332281055,-0.7981762479025342 -0.966685205600944 -0.6327150400251234,0.5555862310922263
