,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,-28.672317331526394 16.548581357505697 7.173845716380168,34.868201289451996
1,-0.31095728473507145 0.9876139900790948 0.8043245772726,-0.0793387402743041 0.28207295216362943 0.29924741982425074,0.8980747414870665
2,0.6363843947686976 0.60032266594621 0.04373566854276767,0.13489547597542828 0.12165402313129306 0.007149125020481549,0.6942286226119065
3,-0.36241652314358763 0.09115512536517278 0.8001808920444493,0.029938243046150947 -0.005868282793020168 -0.05838704371230273,0.9489439944443749
4,0.47967980561161583 -0.9227332341071313 -0.8105881540834989,0.44518754529927984 -0.8251718081945378 -0.6600302016869225,0.18269002402266574
5,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,0.6805951683308653 -0.25104844579301955 -0.2937238840754414,0.2697468397115482
6,0.8817372972470168 0.9734524880482527 -0.329655991668774,2.8395786992476575 2.990514815706332 -0.7637062537541326,2.8443071246019884
7,0.7755986451882728 -0.277146182317058 0.1469657193630558,1.229465258118779 -0.46679052339808424 0.28142727828449404,0.5099409664506765
8,0.25112497830841396 0.7706718204417866 -0.6259510918860649,0.37159103811699057 1.0135058836044402 -0.7407274941715668,0.2943706444594816
9,0.763772797198575 0.44367643485179764 0.2849831361890882,0.4970151308697627 0.22795637159679158 0.25373772216192125,0.3444866820846154
10,0.04601307143193156 -0.9994149707014177 0.5709601618268159,0.02260908553971622 -0.37065391792889335 0.20653641601239736,0.7271126972847249
11,0.5864447787268803 -0.38268690299271513 0.9080369684512717,0.3871020006993377 -0.23863391605252995 0.5055532632349269,0.47167991176517665
12,0.1723067764631927 0.617271086076695 0.0036170480412263117,0.05445576086494179 0.14603341578127907 -0.010895868144937301,0.48596751796721654
13,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,0.7068370239290708 -0.07921633187122865 3.18605075442815,4.182200688764942
14,-0.7630982176364738 -0.028523292765740615 0.8470817500843986,-0.17019596867785203 0.017830441831546594 0.21214509718438518,0.8699576419155011
15,-0.8550681805975962 0.4715579142904016 0.6269180155697027,-0.06498659481746301 0.03578133487856264 0.04740961905894149,1.0723619356258438
16,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,0.1294755328005936 0.1139566740602621 -1.7230659018022065,0.7755006824145044
17,0.07469945663426492 0.5881574936098133 -0.09440647335103769,-0.4104752664089249 -3.2256643417659414 0.5284624996501172,3.8946883394434066
18,-0.3192031675170248 -0.9753013175887812 0.3279175616665144,1.198171739759674 3.8270975064582955 -1.0073465517425373,5.210411819328658
19,0.5650791010990031 -0.9636957899606329 0.4236066349462182,1.0873529828599717 -1.5325434127944517 0.7645430848969011,0.8441535929428551
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,0.02372009565065717 -1.1985100633953185 -0.7871029495020408,0.7558971886948973
1,0.7939615771530981 0.16116253269123182 -0.35263255206798205,0.4484434561097302 0.08408836367620304 -0.19134336950206088,0.38902107900662625
2,0.7882817115462599 0.7263999204132892 -0.2642432279715856,0.021070392910049314 0.021972315070738775 -0.006611776674378665,1.0729424137900683
