,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,-29.699755780555783 17.141580122376975 7.4309119601437805,36.08202183491468
1,-0.31095728473507145 0.9876139900790948 0.8043245772726,-0.5402997942252896 1.9209273739866661 2.0378861423119523,1.5637602098731789
2,0.6363843947686976 0.60032266594621 0.04373566854276767,0.8856241234673855 0.7986905181427855 0.046935877827185446,0.31856002336505135
3,-0.36241652314358763 0.09115512536517278 0.8001808920444493,0.49053675147361875 -0.09615154682187467 -0.9566690572532938,1.9619212069992729
4,0.47967980561161583 -0.9227332341071313 -0.8105881540834989,-0.16702247357906688 0.30958241753980714 0.2476256986222086,1.7483255592888582
5,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,8.634551252829489 -3.184992743129805 -3.726406018205245,9.415038637399974
6,0.8817372972470168 0.9734524880482527 -0.329655991668774,3.292184791684049 3.467178915725321 -0.8854349113794612,3.5125231425753736
7,0.7755986451882728 -0.277146182317058 0.1469657193630558,2.724000420895777 -1.0342200186706683 0.6235296356982968,2.1439550927256175
8,0.25112497830841396 0.7706718204417866 -0.6259510918860649,0.44536234904038 1.2147154123405126 -0.8877828121871474,0.5508708718483977
9,0.763772797198575 0.44367643485179764 0.2849831361890882,0.31839351178522 0.14603142878066175 0.1625472534209152,0.5494959534915785
10,0.04601307143193156 -0.9994149707014177 0.5709601618268159,-0.04052689181197802 0.6643988853597205 -0.37021749385946917,1.9135258274772313
11,0.5864447787268803 -0.38268690299271513 0.9080369684512717,-0.06497024028883366 0.0400517249691003 -0.08485080658802642,1.2605060921680502
12,0.1723067764631927 0.617271086076695 0.0036170480412263117,0.9657487507608276 2.5898378173410435 -0.19323338582167016,2.1352563708323777
13,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,0.7460396157204958 -0.08360982770750991 3.3627554868123175,4.3631707591217666
14,-0.7630982176364738 -0.028523292765740615 0.8470817500843986,0.3819545432308409 -0.04001515616543916 -0.476096962361651,1.7498799367855622
15,-0.8550681805975962 0.4715579142904016 0.6269180155697027,1.676609419789046 -0.9231338136508059 -1.2231355424314603,3.4318004976629775
16,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,0.15235967015290874 0.13409793260541397 -2.0276089757794376,1.079980126188212
17,0.07469945663426492 0.5881574936098133 -0.09440647335103769,-0.6284855755481408 -4.938868858276726 0.8091378103092247,5.644367259176953
18,-0.3192031675170248 -0.9753013175887812 0.3279175616665144,1.734228176111425 5.539323043754141 -1.458028690854448,7.060206432484257
19,0.5650791010990031 -0.9636957899606329 0.4236066349462182,0.5350013400487119 -0.7540447237026103 0.37617184243977214,0.21704446740945452
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,0.03790725782830686 -1.915347671951232 -1.257874963222082,1.6125972055300952
1,-0.5533535125150462 -0.6343995946106151 -0.8623642103173297,-0.7278728502051507 -0.7297577576733852 -1.2759137976999837,0.4588828169749462
2,-0.5769114025073345 0.4076171272676239 -0.05807724161782968,-0.7149569001840275 0.4007224708907882 -0.15081824510031888,0.1664481584226739
3,-0.11788565311446697 0.5451100161072728 0.953844014701527,-0.03456833796367914 0.1715168873679368 0.41248134010992116,0.6630136848407872
4,-0.49111156421027236 -0.5580054953122304 -0.41507259332281055,-1.0758313594154751 -1.3029581644422537 -0.8528125002737053,1.043296671271474
5,-0.8841935288018685 0.014664102235466103 0.2795206252124607,0.02559255452059438 0.0026776136316247396 -0.010293965887027943,0.9549067444156216
6,0.005021296929727637 -0.12844470121778495 0.4574019526629274,0.006960541862604042 -0.26992421900792585 1.6121350732941722,1.163369586377353
7,0.2211061166150965 -0.4308752060115415 -0.18933127618608192,2.9027459710009285 -5.08615900197988 -2.262766503809855,5.7586450813352865
8,-0.477868184460017 -0.44798330379775164 0.13415159498532891,-1.3345699172834316 -1.1845624895979159 0.4464537211064713,1.1721857250267382
9,0.9262314006676036 0.17715175720317888 -0.2775770251792402,-2.6666565663448365 -0.5041761516449238 0.7893582576109216,3.809383488248543
10,0.7939615771530981 0.16116253269123182 -0.35263255206798205,0.3773533013013126 0.07075813283018743 -0.16101038197790515,0.4673911285983757
11,-0.5579439085935922 -0.99802902344465 0.7105435710781633,-1.3109382588644687 -3.118861732142187 2.2117965764864675,2.705308199830226
