,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,3.5394479070430025 1.0288828881070713 -5.031238681903235,5.726886043241707
1,-0.31095728473507145 0.9876139900790948 0.8043245772726,2.9273520268596585 0.8841640077280621 -5.472646976872685,7.063831891258358
2,0.6363843947686976 0.60032266594621 0.04373566854276767,3.640978242587068 2.075522148411405 -4.751196068426132,5.8476634706184285
3,-0.36241652314358763 0.09115512536517278 0.8001808920444493,3.3764936837981794 1.3253397765782349 -6.094975391231168,7.940141148597956
4,0.47967980561161583 -0.9227332341071313 -0.8105881540834989,3.07879400593962 0.6954562308860319 -5.262607918411984,5.4031853339426545
5,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,3.610185845493065 1.1417090250347484 -5.2674688436890795,6.1372709637874845
6,0.8817372972470168 0.9734524880482527 -0.329655991668774,3.3902614422408126 2.27127098706716 -4.498546743724078,5.03554131598429
7,0.7755986451882728 -0.277146182317058 0.1469657193630558,3.0153944061904396 1.411467012865274 -4.969394287144941,5.834829842432568
8,0.25112497830841396 0.7706718204417866 -0.6259510918860649,3.0198737416402777 2.408558777929925 -5.459617831439417,5.80628775975027
9,0.763772797198575 0.44367643485179764 0.2849831361890882,3.117166812791492 1.6310042697474088 -4.789450970634318,5.718224574519535
10,0.04601307143193156 -0.9994149707014177 0.5709601618268159,2.592999187233065 2.401586255739816 -5.278208520841111,7.2295727325092844
11,0.5864447787268803 -0.38268690299271513 0.9080369684512717,2.2142022997003687 1.7061394485282104 -5.450803846842405,6.888225213227187
12,0.1723067764631927 0.617271086076695 0.0036170480412263117,2.9844881273317396 2.679452845225538 -4.635732292800067,5.803836650380816
13,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,2.4505725200355997 1.4200465351748366 -5.9573814589795875,5.941250636495401
14,-0.7630982176364738 -0.028523292765740615 0.8470817500843986,3.579660871456151 1.3941085028589515 -5.926927944384371,8.17133067942889
15,-0.8550681805975962 0.4715579142904016 0.6269180155697027,3.5693585865303805 0.8799751888683184 -5.3258654112803505,7.428188703501873
16,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,2.7927654852145065 1.5302709382255075 -6.22054728181626,6.130688107962937
17,0.07469945663426492 0.5881574936098133 -0.09440647335103769,2.869419434406037 2.2184716720875812 -4.993265266290263,5.870877408689459
18,-0.3192031675170248 -0.9753013175887812 0.3279175616665144,2.96416358065257 2.262390059567292 -4.9815811819891715,7.032348083362901
19,0.5650791010990031 -0.9636957899606329 0.4236066349462182,2.573672409372316 2.065518472508953 -5.15422956131295,6.6575402934032955
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,2.6468488941024337 -7.917280683411808 -13.33433339073903,15.156132361348703
1,-0.5533535125150462 -0.6343995946106151 -0.8623642103173297,1.58016538967875 -8.598862314171171 -14.672802620957418,16.084550923521963
