,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,0.8270980750807689 -0.47736984868888527 -0.2069408591687271,0.018378378423751278
1,-0.36241652314358763 0.09115512536517278 0.8001808920444493,-0.3922252149225059 0.07688121431074753 0.7649370316569732,0.04831596358732895
2,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,0.3761161384802657 -0.13873647124870528 -0.1623201253820453,0.08523174891958436
3,0.8817372972470168 0.9734524880482527 -0.329655991668774,0.7498680671800253 0.7897268581853643 -0.20167742931289068,0.25985209895179784
4,0.25112497830841396 0.7706718204417866 -0.6259510918860649,0.3894510635392931 1.0622186860943905 -0.7763295688177742,0.3560159646019523
5,0.763772797198575 0.44367643485179764 0.2849831361890882,0.7496189308603888 0.34381329852104187 0.3826978057450955,0.14043195710583134
6,0.04601307143193156 -0.9994149707014177 0.5709601618268159,0.07919637026519072 -1.29834728932202 0.7234673179076563,0.3372241021831217
7,0.5864447787268803 -0.38268690299271513 0.9080369684512717,0.843685274876166 -0.5201004404416122 1.1018487196819913,0.35016874224931677
8,-0.7630982176364738 -0.028523292765740615 0.8470817500843986,-0.6404298036821838 0.06709410599118355 0.7982800297643813,0.16300869496224693
9,-0.8550681805975962 0.4715579142904016 0.6269180155697027,-0.8006807259100837 0.44085130579730997 0.5841199759713078,0.07571369246047911
10,0.7755986451882728 -0.277146182317058 0.1469657193630558,1.428464128654904 -0.5423443353661579 0.3269785536433129,0.727301877069201
11,-0.3192031675170248 -0.9753013175887812 0.3279175616665144,-1.0383004744761357 -3.3164504093704568 0.8729369654854031,2.5090089990602076
12,-0.31095728473507145 0.9876139900790948 0.8043245772726,-0.255716017201803 0.9091469266874592 0.9645018069458432,0.18672284965098407
13,0.5650791010990031 -0.9636957899606329 0.4236066349462182,0.7534735580748675 -1.0619651174407467 0.5297847226791382,0.23753550988693115
14,0.6363843947686976 0.60032266594621 0.04373566854276767,-0.22937778751463447 -0.20686187187769828 -0.012156452749848183,1.1849957652230585
15,0.47967980561161583 -0.9227332341071313 -0.8105881540834989,0.6197845714646283 -1.1487939429723568 -0.9188858494036206,0.28716054798496543
16,0.1723067764631927 0.617271086076695 0.0036170480412263117,0.128238731597326 0.34389639797820787 -0.025658852036314548,0.27844710628159763
17,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,-0.20812885244239712 0.02332532633252294 -0.9381357581643962,0.13811319924931595
18,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,0.06500881366194852 0.05721689673158862 -0.8651400593966383,0.13105163821405164
19,0.07469945663426492 0.5881574936098133 -0.09440647335103769,0.04046526048303622 0.31799077435853607 -0.052096616906887716,0.27559419502131
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,0.010740903815065737 -0.5427078162714237 -0.35641496550717905,0.06196524433194793
1,-0.5769114025073345 0.4076171272676239 -0.05807724161782968,-0.8181130767552166 0.4585399392621171 -0.17257876453543577,0.2718123970532967
2,-0.11788565311446697 0.5451100161072728 0.953844014701527,-0.08434779368177452 0.41850641022577956 1.0064669874996373,0.141146867849181
3,-0.49111156421027236 -0.5580054953122304 -0.41507259332281055,-0.34563912012466924 -0.41860958000123955 -0.27398844590854443,0.24596379783463712
4,-0.8841935288018685 0.014664102235466103 0.2795206252124607,-18.31387610365946 -1.9160840026181438 7.366299277338594,18.914123150939904
5,0.005021296929727637 -0.12844470121778495 0.4574019526629274,0.0027954302907028995 -0.10840453989120746 0.6474512050280345,0.19111588336092364
6,0.2211061166150965 -0.4308752060115415 -0.18933127618608192,0.27200137503357863 -0.4765977650124514 -0.21203219522649938,0.07208475189910381
7,-0.477868184460017 -0.44798330379775164 0.13415159498532891,-0.5519667172183714 -0.4899249265668281 0.18464944521653698,0.09899356118161402
8,0.9262314006676036 0.17715175720317888 -0.2775770251792402,0.3258207482442451 0.06160187744049021 -0.09644635210003474,0.6376935368864426
9,-0.7184486959487091 0.5519777123058485 0.49646310652631875,-0.5222546704388775 0.44068824380547694 0.37291671624776934,0.25717922154736234
10,0.3719166506250111 -0.7848466574767932 -0.4791095686684852,0.6580287052142233 -1.470059163283937 -0.6171112171281503,0.7552620345769742
11,0.42268678350760425 0.6153294215726015 0.45022283201678115,0.4487637641957456 0.6223765723285093 0.42890501946139453,0.034411050372413626
12,0.7211274672957375 -0.08853483591616529 0.8067161188243008,0.7659844604620893 -0.1436584644550221 0.9439476091726674,0.1545420531843997
13,0.7939615771530981 0.16116253269123182 -0.35263255206798205,0.6513371859376166 0.12213329778984502 -0.27791475188523723,0.1656736183305083
14,-0.06302538142212555 0.0988707310363286 0.04689699789706636,-0.04300095891361661 0.04446649341354346 0.025194984240820197,0.061901340573945925
15,-0.23963581488271601 0.05562324317952805 0.030012407193729773,0.13372490012876492 -0.039326402481939006 -0.030424749807463194,0.3899568035968975
16,-0.5814072574293643 0.17681713019503276 -0.02877335546851989,-0.9310142418304792 0.25979902205448907 -0.07357585193510151,0.36210261198761595
17,-0.5533535125150462 -0.6343995946106151 -0.8623642103173297,-0.5490370616554652 -0.5504588540159858 -0.9624262839552571,0.13067937197706467
18,-0.5579439085935922 -0.99802902344465 0.7105435710781633,-0.4127838691065852 -0.9820567858911028 0.6964431332636642,0.14671527453846425
19,0.7882817115462599 0.7263999204132892 -0.2642432279715856,0.45049709438128066 0.4697807078612527 -0.14136358031961102,0.44164609774251634
0,-0.1450962713541768 -0.4839210923907271 0.5105936479303821,0.07270164718672843 0.5375964349104925 -0.5609278241124183,1.4963596683127751
1,-0.9568228213117456 0.46996711928042667 0.06336936911455937,-0.3465838174449303 0.16828450508047593 0.007097367466299838,0.6830597190000162
2,0.15219445386824626 -0.900439298352228 0.5629139572236519,0.007194853315384898 -0.03711109358181154 0.02250765483967446,1.0287854222183177
3,-0.15164841936932816 -0.5525323887803706 -0.6769017430697348,-0.08298472780094987 -0.318845643876529 -0.32019225129091444,0.4319327017124946
4,0.6930372749059961 -0.6097114425436179 0.6770696788349886,0.11367945400554964 -0.118884128795433 0.11720726263294699,0.9434049298341411
5,-0.18455374632771893 -0.6431037087225147 0.45131549159439177,0.12318463765915641 0.3518189412394217 -0.32518863279811533,1.2990506716770942
6,0.6840870015589671 0.333603045383398 0.03919654546929685,0.204414174451397 0.08915018569947365 0.005354968058646316,0.539433475077936
7,-0.6501956203285948 0.48682373500831044 0.8413818031544229,0.40307903784087445 -0.2099585504249006 -0.5593165808381818,1.8859610339970003
8,-0.2399006247401052 -0.043739759303005776 -0.21650787806541283,-0.15763803142882396 -0.02251391317991195 -0.13911971809654908,0.11491996391099746
9,0.578925523853981 -0.5609317577498152 0.9006297780089845,-0.30128736888133445 0.2903546409087633 -0.5197264682002151,1.8753333397623082
10,0.3967469586979251 -0.2382683397096983 0.9404229373436002,-1.760426949313991 1.0784096465866686 -4.103105549654523,5.641295931624792
11,0.4259661361953524 0.9658611389119227 0.5913392069284105,-0.2175931748155119 -0.4298788098871803 -0.3040119103772744,1.77873893945206
12,-0.8873458871028335 0.19875705351597506 0.9052853489027155,1.6294202284168813 -0.3074639809855372 -1.6833020435511554,3.6457037872502895
13,0.3957929012878705 -0.6560062285907706 -0.0037153457400276313,0.08874623195875857 -0.14611773446198711 -0.00916307012769069,0.5952256809748916
14,-0.019283700520750235 -0.8460012168740947 -0.5160983644458996,0.04152182966215962 -0.5219437010771479 -0.35163778576943056,0.36845334573580985
15,-0.23166597521246834 -0.1616406250450062 0.4088315395775919,0.7182505091457231 0.5627136772583451 -1.3769199548065048,2.148473616830292
16,0.3371364065618161 -0.8898478672047809 0.26798334040508776,0.013637809985278216 -0.03676088727085298 0.010727897990388266,0.9479393967821795
17,-0.7796444851626765 0.5788492429011625 0.8721002942936589,0.07862961784162777 -0.04996038822468695 -0.08864759310069595,1.4335524026756699
18,-0.9496708046889066 0.9003581212735678 -0.6605265556353492,-0.3026307838179029 0.2957374656229014 -0.1419323530893372,1.026239188865113
19,-0.8092980221709631 -0.2744424783042059 -0.8905765129353571,-0.6626261016109655 -0.35167870718040667 -1.060477353269182,0.2373697176935487
0,-0.04700494252574838 -0.5361398412154745 -0.8278060716147828,0.17340323432027704 0.5123322796224854 1.0802566174532142,2.1882816953053448
1,-0.8536601063847689 -0.16548953807174205 -0.09012777257848459,-1.6600375608218185 -0.29645285030356766 0.021054527380194987,0.8244740699374412
2,-0.37746439028849643 -0.6040302992802737 0.3710861855938188,-0.44368508161737885 -0.8060459433584362 0.47334761685452215,0.2359086703278993
3,0.6066760116417487 -0.9167941369495696 -0.658978483247112,0.6437435682432675 -0.9885641644785381 -0.8585163188762407,0.2152679457129484
4,0.7299303045601868 0.9874193628024339 -0.402511407178723,0.4586015099412888 0.8364013344357564 -0.26588013988348724,0.3392548642006551
5,-0.7040113721277668 -0.11700720084053784 0.091939700340391,-1.3551864305375365 -0.10375749178180482 0.31950728403787004,0.6899213843873933
6,-0.3978126755500828 -0.46160417934479314 0.07060861592771106,-0.5109350498024208 -0.5952929126989169 0.10295774165569882,0.17808934532329884
7,-0.26227199246142385 0.4482729096645872 -0.009310101235293855,-0.2453655344872102 0.4171133794756976 0.014987640864592987,0.04297819114363457
8,-0.2871358402751081 0.7004171783134407 0.6273090472299305,-0.23024768101904058 0.5597780256930205 0.5009850183924679,0.19741680317303706
9,0.7386642810784059 0.8451949920744124 -0.1760257562181653,0.6514576187148224 0.8113798912147737 -0.23517713521259812,0.1106677398508102
10,0.6714655353206518 0.966700890284051 0.23435626090086203,1.7031828448544228 2.090666972448214 0.31882393409453913,1.528029825776256
11,-0.1341916687216005 -0.48958753872539584 -0.9130299275455005,-0.42927720173743955 -0.9988033583422854 -2.021989200452317,1.2554548545086588
12,0.40382949451145445 -0.9344492966094047 -0.7140795192328979,0.42257184924571095 -0.9978097015382977 -0.7778513341696587,0.09182952223586087
13,0.8865711823749571 0.9469039461171391 -0.29745125939357986,0.8572829139759577 0.7929751764715077 -0.28802983246724007,0.1569733482975949
14,-0.9417991733244131 0.10187397252301511 0.5097821302011849,-0.49511195586571394 0.05885265507556029 0.28031753053405944,0.5040181608794508
15,-0.1525664205733075 0.5412891318838096 -0.808106584713149,-0.1570705239404792 0.41378206303797016 -0.7619360476590505,0.13568366904186988
16,0.15819884132610462 0.05566548064030896 0.5100564816161766,0.10992136842060048 0.03552207042933638 0.3475390675332406,0.17072897014061109
17,-0.42481539918027544 0.5430782932745135 -0.9181476781551077,-0.44614752764053806 0.3854931942242701 -0.8838504929274409,0.16267888634319164
18,-0.07125677320771295 0.6858920624290128 -0.5195468697001047,-0.1419608044874299 0.5975039699252214 -0.5021568695390473,0.11451605582303102
19,0.9541352271078964 0.8212039730840803 -0.031152716036354056,0.6592376870028832 0.6085617992687886 -0.009331347090016345,0.36422167067264516
0,-0.16529971154803924 0.1283118882988028 0.6268358162630776,-0.30094799467747985 0.4618416727552644 1.399466840698437,0.8524090999957542
1,0.3262173800698114 0.8307416905134073 -0.04378172606753861,0.2960780384140531 0.7598100756562828 -0.028216884736527382,0.0786253024626394
2,0.5984938787606409 -0.07679687647026157 0.6097857063352743,0.4806977766756235 0.06981694831930821 0.5118381269200304,0.21205014406775582
3,0.5068729783905981 -0.6901076401972026 0.22562151389177965,0.46766206081915557 -0.6467019182818085 0.2167260341113893,0.059166564141534546
4,-0.4458191616082068 0.9450440014961963 0.8487403995855503,-0.47641739469640565 1.0159724161940877 0.7026246336203799,0.1652782772879251
5,-0.9035589867376024 0.7369876603649448 0.921258483881106,-0.12917445299613928 0.11210005857992796 0.1291260369064661,1.2718607370748747
6,-0.7858402146136303 -0.34201092220008644 0.11996091715763524,-0.7356784398919968 -0.31661698575807623 0.15987246698711763,0.06894916577476498
7,0.38216072686067837 0.07073745255132713 0.6337335305676164,0.553461821087828 0.0439737170508196 0.9389321430345121,0.35100791369010237
8,0.20171373599609455 0.9504652324561351 -0.09619267922832231,0.30603447544610546 1.4417402676463105 -0.1406302840607269,0.5041911121824204
9,0.6220840495791033 -0.4955516822503572 -0.07916017670020281,0.5765492313019601 -0.5361243063160627 -0.06303798751013392,0.06308313945413542
10,0.7587910276567598 -0.67136147290162 -0.15303944595783925,0.5638208305592255 -0.599403005453124 -0.057506561989275035,0.22873113192816313
11,0.5538000806846022 0.32131753110128236 -0.5422836836224934,0.9269836203763823 0.38863588548604044 -0.8586738732327841,0.4938628020165054
12,-0.07283147765222098 -0.5558026484665968 -0.7365174325298236,-0.02607599871986576 -0.6115177525958609 -0.7747823757762549,0.0821854824161863
13,0.8300155590125728 -0.70329415371595 0.6753394248926576,0.7429824570707649 -0.6972585993558211 0.7085270397409792,0.09334134415877957
14,-0.6738141399748809 -0.5371058718530166 0.2139129682941312,-0.8444800246013616 -0.7677315735852345 0.3530943536431578,0.31888323333548185
15,0.6741126120154923 -0.43612958559190784 0.2173004277664432,1.0602805441028824 -0.49107835692567703 0.31113450263263287,0.40118558405024435
16,0.7659225158070893 0.2116133335802688 0.9531646526714681,0.7578243874848566 0.24610069830109077 0.8320555537372906,0.12618388111149043
17,0.5277602196043367 -0.5445702520667974 0.6016459745858034,0.41190284200219207 -0.43293583194664553 0.4936675357583714,0.1937640806548468
18,0.7979698842795298 -0.4284087834787629 0.7825135837001569,0.760826391432224 -0.39745920719521494 0.7004900066340035,0.09521230239709683
19,0.6814728968641359 -0.08626705549488767 0.39023142247797327,0.7788097521030547 -0.04409632362776966 0.3936921532058256,0.10613581238762576
0,0.16038667596932688 0.8999710520122635 0.5041843720732939,0.14987862019060325 0.8048942555718119 0.4557235632974637,0.107230902471421
1,0.17262020503117204 -0.9594820233409442 -0.19846916146334204,0.31808148496024685 -1.6096849425574082 -0.3285246409976157,0.678849945034325
2,0.7345156886978481 0.6400115058937601 -0.4460098218557196,0.11346824530316522 0.1096615289085786 -0.07329068888752822,0.8977140842806325
3,-0.19436977982441395 0.31854706125626664 0.52043614107808,-0.2018719271761615 0.3601248035834636 0.5847632646976925,0.07696083227906922
4,-0.3056766165113056 -0.6480585234117346 0.30910282627251706,-0.1863561223969332 -0.6058553412123984 0.2648702641411834,0.134070908314036
5,0.3120669153773534 -0.5625007799553747 -0.5359409326406779,0.29177917753862026 -0.6103703857262459 -0.5580502162753197,0.05649700776243667
6,-0.6180602098307209 -0.03915800275031578 0.8559164926580927,-0.6686128526471625 -0.03672846311509273 0.8772395349595618,0.054919436373255796
7,0.41680944057373726 0.1284607900159398 0.971939955950573,1.1196844933279775 0.4548904930702162 2.9346779780252086,2.1101967287714745
8,0.5451116968445611 -0.9785006653666088 0.7314888448636903,0.5899217929026879 -1.0289470098300606 0.7092768482972006,0.07103626658217287
