,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,0.8419717852804733 -0.4859543938612118 -0.21066227801914922,0.005755593985632814
1,0.6363843947686976 0.60032266594621 0.04373566854276767,-0.04980884909468611 -0.044919570772053004 -0.0026397452303669067,0.9430532280691103
2,0.47967980561161583 -0.9227332341071313 -0.8105881540834989,0.5869753771265348 -1.0879808710361905 -0.8702432955298386,0.2058588280310904
3,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,0.3868323046468365 -0.14268930104556554 -0.16694489219689412,0.07353251385035621
4,0.8817372972470168 0.9734524880482527 -0.329655991668774,0.8009104234749522 0.843482340563431 -0.21540529912650436,0.1909933074936915
5,0.25112497830841396 0.7706718204417866 -0.6259510918860649,0.33747899336284976 0.9204660777057446 -0.672728735213748,0.17911862923932423
6,0.763772797198575 0.44367643485179764 0.2849831361890882,0.7587772286701168 0.3480137588471793 0.3873733286432701,0.14021431737198423
7,0.04601307143193156 -0.9994149707014177 0.5709601618268159,0.07540452406766629 -1.2361836672318076 0.6888283970927829,0.2661131226179045
8,0.1723067764631927 0.617271086076695 0.0036170480412263117,0.1436143914138144 0.38512913602518084 -0.028735315560850915,0.23613515910211783
9,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,-0.41708019129361795 0.04674283000453891 -1.8799788538827495,1.0189428051171407
10,-0.7630982176364738 -0.028523292765740615 0.8470817500843986,-0.6625646851086701 0.0694130487886489 0.8258706161211891,0.14194516674963692
11,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,0.019109802469485914 0.016819313149497334 -0.2543140646971396,0.7122909360961402
12,0.7755986451882728 -0.277146182317058 0.1469657193630558,1.2452158388775991 -0.47277053933402313 0.2850326205624347,0.5271353401866908
13,0.07469945663426492 0.5881574936098133 -0.09440647335103769,0.031549472937240655 0.2479272642795075 -0.04061807055250971,0.34714798331377733
14,-0.3192031675170248 -0.9753013175887812 0.3279175616665144,-0.8467825339855042 -2.704720213963962 0.7119208685870017,1.848428588501244
15,-0.31095728473507145 0.9876139900790948 0.8043245772726,-0.2660162231860146 0.9457672397881582 1.003351807006052,0.2082851115621096
16,0.5864447787268803 -0.38268690299271513 0.9080369684512717,0.7762982478282375 -0.4785588567594475 1.0138416017589789,0.23755081914876416
17,0.5650791010990031 -0.9636957899606329 0.4236066349462182,0.7521419701924412 -1.0600883430446333 0.5288484523754842,0.2352868067260372
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,0.010985078621265342 -0.5550452860172392 -0.36451740796712234,0.05613293745503426
1,-0.5533535125150462 -0.6343995946106151 -0.8623642103173297,-0.5581630468067125 -0.559608471917873 -0.9784235427742934,0.13815430613665128
2,-0.5769114025073345 0.4076171272676239 -0.05807724161782968,-0.7480142840662374 0.4192506318849053 -0.15779161177940018,0.19837966156881845
3,-0.11788565311446697 0.5451100161072728 0.953844014701527,-0.0937465265859185 0.4651398762204466 1.1186159125567192,0.18473683721954784
4,-0.49111156421027236 -0.5580054953122304 -0.41507259332281055,-0.40217448695127356 -0.48708055097803366 -0.31880408277888383,0.14902274176288718
5,-0.8841935288018685 0.014664102235466103 0.2795206252124607,-13.467585818309184 -1.4090422799787792 5.417000045177938,13.666103913147982
6,0.005021296929727637 -0.12844470121778495 0.4574019526629274,0.004429774500115703 -0.17178309475429623 1.0259826001174255,0.570230233250471
7,0.2211061166150965 -0.4308752060115415 -0.18933127618608192,0.2597509104452364 -0.4551326380716508 -0.20248263725500007,0.047484749112635026
