,original position,computed position,offset
0,0.844935735600181 -0.48138569041108603 -0.2087998040154202,0.8340160525432493 -0.48136264465105066 -0.20867174483141673,0.010920458247047345
1,0.6363843947686976 0.60032266594621 0.04373566854276767,-0.08339810961235979 -0.07521168135939721 -0.004419892570742617,0.9883078802017299
2,-0.36241652314358763 0.09115512536517278 0.8001808920444493,-0.36771656410676995 0.0720772018093989 0.7171390475100071,0.08536981635855748
3,0.4449690063016296 -0.1858590739970949 -0.1797325900807123,0.38146977242317404 -0.14071124501033525 -0.16463058867770117,0.0793634022188127
4,0.7755986451882728 -0.277146182317058 0.1469657193630558,1.3036243948072108 -0.49494648958008997 0.29840246636755313,0.5909156068744645
5,0.25112497830841396 0.7706718204417866 -0.6259510918860649,0.348429532015155 0.9503334162965502 -0.6945574776313658,0.2155302794555361
6,0.763772797198575 0.44367643485179764 0.2849831361890882,0.75394488225927 0.34579739945347693 0.38490630400995596,0.14021958832458906
7,0.1723067764631927 0.617271086076695 0.0036170480412263117,0.14028630648635157 0.37620424723016493 -0.028069410356905203,0.24523980699473158
8,-0.2463149542183094 -0.09875291957581878 -0.8860398915914773,-0.38897413881283993 0.04359294070115841 -1.7532915035051244,0.890359110277414
9,-0.8550681805975962 0.4715579142904016 0.6269180155697027,-0.8377428233448141 0.4612575345486225 0.6111578585660391,0.02558609730970139
10,0.046762916995432224 -0.025926676041707397 -0.9647832500315889,0.024653781939990873 0.021698794607126228 -0.3280935794772074,0.6388511062039962
11,0.07469945663426492 0.5881574936098133 -0.09440647335103769,0.03376518123383059 0.26533910813210393 -0.04347066324379485,0.32936572629263455
12,-0.31095728473507145 0.9876139900790948 0.8043245772726,-0.2690895865748731 0.956693965889048 1.0149438244885391,0.2169548785875889
13,0.5864447787268803 -0.38268690299271513 0.9080369684512717,0.7908906802542967 -0.48755454597901066 1.032899245011149,0.26150705020051457
14,0.5650791010990031 -0.9636957899606329 0.4236066349462182,0.7670707865542673 -1.081129402881484 0.5393452491793236,0.2607426341458226
0,0.002859827402889481 -0.597672551824693 -0.3289111842169161,0.010712187038138551 -0.5412568378840514 -0.35546205789025925,0.06284378429161802
1,-0.5533535125150462 -0.6343995946106151 -0.8623642103173297,-0.5640424389691092 -0.5655030894183113 -0.988729735098924,0.14432334332941865
2,-0.5769114025073345 0.4076171272676239 -0.05807724161782968,-0.7587230791066566 0.4252527486667075 -0.1600506034399035,0.20920102153499126
3,-0.11788565311446697 0.5451100161072728 0.953844014701527,-0.08941457704458719 0.4436461468330293 1.0669255954239045,0.15457348685770547
4,-0.49111156421027236 -0.5580054953122304 -0.41507259332281055,-0.4156883853550299 -0.5034474695517629 -0.32951656237458365,0.12643207075391785
5,-0.8841935288018685 0.014664102235466103 0.2795206252124607,-10.86402284498975 -1.1366452551900472 4.3697818626198375,10.846784934116467
6,0.005021296929727637 -0.12844470121778495 0.4574019526629274,0.004160278983198052 -0.16133227521092813 0.9635645896385764,0.5072306664084905
7,0.2211061166150965 -0.4308752060115415 -0.18933127618608192,0.25106969477892616 -0.43992150914392475 -0.19571540229254733,0.03194383638334867
8,-0.477868184460017 -0.44798330379775164 0.13415159498532891,-0.6168069615880742 -0.5474770415231258 0.20634045443337276,0.18551069797942904
9,-0.5579439085935922 -0.99802902344465 0.7105435710781633,-0.41853603728863736 -0.9957418065993915 0.7061481104480647,0.13949589964162687
10,-0.7184486959487091 0.5519777123058485 0.49646310652631875,-0.5837845997206813 0.4926083471793476 0.41685225283080357,0.16732312558210244
11,0.3719166506250111 -0.7848466574767932 -0.4791095686684852,0.5557755883792249 -1.2416221206648068 -0.5212163953898649,0.494187128140016
12,0.7882817115462599 0.7263999204132892 -0.2642432279715856,0.3973689580319295 0.4143784115693625 -0.1246922551019254,0.519273219866252
