,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,0.017334881527867847 -0.023540385961246794 -0.06122078119074604,0.9255232341738666
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,-0.1857827782227703 -0.16828834535828888 -0.26023812371475546,0.5653815193045906
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,-1.1598428788517539 -0.9764681627223047 -0.086741489483922,2.744756119153222
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.23584484527685054 0.4257031849748901 -0.5689386416217465,0.293921521105806
4,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-1.3287357386484004 0.43025523949932365 -2.119317351069974,1.6346775987058
5,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,0.20295256170004186 -0.16500598390944882 -1.6979478426942185,0.8859744188502706
6,0.8246913768091244 0.4206351502643857 0.8710112817945477,0.42803695490383215 0.275565150052939 0.5669567483214519,0.5204125235848122
7,-0.35781999243175 0.5028210612687227 0.5108614678687617,0.4454877582257139 -0.5964539368382621 -0.5127564820734671,1.7033797495489365
8,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-1.0178167821306414 -1.9834085441181846 -0.34752015257908714,1.47345297802077
9,0.02921577441979828 -0.2548135968184222 0.0957846049947928,-4.9059116952862025 36.75099274292492 -14.294513017936719,40.01082168205726
10,0.21535099790940881 0.7191831649302778 0.46380731209625736,-0.10099083847870619 -0.18286851369450802 -0.1285137421371526,1.1245504077840962
11,0.6503986903890686 -0.8096045339748243 0.34735114368814224,-0.03979830211601306 0.048159360510005834 -0.023940759509777514,1.1618900397736336
12,0.6609850038113145 0.5238087099002557 0.09195275215986753,-0.40917671128831223 -0.32590676276717745 0.037175713689854506,1.3675755938517473
13,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.1492282819140672 -0.10529645962778288 -0.02928679272480747,0.9077623036425664
14,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-1.046982046233111 -0.010933965067179717 -0.9824360973080948,0.4116846092651473
15,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.42360103474013244 -1.0206673887028372 -0.45200123114925905,0.48575993082098573
16,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.3816252968341373 0.3044621904891708 -0.11617619245016134,0.06204163742940788
17,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.023665587408626086 -0.1297486784801754 0.12605471848604022,1.1224889464884868
18,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-1.9281909549145857 0.5878301132899022 -0.7483123661433384,1.3141311411871373
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.5108309764600083 -0.40444169043578587 -0.7395570283967077,0.6815136101755471
