,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,0.40690935121617045 -0.5525739050174745 -1.4370625097855754,0.6482998959385003
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,-0.6011268671201748 -0.5445211164662591 -0.8420378331639679,0.2641310316061034
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,-1.3728222336668487 -1.1557748283802993 -0.10266963527232012,3.0235831099110944
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.19667701936491158 0.355004721246834 -0.4744524142740299,0.41651277510204365
4,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-1.9637168641798095 0.6358671970138948 -3.132104527479895,2.846318188408443
5,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,-0.16505152377409918 0.13419140338987598 1.380859036112217,2.231627948083583
6,0.8246913768091244 0.4206351502643857 0.8710112817945477,-0.13649848909778645 -0.08787611957168891 -0.18079920119761417,1.5128697769486465
7,-0.35781999243175 0.5028210612687227 0.5108614678687617,1.1978041710907217 -1.6037141317952257 -1.3786727954715605,3.229209932799199
8,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-0.8300869577810369 -1.6175814678330371 -0.2834222733271358,1.0575586560639865
9,0.02921577441979828 -0.2548135968184222 0.0957846049947928,-3.2055692757733842 24.013447552283754 -9.340170510298478,26.238322782902962
10,0.21535099790940881 0.7191831649302778 0.46380731209625736,-0.6430969714992373 -1.1644837206129455 -0.8183593641700748,2.4349713011864815
11,0.6503986903890686 -0.8096045339748243 0.34735114368814224,204.19517654767517 -247.0936848787601 122.83407469328995,342.183170641347
12,0.6609850038113145 0.5238087099002557 0.09195275215986753,-1.6450940406603332 -1.310307401296373 0.1494648726608046,2.9470816264071864
13,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.44151672597260033 -0.3115371129055558 -0.08664985398371901,0.5477450059334572
14,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-1.033616079259805 -0.010794380041341874 -0.9698941358893216,0.3937029250108764
15,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.6527617997116615 -1.5728306281531947 -0.6965260065945809,1.1316410966711514
16,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.4142887263440317 0.33052120539193103 -0.12611974940066673,0.10124479305034449
17,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.3280054719171222 -1.798319043625362 1.747120690920307,1.2329721093205077
18,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-4.711601123073073 1.4363831626186443 -1.8285270842827928,4.417977094164432
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.6151228927789346 -0.4870130317963196 -0.8905459528607701,0.8821287700437221
