,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,0.413517945356747 -0.56154822979035 -1.4604017691400895,0.6730481679123462
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,-0.5956973396311289 -0.5396028662067369 -0.8344323378649755,0.25419082648271024
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,-1.410803101387375 -1.1877508044352436 -0.10551012090881584,3.0733073607677945
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.20108102672462466 0.3629540150186862 -0.4850763902273144,0.40267522925936217
4,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-2.0179374255023728 0.6534242476140071 -3.2185856636857664,2.9498286317861964
5,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,-0.16989402634034317 0.13812849043048248 1.4213725271306141,2.2726066347658587
6,0.8246913768091244 0.4206351502643857 0.8710112817945477,-0.1123036721515826 -0.07229978139364072 -0.1487519338182487,1.4699869334597948
7,-0.35781999243175 0.5028210612687227 0.5108614678687617,1.2340366967006986 -1.6522250777025524 -1.420376438333494,3.3027127380659667
8,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-0.8542265977793678 -1.6646221229540892 -0.291664435887929,1.111026604668413
9,0.02921577441979828 -0.2548135968184222 0.0957846049947928,-3.2980576330209392 24.70629307359142 -9.609656817594441,26.987463529326945
10,0.21535099790940881 0.7191831649302778 0.46380731209625736,-0.5902400792477219 -1.0687734416396364 -0.7510974508786552,2.3068938843543103
11,0.6503986903890686 -0.8096045339748243 0.34735114368814224,211.24329430130163 -255.6225121343654 127.07388602102675,354.03191975240196
12,0.6609850038113145 0.5238087099002557 0.09195275215986753,-1.6944147071954287 -1.3495910123243884 0.15394589742961062,3.010212196490882
13,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.4262163923338669 -0.30074109661013093 -0.08364708738913992,0.5665186691322011
14,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-1.0596864046738197 -0.011066640705593395 -0.9943572380479944,0.4288035099116107
15,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.6629762507949666 -1.5974423648091867 -0.7074252822963037,1.160430727859186
16,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.42354374296477193 0.3379048947247399 -0.12893720568823527,0.1128500609197536
17,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.3558578210590804 -1.9510220140329462 1.8954761899680395,1.4470335684285598
18,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-4.840071422996065 1.4755487394333455 -1.8783851721809266,4.561239553974866
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.629139776070969 -0.4981106594549965 -0.9108389363181896,0.9091121749527528
