,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,0.6697799715660789 -0.9095463972125429 -2.36543024648142,1.659167038250038
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,-0.722204025984602 -0.6541969159181577 -1.0116385515352362,0.4925425466683325
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,-1.6284551246735042 -1.370991375348956 -0.12178772284375966,3.358258974938635
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.1065691312134626 0.1923587455317218 -0.25708128867613755,0.7008820259080889
4,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-1.299888126699844 0.4209141524592965 -2.073305760682789,1.5796792045720807
5,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,-0.21584885709931226 0.17549102481417317 1.8058412182126902,2.661509445092276
6,0.8246913768091244 0.4206351502643857 0.8710112817945477,-0.4389020899044448 -0.28255999599436377 -0.5813481730324438,2.0495121002005416
7,-0.35781999243175 0.5028210612687227 0.5108614678687617,1.424252836478076 -1.9069013585329422 -1.639315246111968,3.6886048323693377
8,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-1.0917479538055115 -2.127477417957785 -0.37276297870641684,1.6372747804807097
9,0.02921577441979828 -0.2548135968184222 0.0957846049947928,-2.166900855318151 16.232611297295122 -6.313768858637492,17.825276533440015
10,0.21535099790940881 0.7191831649302778 0.46380731209625736,-0.8765404557873202 -1.5871900140400454 -1.1154229017673276,3.00092523327544
11,0.6503986903890686 -0.8096045339748243 0.34735114368814224,200.51272908297113 -242.63760746885268 120.61889001272554,335.9925254754208
12,0.6609850038113145 0.5238087099002557 0.09195275215986753,-0.6874837259693289 -0.5475766078678612 0.062461272741062175,1.7225284211540954
13,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.4693580242547222 -0.3311821165398974 -0.09211384727989301,0.5136195180827261
14,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-1.0797581598267219 -0.011276256400980353 -1.013191578970542,0.45589667866815714
15,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.7697433729239945 -1.8546979208764751 -0.8213505721110217,1.461356941050014
16,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.625585012898005 0.4990942291933649 -0.19044357241329,0.37522630428514414
17,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.24581985331717204 -1.347729112376396 1.3093591075149609,0.6040456093645502
18,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-3.1248792739782885 0.9526536430212109 -1.2127355941914792,2.648566982610595
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.7863808778512105 -0.6226036129769041 -1.1384851976711845,1.2119998261234368
