,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,-0.5297636818098722 0.7194073705094121 1.8709413384075804,3.052602056461966
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,0.640222665967804 0.5799354178426692 0.8968018830644199,2.166849028871314
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,0.8580428973263058 0.7223836838301888 0.06417069097226986,0.11234879385611718
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.2909698031648978 0.5252044910857 -0.7019189432410844,0.12726478712360237
4,0.8246913768091244 0.4206351502643857 0.8710112817945477,0.6931753032471075 0.4462580958580924 0.9181459952073822,0.1420376504824616
5,-0.35781999243175 0.5028210612687227 0.5108614678687617,-0.3338182420866144 0.44694203376988884 0.3842248508601139,0.14048267687241944
6,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-9.685254111835796 -18.87354983198266 -3.3069026231485257,20.686368899182686
7,0.02921577441979828 -0.2548135968184222 0.0957846049947928,0.10562414792137194 -0.7912478933254653 0.3077604839323233,0.5818365468595976
8,0.21535099790940881 0.7191831649302778 0.46380731209625736,0.37190507738680045 0.6734247359626083 0.47325989104311245,0.16337798159895733
9,0.6503986903890686 -0.8096045339748243 0.34735114368814224,0.5789788262361886 -0.7006140598432659 0.34828603491094084,0.13030961003946034
10,0.6609850038113145 0.5238087099002557 0.09195275215986753,0.773941073175925 0.6164393592615637 -0.07031634732733816,0.2183363722694616
11,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.7692223287850015 -0.5427683469165769 -0.15096370884570523,0.1570984960310109
12,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-0.5189378124753447 0.16803620637084102 -0.8276995027047386,0.13084740126343106
13,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-0.7850605555300559 -0.008198635994446786 -0.7366619428674989,0.0901108135861583
14,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.36069835608945344 -0.8691032812162046 -0.3848812624500904,0.30848737244087127
15,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.4757277649894727 0.37953751652937034 -0.1448233144862062,0.17969014451416138
16,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.2553023232810743 -1.3997175935959991 1.3598674706167488,0.6761672606266969
17,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-1.020275467914012 0.31104214152761084 -0.395959097083596,0.3019932334292908
18,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,0.0983999411249189 -0.08000184361282552 -0.8232365551573112,0.056051356615706795
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.19269676731411786 -0.15256437041878257 -0.27897730400779164,0.08875585697898467
