,original position,computed position,offset
0,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,0.3324041609016666 0.3011029696265771 0.46562031193387055,1.5688433417924965
1,0.9065273279792632 0.8237264645977105 0.06524412075055874,0.860162535334975 0.7241682005692238 0.06432921292501981,0.10982886227965276
2,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.2963467381179324 0.534909932526333 -0.7148899541812513,0.1123741069074128
3,0.8246913768091244 0.4206351502643857 0.8710112817945477,0.6561295897875385 0.4224085018654478 0.8690770608509915,0.16858221148884586
4,-0.35781999243175 0.5028210612687227 0.5108614678687617,-0.31206510888800043 0.417817233603536 0.3591869910153873,0.17978961876198432
5,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-4.492434087039034 -8.754357668841537 -1.533882528554053,9.17525705088912
6,0.02921577441979828 -0.2548135968184222 0.0957846049947928,0.06884720890690217 -0.5157457842829335 0.20060233145124104,0.2839771343506714
7,0.21535099790940881 0.7191831649302778 0.46380731209625736,0.30825593487739716 0.5581724589842498 0.3922645293754397,0.19918369537113798
8,0.6609850038113145 0.5238087099002557 0.09195275215986753,0.7172617257762729 0.5712946036653413 -0.06516675026346085,0.17351806126033256
9,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.7738716358948311 -0.5460489286676237 -0.15187615849595293,0.1521432537972427
10,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-0.4447514967856585 0.1440140851196232 -0.7093732309864537,0.11479820733593378
11,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-0.7641315825531603 -0.007980068101860046 -0.7170232311951595,0.07974237122523788
12,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.2792784479367268 -0.6729218788415631 -0.2980025824967493,0.0791788340061694
13,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.39463729967006683 0.3148432184738019 -0.12013736839465318,0.07718217162245063
14,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-0.8279494279001655 0.2524094435566021 -0.3213192105583969,0.08853947563443997
15,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,0.08387863214675736 -0.06819562222037999 -0.7017479420251101,0.13585052822022842
16,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.19587458734537733 -0.15508035508801674 -0.2835780021788075,0.09333966689825168
