,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,-0.26435696087607624 0.35899090977695913 0.9336169752315204,2.0170040488528103
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,0.05346999624394877 0.048434937190024174 0.07489893105632754,1.0276299282619006
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,-0.44487761120863945 -0.3745410965347768 -0.03327118469054194,1.808824403619658
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.3349329855657527 0.6045586391388692 -0.8079732148413404,0.06415186946930403
4,0.8246913768091244 0.4206351502643857 0.8710112817945477,1.0917954336105342 0.7028850407497986 1.446138661114225,0.694104516828639
5,-0.35781999243175 0.5028210612687227 0.5108614678687617,-0.3789401191227261 0.5073547402893905 0.436160138657328,0.07776183242992882
6,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-3.0247382580774715 -5.894274696702708 -1.0327570928418481,5.921803492104818
7,0.02921577441979828 -0.2548135968184222 0.0957846049947928,0.06848722290953478 -0.5130490698700924 0.19955342864881442,0.2810618703617432
8,0.21535099790940881 0.7191831649302778 0.46380731209625736,0.37383673507102766 0.6769224727375701 0.47571798091807055,0.16445534050328503
9,0.6503986903890686 -0.8096045339748243 0.34735114368814224,0.7156056236451479 -0.8659442081637941 0.4304741968537318,0.11973113630109536
10,0.6609850038113145 0.5238087099002557 0.09195275215986753,0.769872128506339 0.6131984695712186 -0.0699466637214943,0.214612105718919
11,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.8894079287202526 -0.6275720986525279 -0.17455073074707134,0.08001244944855151
12,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-0.5512385161457259 0.17849543207649804 -0.8792187324125522,0.17716696012933514
13,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-0.9133343739568867 -0.009538240102042387 -0.8570277409396507,0.23432133007718295
14,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.2979131945160665 -0.7178223313202547 -0.3178866897232184,0.1316062979245149
15,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.42044135308564934 0.3354297956519452 -0.12799276136904994,0.1089461049060783
16,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.20239779164946373 -1.1096638143979354 1.0780715563083763,0.28034650188001553
17,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-0.7508646083196424 0.22890929274868704 -0.29140333340576874,0.01592307964885746
18,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,0.30741074074168845 -0.24993334065614958 -2.571869010625422,1.769317671774299
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.2396737643062245 -0.18975760448369425 -0.346988387711529,0.16696280083573836
