,original position,computed position,offset
0,0.36570654344826337 -0.18761850149686277 -0.9028316260405238,-0.3487827415253075 0.4736392538321216 1.231779511599323,2.34612903870628
1,-0.4641424578854616 -0.35839118987962215 -0.7141467704864917,0.10630706522634457 0.09629654738710619 0.14891127938109008,1.1300543324462136
2,0.9065273279792632 0.8237264645977105 0.06524412075055874,-0.8651038082315771 -0.7283282430670763 -0.06469875726487224,2.3589056466766687
3,0.370073359237876 0.5518231671972895 -0.7979939115746275,0.31707540157363256 0.5723254547651409 -0.7648945986129605,0.0657623891797598
4,0.8246913768091244 0.4206351502643857 0.8710112817945477,0.9701956323340684 0.6246005209174277 1.2850735307828287,0.4839637453763807
5,-0.35781999243175 0.5028210612687227 0.5108614678687617,-0.3313805397252256 0.4436782467332232 0.38141905504622625,0.144748939229
6,-0.39224249704087155 -0.6701143084896579 -0.11304468917708732,-1.2413474728410117 -2.4190003810885847 -0.4238417667493338,1.9688007970047412
7,0.02921577441979828 -0.2548135968184222 0.0957846049947928,-7.804951170710993 58.468175060975994 -22.74153776988848,63.49257328130572
8,0.21535099790940881 0.7191831649302778 0.46380731209625736,0.34355600726896585 0.6220918388883566 0.43718488521256255,0.1630092133305367
9,0.6503986903890686 -0.8096045339748243 0.34735114368814224,0.7895096582305527 -0.9553744314524006 0.4749313376044567,0.23848989551790648
10,0.6609850038113145 0.5238087099002557 0.09195275215986753,0.7441342679173496 0.5926984200969952 -0.06760825268819512,0.19266371365799373
11,0.9254278021319327 -0.5582262523894277 -0.15735438252374134,0.8481049745592538 -0.5984284618730992 -0.16644482051396978,0.08762233376290211
12,-0.399731247481099 0.11661782600811899 -0.8113597523841103,-0.576296568561881 0.18660942948780132 -0.9191860214113399,0.2184047651914885
13,-0.7892042766593301 -0.06373117317516974 -0.6658175668406483,-1.1165344511543356 -0.011660322857633831 -1.0477006292979651,0.5056590649632428
14,-0.2513780697748913 -0.6029091418152135 -0.27373175006186323,-0.2576031537333364 -0.6206952218705477 -0.2748740750995351,0.01887859159249282
15,-0.3313068876276155 0.2731223877362814 -0.1344802694074163,-0.37254715903164043 0.2972196157860791 -0.11341258245579984,0.05220425096343116
16,-0.27133585040684904 -0.9234106994242313 0.8802042211221031,-0.2593961236309192 -1.4221622165070047 1.3816730924983187,0.7073660027363398
17,-0.7458613877989393 0.2438729111008373 -0.28925801857193534,-0.6929706140503031 0.21125967504697027 -0.2689352309977802,0.0653763933573802
18,0.1491149920252366 -0.05631201399612462 -0.8203159108155598,0.3709844043993639 -0.3016204681045189 -3.103740912884318,2.3072563823461403
19,-0.1278376521984923 -0.1772532814000083 -0.22364779100565935,-0.22779464482292258 -0.18035251476495942 -0.32979035801113554,0.1458329529032545
