,original position,computed position,offset
0,0.2514398767940609 -0.19544877913969283 0.859506279816532,-1.2773904910898042 0.7390191352053811 -2.984515460917089,4.241114914729036
1,0.8436961956186577 -0.8354525947561713 0.980246947893028,-2.096780204211271 1.8676737910286474 -2.180180309319405,5.093289130180435
2,0.9860629440904218 -0.168893373880038 0.43542899889742714,-2.0279461314900717 0.9457206866373933 -0.9223330385967428,3.488571765356857
3,-0.686422131632288 0.5856719131693833 -0.01429059098379426,0.41305749967099425 -0.36551664094612607 0.004884725504744751,1.453954200755165
4,0.8903422463746784 0.4202355895314598 0.6186077208517382,-5.7316752306181975 -2.4433882138332734 -3.8462693205618286,8.484490777161477
5,0.15041462034498498 -0.42375247269914773 0.26884803613902863,-0.9478612051639278 2.8704162401392903 -1.6320011872051057,3.958659503850885
6,0.8205807080473644 0.3111442704653058 -0.38393634225893236,-1.5388962510788378 -0.5272968866921254 0.7237221645016858,2.738069112031704
7,0.3914987447299305 0.5112070724156816 0.9464373935549333,-1.0417819864908753 -2.3595480065308556 -4.116775201972775,5.994301474341828
8,-0.8089649845743836 0.5778403859770189 0.049024927644222505,3.370132809031357 -2.411956257217259 0.3167293447968524,5.14542592903048
9,0.16878384228678422 0.6009930103167329 0.9667846354299341,-0.8835154575870913 -2.5685870494913643 -4.077234005719624,6.049437628764543
10,-0.056057377323398994 0.11173444266316968 0.6473970153155633,0.2979239561641863 -0.5774463501838775 -4.010115843272348,4.721514479232131
11,0.17868678807290417 -0.997897606656893 0.8715180163041283,-1.218658832488174 2.4070154003878943 -1.8194405136524974,4.559305339499684
12,0.9646487547973734 -0.08423634040312877 0.5930157061574033,-2.2714242107862113 0.29011971075285575 -1.5640313798576995,3.9070657561531115
13,0.17311752933737234 0.289908225763605 0.6898436347600545,-1.326614529847859 -2.391494654956039 -4.976328437209673,6.445511896447737
