,original position,computed position,offset
0,0.2514398767940609 -0.19544877913969283 0.859506279816532,-3.7264278785891816 2.1558807016722916 -8.706485366235595,10.623576534246476
1,0.8436961956186577 -0.8354525947561713 0.980246947893028,-7.467113783201628 6.6512134555183176 -7.7641206288035844,14.19801730414407
2,0.9860629440904218 -0.168893373880038 0.43542899889742714,-2.382690517137597 1.1111536331865355 -1.0836748326704373,3.910843473461961
3,-0.686422131632288 0.5856719131693833 -0.01429059098379426,-1.1180472251388958 0.9893655640616944 -0.013221776146166335,0.5909906323119751
4,0.8903422463746784 0.4202355895314598 0.6186077208517382,6.5575506043841 2.795455292507776 4.4004771193140115,7.2153624550346835
5,0.15041462034498498 -0.42375247269914773 0.26884803613902863,-0.39491912398754775 1.1959369798655188 -0.679960816717057,1.9547432196365462
6,0.8205807080473644 0.3111442704653058 -0.38393634225893236,-1.6523453056960682 -0.5661697692895669 0.7770757257379888,2.869319085747433
7,0.3914987447299305 0.5112070724156816 0.9464373935549333,0.13985324427295812 0.31675575889219076 0.5526534106024283,0.5061645942390576
8,-0.8089649845743836 0.5778403859770189 0.049024927644222505,1.4258898305121193 -1.0204891301582422 0.13400693010089515,2.7489007307296585
9,0.16878384228678422 0.6009930103167329 0.9667846354299341,0.18528289086458627 0.5386609027382924 0.8550407316859672,0.1290124422801301
10,-0.056057377323398994 0.11173444266316968 0.6473970153155633,-6.248449079249958 12.110956640003275 84.10537028036715,84.54324544185239
11,0.17868678807290417 -0.997897606656893 0.8715180163041283,-0.812664941546573 1.6051227607845788 -1.2132973390559023,3.479216628938134
12,0.9646487547973734 -0.08423634040312877 0.5930157061574033,-15.845101132669482 2.0238298665790206 -10.910439041211035,20.47781984335651
13,0.17311752933737234 0.289908225763605 0.6898436347600545,3.719328437530754 6.704851996005861 13.951754224438908,15.15273532631636
