,original position,computed position,offset
0,0.2514398767940609 -0.19544877913969283 0.859506279816532,-3.786970036508191 2.1909066498853567 -8.84793702695088,10.781368299784525
1,0.8436961956186577 -0.8354525947561713 0.980246947893028,-7.336978228075832 6.535297268833009 -7.628808890235194,13.977382802302396
2,0.9860629440904218 -0.168893373880038 0.43542899889742714,-3.955225604844101 1.8444960725216752 -1.7988817325098454,5.784653319879674
3,-0.686422131632288 0.5856719131693833 -0.01429059098379426,0.7121515371986339 -0.6301864460245843 0.008421744623371199,1.8533309760962193
4,0.8903422463746784 0.4202355895314598 0.6186077208517382,1.7329496969801141 0.7387489162240021 1.162904558507692,1.0524719010875367
5,0.15041462034498498 -0.42375247269914773 0.26884803613902863,-1.1619651487034035 3.518789053864998 -2.00063943100926,4.734611674724063
6,0.8205807080473644 0.3111442704653058 -0.38393634225893236,-2.1532789302440216 -0.7378127507305595 1.012658057409383,3.4488589269147525
7,0.3914987447299305 0.5112070724156816 0.9464373935549333,-0.015818415267010107 -0.03582737145942948 -0.06250910512005198,1.217837012412678
8,-0.8089649845743836 0.5778403859770189 0.049024927644222505,19.242262620098458 -13.771414469242778 1.8084121835615294,24.71939090816615
9,0.16878384228678422 0.6009930103167329 0.9667846354299341,-0.1221613715849268 -0.35515181348167274 -0.5637484824223546,1.8279479386443116
10,-0.056057377323398994 0.11173444266316968 0.6473970153155633,-4.785661685113138 9.275732334060631 64.41596033800455,64.59704081845852
11,0.17868678807290417 -0.997897606656893 0.8715180163041283,-1.6365225267999313 3.2323525010248266 -2.4433051378993267,5.672570261705504
12,0.9646487547973734 -0.08423634040312877 0.5930157061574033,-15.305916928596524 1.9549620766763978 -10.539173730799549,19.819568095752004
13,0.17311752933737234 0.289908225763605 0.6898436347600545,2.1063097010747343 3.7970550438490736 7.901081005219261,8.248591103308556
