,original position,computed position,offset
0,0.009338793852145866 -1.1371775304925347 -0.12057479106376601,-0.6595908503307366 48.38102045351624 4.032954865651139,49.696591503457945
1,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,13.63630482225808 4.262655997788506 4.003236149194843,16.919666428843332
2,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-1.9489566648264107 1.8066112334396616 -0.9689047496688002,1.151229905382787
3,0.17750075850234293 1.2338063118573332 0.5620965535338455,1.866116513359726 12.87009675912564 4.875241102599484,12.524292173287675
4,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,9.662615609766531 2.796012991278455 2.554841786553323,12.486397383620398
5,-1.1252201469824936 -1.182006520107011 0.7911872118214308,44.19951427227999 40.24587310609336 -25.118361639054484,66.64762172917763
6,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,1.0954957109423045 26.08509988738957 14.864876923271694,31.06796290701353
7,0.4506436092978814 1.2474498369999556 -0.42502532446175334,0.894729572405436 2.3885986465133566 -0.759833113014851,1.2694602015655443
8,-1.2855710144895525 0.814913791030333 0.4443159647233125,-3.568985603011292 2.7441075888196322 1.280897821264465,3.104132744454793
9,1.674590047938664 0.8574850236223059 -0.5168124909753129,0.20057014865892597 0.09484124381441134 -0.04944455779139933,1.7241789301928394
10,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,44.56163417005365 21.425041093245095 -8.123557567040372,52.12346297054564
11,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.07362465572153588 0.47303154081651927 -0.20989708784871589,0.9002586685626259
12,-1.6017219590436356 0.619210956353418 0.6259692834234195,-2.3820491041583938 0.947028442521407 0.8339483198594041,0.8715675746821294
13,-0.2839093725044821 -1.334939965800099 0.025839507345461032,-2.074284677496264 -7.420857737776713 -0.4628780342470879,6.362600387848154
14,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,2.123342636078245 2.950635498512565 -1.8473146874016049,5.741990502753153
15,0.22311335253536901 -1.0474140158036047 -0.7697318417204001,-2.720360052829746 24.22653627729364 13.803120642710427,29.322425353967972
16,0.7055357386743477 -0.6161536152956654 0.44424001593352125,0.3722490166449262 -0.34911620128272125 0.23069880417883382,0.4774817993196156
17,-0.42594801561866524 -1.3689769447483764 -0.4830878066501572,-1.345168058247311 -4.400053727388443 -1.5756635955299745,3.3505393302386737
18,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-3.93003117671989 -0.35882091412285544 -0.6771679791632323,1.8593892755089578
19,0.7377866294600861 0.5570740025302117 0.7484429164091947,-1.9393951685997477 -1.1325702760539256 -1.7968758173744566,4.062123536349554
