,original position,computed position,offset
0,0.009338793852145866 -1.1371775304925347 -0.12057479106376601,-0.45136003209537406 33.107279965688214 2.759763324016303,34.368466073904756
1,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,8.032548989743294 2.51094365922141 2.358130806333356,10.822513582753716
2,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-2.2126579343670643 2.051052623247002 -1.100001257437683,1.53196362704874
3,0.17750075850234293 1.2338063118573332 0.5620965535338455,0.9370125127477976 6.462319805457363 2.4479510700934966,5.6098715417755365
4,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,5.754696710154077 1.6652019921184635 1.5215693366899659,8.289000919414157
5,-1.1252201469824936 -1.182006520107011 0.7911872118214308,30.56771033733756 27.833432372170858 -17.37147603028402,46.649971841809105
6,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,0.848883929085852 20.21297013016821 11.518580129492685,24.30480702363252
7,0.4506436092978814 1.2474498369999556 -0.42502532446175334,0.9060799570057793 2.4188999958036206 -0.7694722244634734,1.3032119583150839
8,-1.2855710144895525 0.814913791030333 0.4443159647233125,-4.349890984571937 3.34452704186607 1.561162331440905,4.127510858217061
9,1.674590047938664 0.8574850236223059 -0.5168124909753129,-0.9701551087245445 -0.4587458194529605 0.23916266034944272,3.049366984371775
10,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,27.652428336653774 13.295168017849841 -5.041020098231166,33.11008869866142
11,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.025945366111271566 0.16669655550013734 -0.07396784048161874,1.2384745421896128
12,-1.6017219590436356 0.619210956353418 0.6259692834234195,-2.3871314192161845 0.9490490125025969 0.835727623273444,0.8773025273812005
13,-0.2839093725044821 -1.334939965800099 0.025839507345461032,-2.545096247188303 -9.105209802798544 -0.5679399557104836,8.11434738427911
14,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,4.657652081869371 6.472357941188298 -4.052171775505614,10.60818075593316
15,0.22311335253536901 -1.0474140158036047 -0.7697318417204001,-1.9829189836470977 17.659154582236173 10.061340934458512,21.72819423846203
16,0.7055357386743477 -0.6161536152956654 0.44424001593352125,-0.8976723962427281 0.8418879915310851 -0.5563263812596787,2.3869006611701296
17,-0.42594801561866524 -1.3689769447483764 -0.4830878066501572,-2.0401336358569977 -6.6732907860742126 -2.389712036594519,5.863152436878644
18,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-6.6438325302624515 -0.6065972392050188 -1.1447722539880072,4.623289845783771
19,0.7377866294600861 0.5570740025302117 0.7484429164091947,-3.569118967390111 -2.0842983006319775 -3.30683692816776,6.478547528723084
