,original position,computed position,offset
0,0.009338793852145866 -1.1371775304925347 -0.12057479106376601,-0.4110571912648564 30.151064661036308 2.513338532123726,31.40172497832138
1,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,7.708341076005872 2.409597522856993 2.262952467549801,10.46976484782911
2,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-2.1389307585127333 1.9827102395952438 -1.0633485128414908,1.4254085669889986
3,0.17750075850234293 1.2338063118573332 0.5620965535338455,0.897730213899937 6.191400501398133 2.3453258178240692,5.317553688079892
4,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,5.573879977706258 1.6128801412467784 1.473760527727433,8.094790492994877
5,-1.1252201469824936 -1.182006520107011 0.7911872118214308,29.53281678307991 26.89110992024544 -16.783351228874764,45.131801387515715
6,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,0.8210869232082357 19.55108924131993 11.141400130448408,23.542493950426387
7,0.4506436092978814 1.2474498369999556 -0.42502532446175334,0.9565167611851166 2.553547699325186 -0.8123047798098618,1.4531980760741428
8,-1.2855710144895525 0.814913791030333 0.4443159647233125,-4.265747415645543 3.2798310661113717 1.530963466525256,4.017221844530422
9,1.674590047938664 0.8574850236223059 -0.5168124909753129,-0.9127246882382613 -0.4315893729522098 0.22500491173278675,2.984326289617611
10,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,26.733144210867092 12.853180183737074 -4.873435186784785,32.07641825015338
11,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.03571520081544586 0.22946683154893185 -0.10182073613284646,1.169157619425656
12,-1.6017219590436356 0.619210956353418 0.6259692834234195,-2.497188448701063 0.9928042554317397 0.8742582625736188,1.001538618518062
13,-0.2839093725044821 -1.334939965800099 0.025839507345461032,-2.4778726287451005 -8.86471392752277 -0.552938959609252,7.864219935771196
14,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,4.535468845100775 6.302569895864415 -3.945871980078449,10.373558571323608
15,0.22311335253536901 -1.0474140158036047 -0.7697318417204001,-1.9135631190999007 17.041496501737637 9.709428927579637,21.013968699055656
16,0.7055357386743477 -0.6161536152956654 0.44424001593352125,-0.9150230371892812 0.8581604048518138 -0.5670793233471635,2.4130021512703146
17,-0.42594801561866524 -1.3689769447483764 -0.4830878066501572,-2.011814656764543 -6.580659215804885 -2.356540579582155,5.760766475943164
18,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-6.640282622887373 -0.6062731244710383 -1.1441605836232427,4.619673609532821
19,0.7377866294600861 0.5570740025302117 0.7484429164091947,-3.2578888970828923 -1.9025457974025148 -3.0184780645233964,6.017046297829672
