,original position,computed position,offset
0,0.009338793852145866 -1.1371775304925347 -0.12057479106376601,-0.341339017495972 25.037233276924688 2.0870587436995116,26.269685987210107
1,-1.8969204409979867 -0.5715475576677722 -0.646979003750821,6.141081257409693 1.9196781823236793 1.8028489979688227,8.764549858903784
2,-1.1392575251198842 1.0325618385362527 -0.7032637655269739,-2.0205125167603257 1.8729408795807008 -1.004478041808439,1.2544231077087775
3,0.17750075850234293 1.2338063118573332 0.5620965535338455,0.8432617285260255 5.815746209682358 2.2030265579492685,4.912235965003969
4,-1.9597802692311221 -0.5867368121548364 -0.5089854639477089,4.416199082092556 1.277888979990287 1.1676641613751522,6.851357237754723
5,-1.1252201469824936 -1.182006520107011 0.7911872118214308,26.19729832876467 23.853953185254024 -14.887792868818863,40.23865940355272
6,0.005183609427414471 -0.9037711998541664 -0.48537962666901985,0.7283140025254633 17.34205192726838 9.8825562719219,20.998263593662983
7,0.4506436092978814 1.2474498369999556 -0.42502532446175334,-0.10551813359379862 -0.2816945799691916 0.0896093908157566,1.7065894123581655
8,-1.2855710144895525 0.814913791030333 0.4443159647233125,-4.044032260026211 3.1093595908053366 1.451390587459984,3.7266324298209255
9,1.674590047938664 0.8574850236223059 -0.5168124909753129,0.08102737716154013 0.03831446147097354 -0.019974870934369022,1.8593896891930963
10,-1.8522712779339139 -0.6923255826388459 0.44539011815475804,22.854167594803762 10.988184993440766 -4.166300216789227,27.714799960231478
11,0.23403768944232572 1.29377112887386 -0.5432435405523728,0.034060686225675915 0.218836729743602 -0.09710386797512764,1.1808960037600145
12,-1.6017219590436356 0.619210956353418 0.6259692834234195,-2.3540858171838734 0.9359111116212884 0.8241584561032627,0.840017447169925
13,-0.2839093725044821 -1.334939965800099 0.025839507345461032,-2.2182555351931477 -7.935920720666725 -0.4950052289000607,6.8982549418314925
14,-0.7598880427770891 -1.2827892065116722 0.7479793331489119,4.813260555492114 6.688594302828286 -4.187551630797536,10.906988871702454
15,0.22311335253536901 -1.0474140158036047 -0.7697318417204001,-1.6641206449370187 14.82005263693789 8.44375655428298,18.44523023874649
16,0.7055357386743477 -0.6161536152956654 0.44424001593352125,-1.2257293151563708 1.1495583417925879 -0.7596374324965458,2.8804243323494347
17,-0.42594801561866524 -1.3689769447483764 -0.4830878066501572,-2.067030439570874 -6.761270411155615 -2.4212176274299786,5.960396593537974
18,-2.094520038411871 -0.26371938459213307 -0.3957731709207103,-8.087293749088214 -0.7383885789552144 -1.3934892927593272,6.093774286206168
19,0.7377866294600861 0.5570740025302117 0.7484429164091947,-3.255842073443188 -1.901350490921306 -3.016581654776603,6.014011242780316
